,Parent Class,Sub Class,Reference
0,acute angle,acute angle,
1,addition,addition,
2,addition,audio,
3,addition,function,
4,addition,matrix,
5,addition,vector,
6,adjacency matrix,adjacency matrix,
7,advertising,advertising,
8,aﬃne,aﬃne,
9,aﬃne,approximation,
10,aﬃne,ar model,
11,aﬃne,combination,
12,aﬃne,function,
13,aﬃne,versus linear,
14,aﬄeck,aﬄeck,
15,age group,age group,
16,algorithm,algorithm,
17,algorithm,augmented lagrangian,
18,algorithm,back substitution,
19,algorithm,computing matrix inverse,
20,algorithm,constrained least squares,
21,algorithm,forward substitution,
22,algorithm,gauss–newton,
23,algorithm,gram–schmidt,
24,algorithm,k-means,
25,algorithm,least norm,
26,algorithm,least squares,
27,algorithm,levenberg–marquardt,
28,algorithm,modiﬁed gram–schmidt,
29,algorithm,newton,
30,algorithm,penalty,
31,algorithm,qr factorization,
32,algorithm,solving linear equations,
33,aligned vectors,aligned vectors,
34,α (alpha),α (alpha),
35,angle,angle,
36,angle,acute,
37,angle,document,
38,angle,obtuse,
39,angle,orthogonal,
40,annualized return and risk,annualized return and risk,
41,anti-aligned vectors,anti-aligned vectors,
42,approximation,approximation,
43,approximation,aﬃne,
44,approximation,least squares,
45,approximation,taylor,
46,argmax,argmax,
47,argument of function,argument of function,
48,asset,asset,
49,asset,allocation,
50,asset,alpha and beta,
51,asset,return,
52,asset,return matrix,
53,asset,risk-free,
54,attribute vector,attribute vector,
55,audio,audio,
56,audio,addition,
57,audio,mixing,
58,augmented lagrangian algorithm,augmented lagrangian algorithm,
59,auto-regressive model,auto-regressive model,ar model
60,average,average,
61,avg (average),avg (average),
62,back substitution,back substitution,
63,back-test,back-test,
64,backslash notation,backslash notation,
65,balancing chemical reactions,balancing chemical reactions,
66,basis,basis,
67,basis,dual,
68,basis,functions,
69,basis,orthonormal,
70,β (beta),β (beta),
71,bi-criterion least squares,bi-criterion least squares,
72,bi-linear interpolation,bi-linear interpolation,
73,big-times-small-squared rule,big-times-small-squared rule,
74,bill of materials,bill of materials,
75,birth rate,birth rate,
76,bit,bit,
77,block,block,
78,block,matrix,
79,block,vector,
80,boeing 747,boeing 747,
81,boole,boole,
82,boolean,boolean,
83,boolean,classiﬁcation,
84,boolean,features,
85,boolean,least squares,
86,boolean,vector,
87,bowie,bowie,
88,byte,byte,
89,calculus,calculus,
90,cash ﬂow,cash ﬂow,
91,cash ﬂow,discounted,
92,cash ﬂow,net present value,
93,cash ﬂow,replication,
94,cash ﬂow,vector,
95,categorical feature,categorical feature,
96,cauchy,cauchy,
97,cauchy–schwarz inequality,cauchy–schwarz inequality,
98,centroid,centroid,
99,chain graph,chain graph,
100,chain rule,chain rule,
101,channel equalization,channel equalization,
102,chebyshev inequality,chebyshev inequality,
103,chebyshev,chebyshev,
104,chemical,chemical,
105,chemical,equilibrium,
106,chemical,reaction balance,
107,circular diﬀerence matrix,circular diﬀerence matrix,
108,circulation,circulation,
109,classiﬁcation,classiﬁcation,
110,classiﬁcation,boolean,
111,classiﬁcation,handwritten digits,
112,classiﬁcation,iris ﬂower,
113,classiﬁcation,multi-class,
114,classiﬁer,classiﬁer,
115,classiﬁer,least squares,
116,classiﬁer,one-versus-others,
117,closed-loop,closed-loop,
118,cluster centroid,cluster centroid,
119,clustering,clustering,
120,digits,digits,
121,objective,objective,
122,optimal,optimal,
123,co-occurrence,co-occurrence,
124,coeﬃcients,coeﬃcients,
125,coeﬃcients,linear equations,
126,coeﬃcients,matrix,
127,coeﬃcients,vector,
128,colon notation,colon notation,
129,color vector,color vector,
130,column-major,column-major,
131,communication channel,communication channel,
132,compartmental system,compartmental system,
133,completing the square,completing the square,
134,complexity,complexity,
135,complexity,k-means algorithm,
136,complexity,gram–schmidt algorithm,
137,complexity,matrix-matrix multiply,
138,complexity,matrix-vector multiplication,
139,complexity,vector operations,
140,compliance matrix,compliance matrix,
141,computer representation,computer representation,
142,computer representation,matrix,
143,computer representation,vector,
144,confusion matrix,confusion matrix,
145,conservation of mass,conservation of mass,
146,constrained least squares,constrained least squares,
147,constrained least squares,solution,
148,constrained least squares,sparse,
149,constrained optimization,constrained optimization,
150,constrained optimization,kkt conditions,
151,contingency table,contingency table,
152,control,control,
153,control,closed-loop,
154,control,linear quadratic,
155,control,nonlinear,
156,control,state feedback,
157,controllability matrix,controllability matrix,
158,convolution,convolution,
159,correlation coeﬃcient,correlation coeﬃcient,
160,covariance matrix,covariance matrix,
161,cross product,cross product,
162,cross-validation,cross-validation,
163,cross-validation,eﬃcient,
164,currency exchange rate,currency exchange rate,
165,customer purchase,customer purchase,
166,customer purchase,matrix,
167,customer purchase,vector,
168,cycle,cycle,
169,data ﬁtting,data ﬁtting,
170,data matrix,data matrix,
171,de-meaned vector,de-meaned vector,
172,de-meaning,de-meaning,
173,de-trended,de-trended,
174,de-tuning,de-tuning,
175,death rate,death rate,
176,decision threshold,decision threshold,
177,deformation,deformation,
178,demand,demand,
179,demand,elasticity matrix,
180,demand,shaping,
181,dependent variable,dependent variable,
182,dependent vectors,dependent vectors,
183,derivative,derivative,
184,derivative,chain rule,
185,derivative,partial,
186,diag,diag,
187,diagonal matrix,diagonal matrix,
188,diet,diet,
189,diﬀerence matrix,diﬀerence matrix,
190,diﬀerence of vectors,diﬀerence of vectors,
191,diﬀerence vector,diﬀerence vector,
192,diﬀusion,diﬀusion,
193,digits,digits,
194,dilation,dilation,
195,dimension,dimension,
196,dimension,matrix,
197,dimension,vector,
198,directed graph,directed graph,
199,dirichlet energy,dirichlet energy,
200,dirichlet,dirichlet,
201,discount factor,discount factor,
202,discounted cash ﬂow,discounted cash ﬂow,
203,discretization,discretization,
204,disease dynamics,disease dynamics,
205,displacement,displacement,
206,distance,distance,
207,distance,spherical,
208,distributive property,distributive property,
209,document,document,
210,document,angle,
211,document,dissimilarity,
212,document,scoring,
213,document,topic discovery,
214,document,word count,
215,document-term matrix,document-term matrix,
216,dot product,dot product,
217,down-sampling,down-sampling,
218,dual basis,dual basis,
