,Parent Class,Sub Class,Reference
0,acceptance criterion,acceptance criterion,
1,activation function,activation function,
2,active constraint,active constraint,
3,adaboost,adaboost,
4,adaline,adaline,
5,adaptive rejection sampling,adaptive rejection sampling,
6,adf,adf,assumed density ﬁltering
7,aic,aic,akaike information criterion
8,akaike information criterion,akaike information criterion,
9,ancestral sampling,ancestral sampling,
10,annular ﬂow,annular ﬂow,
11,ar model,ar model,autoregressive model
12,arc,arc,
13,ard,ard,automatic relevance determination
14,arma,arma,autoregressive moving average
15,assumed density ﬁltering,assumed density ﬁltering,
16,autoassociative networks,autoassociative networks,
17,automatic relevance determination,automatic relevance determination,
18,autoregressive hidden markov model,autoregressive hidden markov model,
19,autoregressive model,autoregressive model,
20,autoregressive moving average,autoregressive moving average,
21,back-tracking,back-tracking,
22,backgammon,backgammon,
23,backpropagation,backpropagation,
24,bagging,bagging,
25,basis function,basis function,
26,batch training,batch training,
27,baum-welch algorithm,baum-welch algorithm,
28,bayes’ theorem,bayes’ theorem,
29,bayes,bayes,
30,bayesian analysis,bayesian analysis,
31,bayesian analysis,hierarchical,
32,bayesian analysis,model averaging,
33,bayesian information criterion,bayesian information criterion,
34,bayesian model comparison,bayesian model comparison,
35,bayesian network,bayesian network,
36,bayesian probability,bayesian probability,
37,belief propagation,belief propagation,
38,bernoulli distribution,bernoulli distribution,
39,bernoulli distribution,mixture model,
40,bernoulli,bernoulli,
41,beta distribution,beta distribution,
42,beta recursion,beta recursion,
43,between-class covariance,between-class covariance,
44,bias,bias,
45,bias parameter,bias parameter,
46,bias-variance trade-off,bias-variance trade-off,
47,bic,bic,bayesian information criterion
48,binary entropy,binary entropy,
49,binomial distribution,binomial distribution,
50,biological sequence,biological sequence,
51,bipartite graph,bipartite graph,
52,bits,bits,
53,blind source separation,blind source separation,
54,blocked path,blocked path,
55,boltzmann distribution,boltzmann distribution,
56,boltzmann,boltzmann,
57,boolean logic,boolean logic,
58,boosting,boosting,
59,bootstrap,bootstrap,
60,bootstrap ﬁlter,bootstrap ﬁlter,
61,box constraints,box constraints,
62,box-muller method,box-muller method,
63,calculus of variations,calculus of variations,
64,canonical correlation analysis,canonical correlation analysis,
65,canonical link function,canonical link function,
66,cart,cart,classiﬁcation and regression trees
67,cauchy distribution,cauchy distribution,
68,causality,causality,
69,cca,cca,canonical correlation analysis
70,central differences,central differences,
71,central limit theorem,central limit theorem,
72,chain graph,chain graph,
73,chaining,chaining,
74,chapman-kolmogorov equations,chapman-kolmogorov equations,
75,child node,child node,
76,cholesky decomposition,cholesky decomposition,
77,chunking,chunking,
78,circular normal,circular normal,von mises distribution
79,classical probability,classical probability,
80,classiﬁcation,classiﬁcation,
81,classiﬁcation and regression trees,classiﬁcation and regression trees,
82,clique,clique,
83,clustering,clustering,
84,clutter problem,clutter problem,
85,co-parents,co-parents,
86,code-book vectors,code-book vectors,
87,combining models,combining models,
88,committee,committee,
89,complete data set,complete data set,
90,completing the square,completing the square,
91,computational learning theory,computational learning theory,
92,concave function,concave function,
93,concentration parameter,concentration parameter,
94,condensation algorithm,condensation algorithm,
95,conditional entropy,conditional entropy,
96,conditional expectation,conditional expectation,
97,conditional independence,conditional independence,
98,conditional mixture model,conditional mixture model,mixture model
99,conditional probability,conditional probability,
100,conjugate prior,conjugate prior,
101,convex duality,convex duality,
102,convex function,convex function,
103,convolutional neural network,convolutional neural network,
104,correlation matrix,correlation matrix,
105,cost function,cost function,
106,covariance,covariance,
107,covariance,between-class,
108,covariance,within-class,
109,covariance matrix,covariance matrix,
110,covariance matrix,diagonal,
111,covariance matrix,isotropic,
112,covariance matrix,partitioned,
113,covariance matrix,positive deﬁnite,
114,cox’s axioms,cox’s axioms,
115,credit assignment,credit assignment,
116,cross-entropy error function,cross-entropy error function,
117,cross-validation,cross-validation,
118,cumulative distribution function,cumulative distribution function,
119,curse of dimensionality,curse of dimensionality,
120,curve ﬁtting,curve ﬁtting,
121,dag,dag,directed acyclic graph
122,dagsvm,dagsvm,
123,data augmentation,data augmentation,
124,data compression,data compression,
125,decision boundary,decision boundary,
126,decision region,decision region,
127,decision surface,decision surface,decision boundary
128,decision theory,decision theory,
129,decision tree,decision tree,
130,decomposition methods,decomposition methods,
131,degrees of freedom,degrees of freedom,
