Absolute value rectiﬁcation, 192
Accuracy, 425
Activation function, 170
Active constraint, 95
AdaGrad, 307
ADALINE, see adaptive linear element
Adam,
Adaptive linear element,
Adversarial example, 268
Adversarial training,
Aﬃne, 110
AIS, see annealed importance sampling
Almost everywhere, 71
Almost sure convergence, 130
Ancestral sampling
ANN, see Artiﬁcial neural network
Annealed importance sampling, 
Approximate Bayesian computation, 718
Approximate inference, 585
Artiﬁcial intelligence, 1
Artiﬁcial neural network, see Neural network
Bag of words, 473
Bagging, 256
Batch normalization,
Bayes error, 117
Bayes’ rule, 70
Bayesian hyperparameter optimization, 438
Bayesian network, see directed graphical model
Bayesian probability, 55
Bayesian statistics, 135
Belief network, see directed graphical model
Bernoulli distribution, 62
BFGS, 316
Bias,
Bias parameter, 110
Biased importance sampling, 595
Bigram, 464
Binary relation, 484
Block Gibbs sampling, 601
Boltzmann distribution, 572
Boltzmann machine,
BPTT, see back-propagation through time
Broadcasting, 34
Burn-in, 599
ASR, see automatic speech recognition
Asymptotically unbiased, 124
Audio,
Autoencoder,
Automatic speech recognition, 460
Back-propagation, 203
Back-propagation through time, 384
Backprop, see back-propagation
CAE, see contractive autoencoder
Calculus of variations, 179
Categorical distribution, see multinoulli distribution
CD, see contrastive divergence
Centering trick (DBM), 675
Central limit theorem, 63
Chain rule (calculus), 206
Chain rule of probability, 59
Chess, 2
Chord, 581
Chordal graph, 581
Class-based language models, 465
Classical dynamical system, 375
Classiﬁcation, 100
Clique potential, see factor (graphical model)
CNN, see convolutional neural network
Collaborative Filtering, 480
Collider, see explaining away
Color images, 360
Complex cell, 365
Computational graph, 204
Computer vision, 454
Concept drift, 540
Condition number, 279
Conditional computation, see dynamic structure
Conditional independence,
Conditional probability, 59
Conditional RBM, 687
Connectionism,17 445
Connectionist temporal classiﬁcation, 462
Consistency,
Constrained optimization,
Content-based addressing, 421
Content-based recommender systems, 482
Context-speciﬁc independence, 575
Contextual bandits, 482
Continuation methods, 327
Contractive autoencoder, 523
Contrast, 456
Contrastive divergence,
Convex optimization, 141
Convolution,
Convolutional network, 16
Convolutional neural network,
Coordinate descent,
Correlation, 61
Cost function, see objective function
Covariance,
Covariance matrix, 62
Coverage, 426
Critical temperature, 605
Cross-correlation, 332
Cross-entropy,,75 132
Cross-validation, 122
CTC, see connectionist temporal classiﬁcation
Curriculum learning, 328
Curse of dimensionality, 154
Cyc, 2
DAE, see denoising autoencoder
Data generating distribution,
Data generating process, 111
Data parallelism, 449
Dataset, 105
Dataset augmentation,
DBM, see deep Boltzmann machine
DCGAN,
Decision tree,
Decoder, 4
Deep belief network,
Deep Blue, 2
Deep Boltzmann machine,
Deep feedforward network,
Deep learning,
Denoising autoencoder,
Denoising score matching, 621
Density estimation, 103
Derivative,
Design matrix, 106
Detector layer, 339
Determinant, xii
Diagonal matrix, 41
Diﬀerential entropy,
Dirac delta function, 65
Directed graphical model,
Directional derivative, 85
Discriminative ﬁne-tuning, see supervised ﬁne-tuning
Discriminative RBM, 688
Distributed representation,
Domain adaptation
Dot product
Double backprop, 271
Doubly block circulant matrix, 333
Dream sleep,
DropConnect, 266
Dropout,
Dynamic structure,
Early stopping,
EBM, see energy-based model
24 27 405
Echo state network,
Eﬀective capacity, 114
Eigendecomposition, 42
Eigenvalue, 42
Eigenvector, 42
ELBO, see evidence lower bound
Element-wise product, see Hadamard product, see Hadamard product
Embedding, 518
Empirical distribution, 66
Empirical risk, 276
Empirical risk minimization, 276
Encoder, 4
Energy function, 571
Energy-based model,
Ensemble methods, 256
Epoch, 246
Equality constraint, 94
Equivariance, 338
Error function, see objective function
ESN, see echo state network
Euclidean norm, 39
Euler-Lagrange equation, 648
Evidence lower bound,
Example, 99
Expectation, 60
Expectation maximization, 636
Expected value, see expectation
Explaining away,
Exploitation, 483
Exploration, 483
Exponential distribution,
F-score, 425
Factor (graphical model), 569
Factor analysis, 492
Factor graph, 581
Factors of variation, 4
Feature, 99
Feature selection, 236
Feedforward neural network, 167
Fine-tuning, 323
Finite diﬀerences, 441
Forget gate, 306
Forward propagation, 203
Fourier transform,
Fovea, 366
FPCD, 616
Free energy,
Freebase, 485
Frequentist probability, 55
Frequentist statistics, 135
Frobenius norm, 46
Fully-visible Bayes network, 707
