,keyword,abbreviation
0,acceptance criterion,
1,activation function,
2,active constraint,
3,adaboost,
4,adaline,
5,adaptive rejection sampling,
6,assumed density ﬁltering,
7,akaike information criterion,aic
8,akaike information criterion,
9,ancestral sampling,
10,annular ﬂow,
11,autoregressive model,ar model
12,arc,
13,automatic relevance determination,ard
14,autoregressive moving average,arma
15,assumed density ﬁltering,
16,autoassociative networks,
17,automatic relevance determination,
18,autoregressive hidden markov model,
19,autoregressive model,
20,autoregressive moving average,
21,back-tracking,
22,backgammon,
23,backpropagation,
24,bagging,
25,basis function,
26,batch training,
27,baum-welch algorithm,
28,bayes’ theorem,
29,bayes,
30,bayesian analysis,
31,bayesian information criterion,
32,bayesian model comparison,
33,bayesian network,
34,bayesian probability,
35,belief propagation,
36,bernoulli distribution,
37,bernoulli,
38,beta distribution,
39,beta recursion,
40,between-class covariance,
41,bias,
42,bias parameter,
43,bias-variance trade-off,
44,bayesian information criterion,bic
45,binary entropy,
46,binomial distribution,
47,biological sequence,
48,bipartite graph,
49,bits,
50,blind source separation,
51,blocked path,
52,boltzmann distribution,
53,boltzmann,
54,boolean logic,
55,boosting,
56,bootstrap,
57,bootstrap ﬁlter,
58,box constraints,
59,box-muller method,
60,calculus of variations,
61,canonical correlation analysis,
62,canonical link function,
63,classiﬁcation and regression trees,cart
64,cauchy distribution,
65,causality,
66,canonical correlation analysis,cca
67,central differences,
68,central limit theorem,
69,chain graph,
70,chaining,
71,chapman-kolmogorov equations,
72,child node,
73,cholesky decomposition,
74,chunking,
75,circular normal,
76,classical probability,
77,classiﬁcation,
78,classiﬁcation and regression trees,
79,clique,
80,clustering,
81,clutter problem,
82,co-parents,
83,code-book vectors,
84,combining models,
85,committee,
86,complete data set,
87,completing the square,
88,computational learning theory,
89,concave function,
90,concentration parameter,
91,condensation algorithm,
92,conditional entropy,
93,conditional expectation,
94,conditional independence,
95,conditional mixture model,
96,conditional probability,
97,conjugate prior,
98,convex duality,
99,convex function,
100,convolutional neural network,
101,correlation matrix,
102,cost function,
103,covariance,
104,covariance matrix,
105,cox’s axioms,
106,credit assignment,
107,cross-entropy error function,
108,cross-validation,
109,cumulative distribution function,
110,curse of dimensionality,
111,curve ﬁtting,
112,directed acyclic graph,dag
113,dagsvm,
114,data augmentation,
115,data compression,
116,decision boundary,
117,decision region,
118,decision surface,
119,decision theory,
120,decision tree,
121,decomposition methods,
122,degrees of freedom,
123,degrees-of-freedom parameter,
124,density estimation,
125,density network,
126,dependency map,
127,descendant node,
128,design matrix,
129,differential entropy,
130,digamma function,
131,directed acyclic graph,
132,directed cycle,
133,directed factorization,
134,dirichlet distribution,
135,dirichlet,
136,discriminant function,
137,discriminative model,
138,distortion measure,
139,distributive law of multiplication,
140,dna,
141,document retrieval,
142,dual representation,
143,dual-energy gamma densitometry,
144,dynamic programming,
145,dynamical system,
146,early stopping,
147,expectation conditional maximization,ecm
148,edge,
149,effective number of observations,
150,effective number of parameters,
151,elliptical k-means,
152,expectation maximization,em
153,emission probability,
154,empirical bayes,
155,energy function,
156,entropy,
157,expectation propagation,ep
158,equality constraint,
159,equivalent kernel,
160,erf function,
161,error backpropagation,
162,error function,
163,error-correcting output codes,
164,euler,
165,euler-lagrange equations,
166,evidence approximation,
167,evidence function,
168,expectation,
169,expectation conditional maximization,
170,expectation maximization,
171,expectation propagation,
172,expectation step,
173,explaining away,
174,exploitation,
175,exploration,
176,exponential distribution,
177,exponential family,
178,extensive variables,
179,face detection,
180,face tracking,
181,factor analysis,
182,factor graph,
183,factor loading,
184,factorial hidden markov model,
185,factorized distribution,
186,feature extraction,
187,feature map,
188,feature space,
189,fisher information matrix,
190,fisher kernel,
191,fisher’s linear discriminant,
192,forward kinematics,
193,forward problem,
194,forward propagation,
195,forward-backward algorithm,
196,fractional belief propagation,
197,frequentist probability,
198,fuel system,
199,function interpolation,
200,functional,
201,gamma densitometry,
202,gamma distribution,
203,gamma function,
204,gating function,
205,gauss,
206,gaussian,
207,gaussian kernel,
208,gaussian process,
209,gaussian random ﬁeld,
210,gaussian-gamma distribution,
211,gaussian-wishart distribution,
212,generalization,
213,generalized linear model,
214,generalized maximum likelihood,
215,generative model,
216,generative topographic mapping,
217,geodesic distance,
218,gibbs sampling,
219,gibbs,
220,gini index,
221,global minimum,
222,gradient descent,
223,gram matrix,
224,graph-cut algorithm,
225,graphical model,
226,green’s function,
227,generative topographic mapping,gtm
228,hamilton,
229,hamiltonian dynamics,
230,hamiltonian function,
231,hammersley-clifford theorem,
232,handwriting recognition,
233,handwritten digit,
234,head-to-head path,
235,head-to-tail path,
236,heaviside step function,
237,hellinger distance,
238,hessian matrix,
239,heteroscedastic,
240,hidden markov model,
241,hidden unit,
242,hidden variable,
243,hierarchical bayesian model,
244,hierarchical mixture of experts,
245,hinge error function,
246,hinton diagram,
247,histogram density estimation,
248,hierarchical mixture of experts,hme
249,hold-out set,
250,homogeneous ﬂow,
251,homogeneous kernel,
252,homogeneous markov chain,
253,hooke’s law,
254,hybrid monte carlo,
255,hyperparameter,
256,hyperprior,
257,independent identically distributed,i.i.d.
258,independent component analysis,ica
259,iterated conditional modes,icm
260,id3,
261,identiﬁability,
262,image de-noising,
263,importance sampling,
264,importance weights,
265,improper prior,
266,imputation step,
267,imputation-posterior algorithm,
268,inactive constraint,
269,incomplete data set,
270,independence map,
271,independent component analysis,
272,independent factor analysis,
273,independent identically distributed,
274,independent variables,
275,independent,
276,induced factorization,
277,inequality constraint,
278,inference,
279,information criterion,
280,information geometry,
281,information theory,
282,input-output hidden markov model,
283,intensive variables,
284,intrinsic dimensionality,
285,invariance,
286,inverse gamma distribution,
287,inverse kinematics,
288,inverse problem,
289,inverse wishart distribution,
290,Imputation posterior algorithm,ip algorithm
291,iterative reweighted least squares,irls
292,ising model,
293,isomap,
294,isometric feature map,
