concept,Right angle,Angle bisector theorem,Arc length,Skew lines,Rigid transformation,Perpendicular,Star polygon,Self-similarity,Hendecagon,Exterior angle theorem,Circle,Right triangle,Symmetry,Dodecagon,Arc (geometry),Convex polygon,Scaling (geometry),Collinearity,Altitude (triangle),Slope,Parallelogram,Pentagon,Bisection,Nonagon,Rectangle,Inverse trigonometric functions,Diameter,Face (geometry),Cross section (geometry),Chord (geometry),Cone,Diagonal,Edge (geometry),Distance,Coordinate system,Trigonometric functions,Pythagorean triple,Similarity (geometry),Rhombus,Midpoint,Octagon,Reflection (mathematics),Concentric,Secant line,Sine,Prism (geometry),Parallel (geometry),Line segment,Special right triangles,Cylinder (geometry),Vertex (geometry),Trapezoid,Heptagon,Polygon,Reflection symmetry,Isosceles triangle,Line (geometry),Quadrilateral,Rotational symmetry,Tangent,Triangle inequality,Cartesian coordinate system,Internal and external angle,Circumference,Rotation (mathematics),Decagon,Scale factor,Congruence (geometry),Point (geometry),Geometry,Radius,Space (mathematics),Angle,Triangle,Two-dimensional space,Translation (geometry),Sphere,Grade (slope),Tessellation,Kite (geometry),Pythagorean theorem,Transversal (geometry),Plane (geometry),Square,Pyramid (geometry),Hexagon,Polyhedron,Equilateral triangle,Acute and obtuse triangles
Right angle,0.3630114068503439,0.0,0.0,0.0,0.0,0.04559576400456703,0.0,0.0,0.0,0.0,0.016072884226022596,0.030301568449439157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010715256150681732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010749500166726779,0.015644122260079895,0.0,0.014879297353220263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006248544448805055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00519322672479353,0.0,0.0,0.0,0.011562247848246297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01601684126596443,0.0,0.0,0.27263379480551253,0.02406673657127224,0.0,0.0,0.0,0.0,0.0,0.0,0.013696742405805113,0.0,0.0,0.022465455752103652,0.0,0.0,0.0,0.0,0.0
Angle bisector theorem,0.011744486692217008,0.2607010091270798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03674035759223688,0.0,0.0,0.01617270327926014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010340670854711409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013818451288283037,0.0,0.0,0.4047055293133733,0.07786297125999841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009717914786192737,0.0
Arc length,0.0,0.0,0.9340626933098547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14312520715553456,0.0,0.0,0.0,0.02458362069441126,0.0,0.0,0.0,0.0,0.02458362069441126,0.0,0.0,0.0,0.0,0.0,0.0,0.013373291218206063,0.0,0.0,0.0,0.0,0.0,0.0,0.11824450183399454,0.04916724138882252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02230664568100096,0.0,0.0,0.029457423830080973,0.0,0.0,0.0,0.0,0.0,0.03780216482597443,0.0,0.0,0.0,0.0,0.0,0.028752927992403213,0.0,0.0,0.0,0.05253207084160281,0.0,0.0,0.0,0.0,0.0,0.008389773996457559,0.018873255511396746,0.0,0.03780216482597443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021523452351979458,0.0,0.0,0.029419049199183357,0.0,0.0,0.0,0.0,0.0
Skew lines,0.0,0.0,0.0,1.5128821636974135,0.0,0.08563106898418686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3230093708635949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023470142563804353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04010721227574833,0.0,0.0,0.015059398995713388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rigid transformation,0.0,0.0,0.0,0.0,2.725243510194513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47297800733597817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037666041615964055,0.0,0.0,0.0411866688788567,0.0,0.0,0.0,0.0,0.0
Perpendicular,0.0637685437128741,0.0,0.0,0.0,0.0,0.2836732655987559,0.0,0.0,0.0,0.0,0.05646899248990449,0.0035486247461700613,0.00996640714360604,0.0,0.0,0.0,0.0,0.0,0.0,0.018320873217127786,0.0030409008198410783,0.0,0.0,0.0,0.006274332498878276,0.0,0.03488242500262114,0.0,0.0,0.0,0.0,0.021318261211894788,0.0,0.05664945715240804,0.009160436608563893,0.0,0.0,0.0,0.006471864714872655,0.014065239848797576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02927074814040999,0.0,0.0,0.0,0.01131705864941817,0.0,0.007042988883926794,0.0,0.004678858675705923,0.0,0.024327206558728626,0.0,0.026785046989120865,0.0,0.006770289614562471,0.0,0.006524895998069804,0.0,0.0,0.0,0.0,0.0,0.014068024077710203,0.014065239848797576,0.0,0.09860184437497511,0.022900003144337936,0.0,0.0,0.014483960587801588,0.0,0.0,0.0,0.008020145743323145,0.0,0.0,0.01753957001685152,0.0,0.0,0.0,0.0,0.0
Star polygon,0.0,0.0,0.0,0.0,0.0,0.0,0.2645808680620372,0.0,0.007807787242311866,0.0,0.004609355997779292,0.0,0.00732169016415751,0.007807787242311866,0.0,0.006075078145642371,0.0,0.0,0.0,0.0,0.00893583145942127,0.06874524199500881,0.0,0.00834024634736396,0.004609355997779292,0.0,0.0,0.0,0.0,0.0,0.0,0.012528944578163866,0.0,0.0,0.0,0.0,0.0,0.0,0.00475447044695952,0.0,0.03660845082078755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01662785712177083,0.006874524199500881,0.206961572790251,0.0,0.0,0.0,0.00893583145942127,0.0,0.015741826498634162,0.0,0.0,0.0,0.0,0.0,0.08315398710521169,0.0,0.0,0.0,0.006889926131169057,0.0,0.0,0.04829103365105858,0.018117277949602984,0.0,0.0,0.0,0.0,0.018496346655596914,0.0,0.0,0.0,0.0,0.006442607422390992,0.0,0.029459473889580826,0.028760575097637294,0.0,0.0
Self-similarity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.128619771830903,0.0,0.0,0.019187784269825425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019120880270996298,0.0,0.0,0.0861537709987324,0.05387031151127797,0.0,0.0,0.0,0.0,0.03849820989944008,0.0,0.0,0.0,0.0,0.013409613123348693,0.0,0.0,0.0,0.0,0.0
Hendecagon,0.0,0.0,0.0,0.0,0.0,0.0060532307385373465,0.009332014853813726,0.0,0.3084345194756025,0.0,0.01707051152281021,0.0,0.09038500271615134,0.009638578733612579,0.0,0.0,0.0,0.0,0.0,0.0,0.011031129870595912,0.025459444794013606,0.0,0.010295890318469992,0.0056901705076034025,0.0,0.0,0.0,0.0,0.0,0.0,0.02320014909818619,0.0,0.022833421043805844,0.0,0.0,0.0,0.0,0.005869311793143131,0.0,0.0271155008148454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020526802929634335,0.008486481598004535,0.02980722421910167,0.0,0.0,0.0,0.011031129870595912,0.0,0.01943301340176217,0.0,0.0,0.0,0.0,0.0,0.4386046981292451,0.0,0.0,0.0,0.002835165005699451,0.025511435036094914,0.0,0.02980722421910167,0.009585200255110149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003976643891751681,0.0,0.02182032755683435,0.0,0.0,0.0
Exterior angle theorem,0.009255588850157774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35920784964916874,0.005464071017235055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02449773563068717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031863438579999286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046282660523504285,0.0,0.0,0.34347397444527755,0.0736346509664091,0.0,0.0,0.008409010230887014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
