,Unnamed: 0,topic_a,topic_b,relation,refd_equal,refd_tfidf
0,0,Parallelogram,Rotational symmetry,0,-0.5207373271889402,-0.49584913613002596
1,1,Angle,Isosceles triangle,0,-0.4182692307692308,0.12432702131960499
2,2,Angle,Pythagorean theorem,0,-0.3589743589743589,-0.31558063866156155
3,3,Edge (geometry),Acute and obtuse triangles,0,-0.25,0.0
4,4,Cartesian coordinate system,Line (geometry),1,0.3857142857142857,0.6385648700338501
5,5,Polygon,Line segment,1,-0.40834845735027225,-0.23432545846471914
6,6,Angle,Two-dimensional space,0,-0.3168498168498169,-0.30413494090703797
7,7,Point (geometry),Two-dimensional space,0,-0.002304147465437778,0.18443951401307146
8,8,Grade (slope),Geometry,1,-0.030303030303030304,-0.011294849460834045
9,9,Quadrilateral,Parallel (geometry),0,-0.05555555555555555,0.0
10,10,Perpendicular,Cone,0,-0.5855855855855856,-0.9191244488797617
11,11,Line segment,Bisection,0,-0.2894736842105263,-0.4533373927723179
12,12,Angle,Collinearity,0,-0.5064102564102564,-0.04748741407385547
13,13,Midpoint,Arc (geometry),0,-0.1590909090909091,0.08646024299548188
14,14,Edge (geometry),Isosceles triangle,0,-0.3125,0.0
15,15,Edge (geometry),Internal and external angle,0,-0.3333333333333333,0.0
16,16,Rectangle,Right triangle,0,-0.015384615384615385,0.37491209866109093
17,17,Vertex (geometry),Pythagorean theorem,0,-0.27777777777777773,0.0
18,18,Rotational symmetry,Prism (geometry),0,-0.3125,0.0
19,19,Concentric,Geometry,1,0.5696969696969697,0.9778068490554178
20,20,Circle,Cross section (geometry),0,-0.5555555555555556,0.0
21,21,Parallelogram,Circumference,0,-0.6060606060606061,-0.6046163778935811
22,22,Pythagorean theorem,Pythagorean triple,0,-0.6944444444444444,-0.5812598934634663
23,23,Similarity (geometry),Sphere,0,-0.34210526315789475,0.06766662083292999
24,24,Special right triangles,Right angle,1,0.0,0.4143580328386908
25,25,Quadrilateral,Internal and external angle,0,-0.7777777777777778,0.16509764414026884
26,26,Pythagorean triple,Pythagorean theorem,1,0.6944444444444444,0.5812598934634663
27,27,Circle,Geometry,1,0.09898989898989907,0.1876627114977344
28,28,Point (geometry),Quadrilateral,0,0.5385304659498207,0.8580162164035839
