,y_test,y_pred
0,0.0,0.05
1,0.0,0.1
2,0.0,0.13
3,0.0,0.17
4,0.0,0.07
5,0.0,0.01
6,1.0,0.58
7,1.0,0.81
8,1.0,0.33
9,1.0,0.99
10,1.0,0.63
11,0.0,0.04
12,0.0,0.01
13,1.0,0.62
14,1.0,0.61
15,0.0,0.12
16,0.0,0.05
17,0.0,0.17
18,0.0,0.0
19,1.0,0.75
20,0.0,0.06
21,0.0,0.45
22,0.0,0.03
23,1.0,0.84
24,0.0,0.06
25,0.0,0.09
26,1.0,0.34
27,0.0,0.01
28,0.0,0.64
29,0.0,0.21
30,0.0,0.34
31,1.0,0.61
32,0.0,0.03
33,0.0,0.12
34,1.0,1.0
35,1.0,0.45
36,0.0,0.01
37,0.0,0.51
38,0.0,0.0
39,0.0,0.17
40,0.0,0.08
41,0.0,0.01
42,1.0,0.75
43,0.0,0.14
44,1.0,0.31
45,0.0,0.12
46,0.0,0.47
47,0.0,0.04
48,0.0,0.01
49,0.0,0.28
50,0.0,0.01
51,0.0,0.04
52,0.0,0.23
53,1.0,0.46
54,1.0,0.08
55,0.0,0.33
56,0.0,0.19
57,0.0,0.23
58,0.0,0.21
59,1.0,0.2
60,0.0,0.02
61,1.0,0.89
62,0.0,0.38
63,0.0,0.01
64,0.0,0.0
65,1.0,0.31
66,0.0,0.43
67,0.0,0.52
68,0.0,0.04
69,1.0,0.83
70,0.0,0.13
71,0.0,0.0
72,0.0,0.15
73,1.0,0.93
74,0.0,0.06
75,0.0,0.12
76,1.0,0.26
77,1.0,0.77
78,0.0,0.42
79,0.0,0.0
80,0.0,0.21
81,0.0,0.18
82,1.0,0.81
83,0.0,0.21
84,0.0,0.45
85,0.0,0.0
86,1.0,0.73
87,1.0,0.47
88,0.0,0.41
89,0.0,0.21
90,0.0,0.01
91,0.0,0.29
92,0.0,0.17
93,0.0,0.08
94,0.0,0.07
95,0.0,0.18
96,0.0,0.09
97,1.0,1.0
98,1.0,0.47
99,0.0,0.02
100,1.0,0.37
101,0.0,0.04
102,0.0,0.41
103,0.0,0.15
104,0.0,0.1
105,1.0,0.96
106,0.0,0.03
107,0.0,0.05
108,0.0,0.05
109,0.0,0.14
110,1.0,0.64
111,0.0,0.0
112,0.0,0.0
113,0.0,0.16
114,1.0,0.73
115,0.0,0.54
116,0.0,0.1
117,0.0,0.08
118,0.0,0.3
119,1.0,0.9
120,0.0,0.04
121,1.0,0.92
122,0.0,0.18
123,0.0,0.09
124,1.0,0.54
125,0.0,0.01
126,0.0,0.04
127,1.0,0.16
128,0.0,0.0
129,0.0,0.03
130,0.0,0.09
131,1.0,0.47
132,0.0,0.01
133,0.0,0.05
134,0.0,0.01
135,0.0,0.2
136,0.0,0.12
137,0.0,0.14
138,0.0,0.2
139,1.0,0.49
140,0.0,0.14
141,0.0,0.02
142,0.0,0.54
143,0.0,0.36
144,0.0,0.0
145,0.0,0.04
146,0.0,0.06
147,0.0,0.49
148,0.0,0.03
149,0.0,0.31
150,0.0,0.14
151,0.0,0.0
152,0.0,0.01
153,0.0,0.0
154,0.0,0.39
155,0.0,0.56
156,0.0,0.5
157,0.0,0.02
158,0.0,0.13
159,0.0,0.0
160,0.0,0.01
161,1.0,0.45
162,0.0,0.19
163,0.0,0.05
164,0.0,0.49
165,0.0,0.39
166,0.0,0.25
167,1.0,0.69
168,0.0,0.18
169,0.0,0.22
170,0.0,0.16
171,1.0,0.91
172,0.0,0.09
173,0.0,0.19
174,0.0,0.0
175,0.0,0.04
176,1.0,0.67
177,0.0,0.61
178,0.0,0.0
179,1.0,0.33
180,0.0,0.03
181,0.0,0.0
182,0.0,0.01
183,1.0,0.76
184,0.0,0.37
185,0.0,0.16
186,0.0,0.01
187,1.0,0.85
188,1.0,0.82
189,0.0,0.18
190,0.0,0.13
191,1.0,0.82
192,0.0,0.06
193,0.0,0.05
194,0.0,0.27
195,1.0,1.0
196,0.0,0.05
197,0.0,0.48
198,1.0,0.95
199,0.0,0.2
200,0.0,0.05
201,0.0,0.0
202,1.0,0.41
203,0.0,0.0
204,0.0,0.12
205,0.0,0.3
206,0.0,0.0
207,0.0,0.05
208,0.0,0.42
209,0.0,0.0
210,0.0,0.31
211,1.0,0.61
212,0.0,0.0
213,0.0,0.08
214,0.0,0.13
215,1.0,0.74
216,0.0,0.0
217,0.0,0.0
218,0.0,0.05
219,1.0,0.69
220,0.0,0.21
221,0.0,0.0
222,0.0,0.0
223,1.0,0.39
224,1.0,0.11
225,0.0,0.0
226,0.0,0.0
227,0.0,0.01
228,0.0,0.17
229,0.0,0.36
230,0.0,0.05
231,0.0,0.42
232,1.0,0.2
233,0.0,0.02
234,0.0,0.06
235,1.0,0.55
236,0.0,0.0
237,0.0,0.49
238,0.0,0.12
239,0.0,0.0
240,1.0,0.86
241,1.0,0.93
242,1.0,0.98
243,0.0,0.09
244,1.0,0.35
245,0.0,0.29
246,0.0,0.07
247,0.0,0.16
248,0.0,0.07
249,0.0,0.12
250,1.0,0.29
251,0.0,0.0
252,0.0,0.08
253,0.0,0.0
254,0.0,0.13
255,1.0,0.56
256,0.0,0.08
257,0.0,0.24
258,1.0,0.71
259,0.0,0.03
260,0.0,0.0
261,1.0,0.65
262,0.0,0.03
263,0.0,0.18
264,1.0,0.95
265,0.0,0.03
266,0.0,0.0
267,0.0,0.0
268,0.0,0.0
269,0.0,0.87
270,1.0,0.54
271,0.0,0.16
272,0.0,0.0
273,1.0,0.43
274,0.0,0.1
275,0.0,0.35
276,0.0,0.04
277,0.0,0.23
278,0.0,0.0
279,0.0,0.06
280,0.0,0.0
281,0.0,0.51
282,1.0,0.42
283,0.0,0.04
284,0.0,0.39
285,0.0,0.09
286,1.0,0.15
287,0.0,0.04
288,0.0,0.01
289,0.0,0.05
290,0.0,0.25
291,1.0,0.51
292,0.0,0.11
293,1.0,0.49
294,0.0,0.0
295,0.0,0.01
296,0.0,0.7
297,1.0,0.39
298,0.0,0.03
299,0.0,0.0
300,0.0,0.41
301,1.0,0.79
302,0.0,0.0
303,0.0,0.3
304,0.0,0.0
305,1.0,0.63
306,1.0,0.55
307,1.0,0.05
308,0.0,0.22
309,0.0,0.19
310,0.0,0.01
311,0.0,0.06
312,0.0,0.25
313,0.0,0.05
314,0.0,0.01
315,0.0,0.46
316,0.0,0.27
317,0.0,0.21
318,0.0,0.01
319,1.0,0.57
320,0.0,0.01
321,0.0,0.03
322,1.0,0.84
323,0.0,0.06
324,1.0,0.13
325,1.0,0.49
326,0.0,0.0
327,0.0,0.2
328,0.0,0.12
329,0.0,0.0
330,0.0,0.05
331,0.0,0.22
332,1.0,0.84
333,1.0,0.18
334,1.0,0.76
335,0.0,0.02
336,0.0,0.01
337,0.0,0.16
338,0.0,0.02
339,0.0,0.0
340,0.0,0.2
341,0.0,0.25
342,0.0,0.04
343,0.0,0.22
344,0.0,0.55
345,0.0,0.32
346,0.0,0.13
347,0.0,0.01
348,0.0,0.04
349,0.0,0.12
350,0.0,0.3
351,1.0,0.36
352,0.0,0.01
353,1.0,0.99
354,0.0,0.1
355,0.0,0.05
356,0.0,0.28
