,Parent Class,Sub Class,Reference
0,absolute value rectiﬁcation,absolute value rectiﬁcation,
1,accuracy,accuracy,
2,activation function,activation function,
3,active constraint,active constraint,
4,adagrad,adagrad,
5,adaline,adaline,adaptive linear element
6,adam,adam,
7,adaptive linear element,adaptive linear element,
8,adversarial example,adversarial example,
9,adversarial training,adversarial training,
10,aﬃne,aﬃne,
11,ais,ais,annealed importance sampling
12,almost everywhere,almost everywhere,
13,almost sure convergence,almost sure convergence,
14,ancestral sampling,ancestral sampling,
15,ann,ann,artiﬁcial neural network
16,annealed importance sampling,annealed importance sampling,
17,approximate bayesian computation,approximate bayesian computation,
18,approximate inference,approximate inference,
19,artiﬁcial intelligence,artiﬁcial intelligence,
20,artiﬁcial neural network,artiﬁcial neural network,neural network
21,bag of words,bag of words,
22,bagging,bagging,
23,batch normalization,batch normalization,
24,bayes error,bayes error,
25,bayes’ rule,bayes’ rule,
26,bayesian hyperparameter optimization,bayesian hyperparameter optimization,
27,bayesian network,bayesian network,directed graphical model
28,bayesian probability,bayesian probability,
29,bayesian statistics,bayesian statistics,
30,belief network,belief network,directed graphical model
31,bernoulli distribution,bernoulli distribution,
32,bfgs,bfgs,
33,bias,bias,
34,bias parameter,bias parameter,
35,biased importance sampling,biased importance sampling,
36,bigram,bigram,
37,binary relation,binary relation,
38,block gibbs sampling,block gibbs sampling,
39,boltzmann distribution,boltzmann distribution,
40,boltzmann machine,boltzmann machine,
41,bptt,bptt,back-propagation through time
42,broadcasting,broadcasting,
43,burn-in,burn-in,
44,asr,asr,automatic speech recognition
45,asymptotically unbiased,asymptotically unbiased,
46,audio,audio,
47,autoencoder,autoencoder,
48,automatic speech recognition,automatic speech recognition,
49,back-propagation,back-propagation,
50,back-propagation through time,back-propagation through time,
51,backprop,backprop,back-propagation
52,cae,cae,contractive autoencoder
53,calculus of variations,calculus of variations,
54,categorical distribution,categorical distribution,multinoulli distribution
55,cd,cd,contrastive divergence
56,centering trick (dbm),centering trick (dbm),
57,central limit theorem,central limit theorem,
58,chain rule (calculus),chain rule (calculus),
59,chain rule of probability,chain rule of probability,
60,chess,chess,
61,chord,chord,
62,chordal graph,chordal graph,
63,class-based language models,class-based language models,
64,classical dynamical system,classical dynamical system,
65,classiﬁcation,classiﬁcation,
66,clique potential,clique potential,factor (graphical model)
67,cnn,cnn,convolutional neural network
68,collaborative filtering,collaborative filtering,
69,collider,collider,explaining away
70,color images,color images,
71,complex cell,complex cell,
72,computational graph,computational graph,
73,computer vision,computer vision,
74,concept drift,concept drift,
75,condition number,condition number,
76,conditional computation,conditional computation,dynamic structure
77,conditional independence,conditional independence,
78,conditional probability,conditional probability,
79,conditional rbm,conditional rbm,
80,connectionism,connectionism,
81,connectionist temporal classiﬁcation,connectionist temporal classiﬁcation,
82,consistency,consistency,
83,constrained optimization,constrained optimization,
84,content-based addressing,content-based addressing,
85,content-based recommender systems,content-based recommender systems,
86,context-speciﬁc independence,context-speciﬁc independence,
87,contextual bandits,contextual bandits,
88,continuation methods,continuation methods,
89,contractive autoencoder,contractive autoencoder,
90,contrast,contrast,
91,contrastive divergence,contrastive divergence,
92,convex optimization,convex optimization,
93,convolution,convolution,
94,convolutional network,convolutional network,
95,convolutional neural network,convolutional neural network,
96,coordinate descent,coordinate descent,
97,correlation,correlation,
98,cost function,cost function,objective function
99,covariance,covariance,
100,covariance matrix,covariance matrix,
101,coverage,coverage,
102,critical temperature,critical temperature,
103,cross-correlation,cross-correlation,
104,cross-entropy,cross-entropy,
105,cross-validation,cross-validation,
106,ctc,ctc,connectionist temporal classiﬁcation
107,curriculum learning,curriculum learning,
108,curse of dimensionality,curse of dimensionality,
109,cyc,cyc,
110,dae,dae,denoising autoencoder
111,data generating distribution,data generating distribution,
112,data generating process,data generating process,
113,data parallelism,data parallelism,
114,dataset,dataset,
115,dataset augmentation,dataset augmentation,
116,dbm,dbm,deep boltzmann machine
117,dcgan,dcgan,
118,decision tree,decision tree,
119,decoder,decoder,
120,deep belief network,deep belief network,
121,deep blue,deep blue,
122,deep boltzmann machine,deep boltzmann machine,
123,deep feedforward network,deep feedforward network,
124,deep learning,deep learning,
125,denoising autoencoder,denoising autoencoder,
126,denoising score matching,denoising score matching,
127,density estimation,density estimation,
128,derivative,derivative,
129,design matrix,design matrix,
130,detector layer,detector layer,
131,determinant,determinant,
132,diagonal matrix,diagonal matrix,
133,diﬀerential entropy,diﬀerential entropy,
134,dirac delta function,dirac delta function,
135,directed graphical model,directed graphical model,
136,directional derivative,directional derivative,
137,discriminative ﬁne-tuning,discriminative ﬁne-tuning,supervised ﬁne-tuning
138,discriminative rbm,discriminative rbm,
139,distributed representation,distributed representation,
140,domain adaptation,domain adaptation,
141,dot product,dot product,
142,double backprop,double backprop,
143,doubly block circulant matrix,doubly block circulant matrix,
144,dream sleep,dream sleep,
145,dropconnect,dropconnect,
146,dropout,dropout,
147,dynamic structure,dynamic structure,
148,early stopping,early stopping,
149,ebm,ebm,energy-based model
150,echo state network,echo state network,
151,eﬀective capacity,eﬀective capacity,
152,eigendecomposition,eigendecomposition,
153,eigenvalue,eigenvalue,
154,eigenvector,eigenvector,
155,elbo,elbo,evidence lower bound
156,element-wise product,element-wise product,hadamard product
157,embedding,embedding,
158,empirical distribution,empirical distribution,
159,empirical risk,empirical risk,
160,empirical risk minimization,empirical risk minimization,
161,encoder,encoder,
162,energy function,energy function,
163,energy-based model,energy-based model,
164,ensemble methods,ensemble methods,
165,epoch,epoch,
166,equality constraint,equality constraint,
167,equivariance,equivariance,
168,error function,error function,objective function
169,esn,esn,echo state network
170,euclidean norm,euclidean norm,
171,euler-lagrange equation,euler-lagrange equation,
172,evidence lower bound,evidence lower bound,
173,example,example,
174,expectation,expectation,
175,expectation maximization,expectation maximization,
176,expected value,expected value,expectation
177,explaining away,explaining away,
178,exploitation,exploitation,
179,exploration,exploration,
180,exponential distribution,exponential distribution,
181,f-score,f-score,
182,factor (graphical model),factor (graphical model),
183,factor analysis,factor analysis,
184,factor graph,factor graph,
185,factors of variation,factors of variation,
186,feature,feature,
187,feature selection,feature selection,
188,feedforward neural network,feedforward neural network,
189,fine-tuning,fine-tuning,
190,finite diﬀerences,finite diﬀerences,
191,forget gate,forget gate,
192,forward propagation,forward propagation,
193,fourier transform,fourier transform,
194,fovea,fovea,
195,fpcd,fpcd,
196,free energy,free energy,
197,freebase,freebase,
198,frequentist probability,frequentist probability,
199,frequentist statistics,frequentist statistics,
200,frobenius norm,frobenius norm,
201,fully-visible bayes network,fully-visible bayes network,
202,functional derivatives,functional derivatives,
203,fvbn,fvbn,fully-visible bayes network
204,gabor function,gabor function,
205,gans,gans,generative adversarial networks
206,gated recurrent unit,gated recurrent unit,
207,gaussian distribution,gaussian distribution,normal distribution
208,gaussian kernel,gaussian kernel,
209,gaussian mixture,gaussian mixture,
210,gcn,gcn,global contrast normalization
211,geneontology,geneontology,
212,generalization,generalization,
213,generalized lagrange function,generalized lagrange function,generalized lagrangian
214,generalized lagrangian,generalized lagrangian,
215,generative adversarial networks,generative adversarial networks,
216,generative moment matching networks,generative moment matching networks,
217,generator network,generator network,
218,gibbs distribution,gibbs distribution,
219,gibbs sampling,gibbs sampling,
220,global contrast normalization,global contrast normalization,
221,gpu,gpu,graphics processing unit
222,gradient,gradient,
223,gradient clipping,gradient clipping,
224,gradient descent,gradient descent,
225,graph,graph,
226,graphical model,graphical model,structured probabilistic model
227,graphics processing unit,graphics processing unit,
228,greedy algorithm,greedy algorithm,
229,greedy layer-wise unsupervised pretraining,greedy layer-wise unsupervised pretraining,
230,greedy supervised pretraining,greedy supervised pretraining,
231,grid search,grid search,
232,hadamard product,hadamard product,
233,hard tanh 196,hard tanh 196,
234,harmonium,harmonium,restricted boltzmann machine
235,harmony theory,harmony theory,
236,helmholtz free energy,helmholtz free energy,evidence lower bound
237,hessian,hessian,
238,hessian matrix,hessian matrix,
239,heteroscedastic,heteroscedastic,
240,hidden layer,hidden layer,
241,hill climbing,hill climbing,
242,hyperparameter optimization,hyperparameter optimization,
243,hyperparameters,hyperparameters,
244,hypothesis space,hypothesis space,
245,i.i.d. assumptions,i.i.d. assumptions,
246,identity matrix,identity matrix,
247,ilsvrc,ilsvrc,imagenet large-scale visual recognition challenge
248,imagenet large-scale visual recognition challenge,imagenet large-scale visual recognition challenge,
249,immorality,immorality,
250,importance sampling,importance sampling,
251,importance weighted autoencoder,importance weighted autoencoder,
252,independence,independence,
253,independent and identically distributed,independent and identically distributed,i.i.d. assumptions
254,independent component analysis,independent component analysis,
255,independent subspace analysis,independent subspace analysis,
256,inequality constraint,inequality constraint,
257,inference,inference,
258,information retrieval,information retrieval,
259,initialization,initialization,
260,integral,integral,
261,invariance,invariance,
262,isotropic,isotropic,
263,jacobian matrix,jacobian matrix,
264,joint probability,joint probability,
265,k-means,k-means,
