,concept,type,book1_title,book1_content,book2_title,book2_content,book3_title,book3_content
50,Hardness,0,,7.1,,12.3.2,,22.4.1
69,Hertz,0,,2.3,,15.2.1,,30.5
68,Electrical polarity,0,,8.3.3,,17.5.1,,
80,Stiffness,0,,,,13.3.1,,22.4.1
86,Tangential and normal components,0,,,,12.6.1,,
113,Friction,0,,4.2.2,,12.2.2,,23.3.2
58,Virtual image,0,,7.5.1,,13.2.2,,
112,Ohm,0,,10.4.1,,19.2.1,,29.2
92,Joule,0,,2.4,,19.5,,23.2
14,Real image,0,,7.5.1,,13.2.1,,
29,Crystallinity,0,,,,13.3.1,,22.4.2
128,Gravitational constant,0,,,,12.4.1,,
6,Angle of incidence,0,,7.3.2,,,,
106,Kilogram,0,,2.4,,12.3.2,,
2,Coulomb,0,,9.3,,12.2.2,,
100,Physical quantity,0,,2.1,,12.5,,23.2
104,Temperature,0,,2.1,,15.3,,22.4.3
102,Planet,0,,4.1.1,,13.5,,
123,Interference (wave propagation),1,,6.4.6,,,26.4,30.6.4
66,Electromotive force,1,10.2.5,10.2.5,,18.3,,28.2.1
64,Inelastic collision,1,,,,,21.4.2,
57,Optical microscope,1,,7.1,13.6,13.6,,27.3
62,Insulator (electricity),1,,9.5,20.2.2,20.2,,29.4.3
56,Position (vector),1,3.2.2,3.1,,11.6.2,,23.2
60,Snell's law,1,7.4.2,7.4.2,,,,
59,Geometrical optics,1,7,7.1,13,13.2,,31.2.2
71,Huygens–Fresnel principle,1,,,,,26.3,26.3
55,Elastic collision,1,,,,,21.4.1,
126,Electrical resistance and conductance,1,10.4,4.5.1,19.3,19.2.1,,29.2
127,Acceleration,1,3.5,3.5,,,,
151,Total internal reflection,1,7.6.1,,,,,
73,Magnetic field,1,8.2,,,,,
101,Direction (geometry),1,,3.2.1,11.4,11.2,,23.2
99,Refractive index,1,7.4.1,,,,,
107,Energy,1,,4.3,,15.4.1,23.3,21.4.1
108,Equations of motion,1,3.9,,,,21.2.2,21.2.2
93,Electromagnetic spectrum,1,,,,,30.4,30.4
90,Specular reflection,1,7.3.2,7.3.2,,,,31.2.2
89,Capacitance,1,,,,17.5.1,28.4.1,28.4.1
72,Color,1,,,,20.2,25,24.3
87,Electromagnetic radiation,1,,,,,30,25.1
83,Gravitational field,1,4.2.1,4.2.2,,12.4,,21.2.1
82,Plane mirror,1,7.5.2,7.5,,13.5.2,,
116,Power (physics),1,,10.1,,17.6.2,23.4,23.1
51,Newton's law of universal gravitation,1,,,12.4.1,17.2,,
118,Euclidean vector,1,,3.3,11,11.1,,23.2
119,Free fall,1,4.2.2,4.2.2,,12.3.2,,21.2
74,Voltage,1,10.2,10.2.1,,17.4.1,,28.3
85,Magnetism,1,8,,,,,
117,Reflection (physics),1,7.3,5.5,,13.5.2,,24.2.1
105,Electrostatics,1,9,9.5,17,12.2.2,,
48,Telescope,1,,7.1,13.5,13.5,,24.3.1
131,Ohmmeter,1,10.5.3,10.5.3,,,,
24,Mechanical energy,1,4.5.1,4.5,,,,23.3.1
22,Hooke's law,1,,,,,22.2.1,22.2.1
21,Electric potential,1,,10.2.1,17.4.1,17.4.1,,
19,Relative velocity,1,,,,,21.5.4,
140,Voltmeter,1,10.5.1,10.5,,19.5,,
17,Newton's laws of motion,1,,3.9,12.3,12.3.1,,21.5.2
141,Series and parallel circuits,1,10.3.4,10.1.2,,19.3,,29.2
142,Kinetic energy,1,4.4,4.5.2,,,,23.3.1
137,Capacitor,1,,,,17.5.1,28.4.1,28.4
143,Curved mirror,1,7.5.4,7.5,,13.2,,31.5.2
145,Free body diagram,1,,,12.2.5,12.2.6,,
10,Potential energy,1,4.3,4.3,,17.4.1,,23.3.1
9,Emission spectrum,1,,,,,31.4.1,31.4.1
146,Electric current,1,10.3,10.3.1,,17.4.2,,21.4.2
147,Ammeter,1,10.5.2,10.4.2,,,,
5,Refraction,1,7.4,7.4,,13.5.1,,25.2.1
148,Magnification,1,7.5.8,7.5.8,,13.2.1,,27.3
149,Scalar multiplication,1,,,11.6.3,,,
1,Absorption spectroscopy,1,,,,,31.4.2,31.4.2
144,Physics,1,,2.2.2,,11.1,,21.4.2
27,Work (physics),1,,2.5.3,,12.3.2,23.2,21.4.2
25,Resonance (particle physics),1,,,16.4,16.4,,29.3.2
134,Ohm's law,1,10.2.4,,19.2,,,
133,Frame of reference,1,3.2.1,3.2.1,,12.2.6,21.5,21.5.1
39,Laser,1,,7.6.2,,,31.5,31.5
42,Dielectric,1,,,17.5.2,17.5.2,,
37,Sound,1,,5.2,15,14.5,,24.2
36,Photoelectric effect,1,,,,,31.3,31.3
132,Musical tone,1,,,15.2.3,16.2,,
35,Torque,1,,,12.6.1,12.6.1,,28.2.2
44,Doppler effect,1,,,,,24,24.1
45,Standing wave,1,6.4.3,6.4.3,,16.1,,
46,Force,1,,3.9,12.2,11.6.1,,21.3
135,Pitch (music),1,,,15.2.1,15.2,,24.1
33,Electroscope,1,9.6.1,9.6.1,,,,
32,Transverse wave,1,6.2,,,,,
31,Diffraction,1,,,,14.5,26.5,26.5
30,Gravitational acceleration,1,4.2,,,,,
47,Refracting telescope,1,,,13.5.1,,,
41,Sound intensity,1,,,15.4.1,,,
129,Length,2,5.3.1,2.1,,11.5,,23.4
109,Dispersion (optics),2,,,,,25.2.1,
122,Field (physics),2,4.2.1,8.1,17.3.1,12.4,21.2.1,21.4.2
111,Fatigue (material),2,,,,,22.3.2,22.3.2
136,Compass,2,8.4,8.3.3,11.4.2,11.4.2,,
125,Crest (physics),2,6.2.1,6.2.1,,14.3,,26.2
124,Field line,2,,,17.3.1,,,
115,Projectile motion,2,,,,,21.2.3,21.2.3
139,Motion,2,3,3.1,12.3.2,12.1,21,21.1
138,Resultant force,2,,,12.2.6,,,
120,Electrical conductor,2,9.6,9.5,19.2.2,17.2,,28.1
110,Ray (optics),2,7.2.2,7.1,,13.2,30.6.3,30.6.1
130,Gravity of Earth,2,4.2,,,,,
0,Sonic boom,2,,,,,26.6,26.6.2
53,Wave,2,6.4.3,5.1,14,14.1,30.3,24.2
49,Le Sage's theory of gravitation,2,4,,,,,
43,Coulomb's law,2,,,17.2,,,
40,Electric field,2,,8.2,17.3,17.3,,30.3
38,Elasticity (physics),2,,,,,22.3.1,21.4
34,Strength of materials,2,,8.3.3,,12.4,22.4,22.4.1
28,Speed,2,3.4,2.5.3,14.3.4,14.3.4,,21.5.3
26,Amplitude,2,5.3.1,5.3.1,14.3.2,14.3.2,,24.2
23,Mass,2,4.1.1,2.9,12.4,12.2.2,,23.3.2
52,Intensity (physics),2,,,15.4.1,,,
20,Frequency,2,6.2.4,6.2.4,14.3.3,14.3.3,,24.2
16,Light,2,7.2,2.5.3,,13.2,24.3,21.5.3
15,Velocity,2,3.4,3.1,14.4,11.2,21.5.4,21.2.1
13,Plasticity (physics),2,,8.2,,20.1,22.3.1,22.2.2
11,Energy level,2,,4.5.1,,20.2,31.2.1,31.2.1
8,Wavelength,2,6.2.2,6.2.2,14.3.2,14.3.2,27.2,24.2
7,Electric potential energy,2,,4.3,17.4,17.4.1,,
4,Gravity,2,4.2,4.1,,12.2.2,,21.2.2
3,Magnet,2,8.3,8.1,,12.2.1,,27.3
18,Motion graphs and derivatives,2,6.3,6.3,14.4,14.4,21.2.3,21.2.3
103,Scalar (mathematics),2,,3.3.2,11.2,11.2,,
75,Lever,2,,,12.6,12.6.2,,
77,Distance,2,3.3,2.1,,12.4.1,,24.2
88,Subtractive color,2,,,,,25.3.2,
95,Electric charge,2,9.2,8.3.1,17.2,12.2.2,,28.2.2
84,Collision,2,,10.4.1,,12.5.8,21.4,21.4.1
54,Scattering,2,,,,,31.2,31.2.2
79,Metre,2,10.5.4,2.1,,12.6.2,,22.4.1
78,Electron,2,,8.2,,17.6.1,27.3,27.2
94,Displacement (vector),2,3.3,3.1,14.4,11.6,,21.2
91,Deformation (engineering),2,,,,,22.2,22.3.2
150,Compression (physics),2,,,14.3.1,12.5.9,,22.2.1
70,Fracture,2,,,,,22.3,22.2.2
67,Rarefaction,2,,,14.3.1,14.3,,
97,Pigment,2,,,,,25.4.3,25.3.4
63,Creep (deformation),2,,,,,22.3.2,22.3.2
76,Shock wave,2,,,,,26.6,
96,Mirror image,3,7.5,7.3,,,,26.4
61,Normal force,3,,,12.2,,,
81,Non-inertial reference frame,3,3.2.1,,,,21.5.2,21.5.2
114,Phase velocity,3,,,11,,,
121,Transmission medium,3,5.2,,,,,
65,Contact force,3,,,12.2.1,,,
12,Inertial frame of reference,3,3.2.1,,,,21.5.2,21.5.2
98,Tension (physics),3,,4.5.1,12.2,12.3.6,,22.2.1
