concept,Length,Temperature,Physical quantity,Metre,Physics,Hertz,Kilogram,Joule,Work (physics),Motion,Inertial frame of reference,Non-inertial reference frame,Direction (geometry),Frame of reference,Position (vector),Euclidean vector,Distance,Displacement (vector),Scalar (mathematics),Velocity,Speed,Acceleration,Equations of motion,Force,Newton's laws of motion,Le Sage's theory of gravitation,Gravity,Mass,Planet,Gravity of Earth,Gravitational acceleration,Field (physics),Gravitational field,Friction,Free fall,Potential energy,Energy,Electric potential energy,Kinetic energy,Tension (physics),Energy level,Mechanical energy,Sound,Transmission medium,Amplitude,Transverse wave,Crest (physics),Wavelength,Frequency,Motion graphs and derivatives,Wave,Standing wave,Interference (wave propagation),Geometrical optics,Hardness,Optical microscope,Telescope,Light,Ray (optics),Reflection (physics),Angle of incidence,Specular reflection,Refraction,Refractive index,Snell's law,Curved mirror,Plane mirror,Mirror image,Virtual image,Real image,Magnification,Total internal reflection,Laser,Magnetism,Plasticity (physics),Electric field,Electron,Magnetic field,Magnet,Strength of materials,Electrical polarity,Compass,Electrostatics,Electric charge,Coulomb,Insulator (electricity),Electrical conductor,Electroscope,Power (physics),Series and parallel circuits,Voltage,Electric potential,Ohm's law,Electromotive force,Electric current,Electrical resistance and conductance,Ohm,Collision,Voltmeter,Ammeter,Ohmmeter,Phase velocity,Scalar multiplication,Normal force,Contact force,Free body diagram,Resultant force,Newton's law of universal gravitation,Gravitational constant,Lever,Tangential and normal components,Torque,Stiffness,Crystallinity,Refracting telescope,Rarefaction,Compression (physics),Diffraction,Pitch (music),Musical tone,Sound intensity,Intensity (physics),Resonance (particle physics),Coulomb's law,Field line,Capacitance,Capacitor,Dielectric,Color,Projectile motion,Elastic collision,Inelastic collision,Relative velocity,Deformation (engineering),Hooke's law,Fracture,Elasticity (physics),Fatigue (material),Creep (deformation),Doppler effect,Dispersion (optics),Subtractive color,Pigment,Huygens–Fresnel principle,Shock wave,Sonic boom,Electromagnetic radiation,Electromagnetic spectrum,Scattering,Photoelectric effect,Emission spectrum,Absorption spectroscopy
Length,0.27044718986402017,0.4711093239183428,1.0259901239303209,0.3380247078820475,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14754539025780564,0.040301172556480566,0.21044673419211898,0.14754539025780564,0.21044673419211898,0.21044673419211898,0.11709196016117808,0.11709196016117808,0.11709196016117808,0.0,0.0,0.02520126664896809,0.040301172556480566,0.0,0.040301172556480566,0.040301172556480566,0.040301172556480566,0.0,0.0,0.040301172556480566,0.040301172556480566,0.040301172556480566,0.009549513322669113,0.0,0.0,0.0,0.0,0.040301172556480566,0.0,0.0,0.006851852186798261,0.0,0.006851852186798261,0.0,0.0,0.028328584505605693,0.03244849316594842,0.11709196016117808,0.13986023422446311,0.13986023422446311,0.0,0.006851852186798261,0.011535279082473569,0.006851852186798261,0.006851852186798261,0.040301172556480566,0.040301172556480566,0.13986023422446311,0.13986023422446311,0.13986023422446311,0.006851852186798261,0.0,0.006851852186798261,0.006851852186798261,0.006851852186798261,0.03314992823701141,0.03314992823701141,0.03314992823701141,0.03314992823701141,0.0,0.006851852186798261,0.0,0.002810946986759041,0.10599214183248967,0.028328584505605693,0.0,0.07302223922633534,0.040301172556480566,0.046045394426916283,0.14754539025780564,0.040301172556480566,0.10599214183248967,0.10599214183248967,0.040301172556480566,0.047745186328143736,0.047745186328143736,0.023612110804267502,0.0,0.047745186328143736,0.047745186328143736,0.0,0.047745186328143736,0.047745186328143736,0.047745186328143736,0.047745186328143736,0.03981205554239517,0.0,0.0455228317129327,0.0,0.0,0.0,0.0,0.0,0.040301172556480566,0.0,0.05353525416666255,0.05353525416666255,0.0,0.0,0.0,0.040301172556480566,0.03774296377094391,0.0,0.028328584505605693,0.028328584505605693,0.028328584505605693,0.006851852186798261,0.006851852186798261,0.0,0.0,0.0,0.0,0.0,0.040301172556480566,0.040301172556480566,0.040301172556480566,0.040301172556480566,0.11709196016117808,0.0,0.0,0.0,0.040301172556480566,0.040301172556480566,0.040301172556480566,0.040301172556480566,0.040301172556480566,0.040301172556480566,0.040301172556480566,0.0,0.0,0.040301172556480566,0.028328584505605693,0.0,0.0,0.040301172556480566,0.040301172556480566,0.028328584505605693,0.02886226641307475,0.006851852186798261,0.0
Temperature,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Physical quantity,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metre,0.27044718986402017,0.4711093239183428,1.0259901239303209,0.3380247078820475,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14754539025780564,0.040301172556480566,0.21044673419211898,0.14754539025780564,0.21044673419211898,0.21044673419211898,0.11709196016117808,0.11709196016117808,0.11709196016117808,0.0,0.0,0.02520126664896809,0.040301172556480566,0.0,0.040301172556480566,0.040301172556480566,0.040301172556480566,0.0,0.0,0.040301172556480566,0.040301172556480566,0.040301172556480566,0.009549513322669113,0.0,0.0,0.0,0.0,0.040301172556480566,0.0,0.0,0.006851852186798261,0.0,0.006851852186798261,0.0,0.0,0.028328584505605693,0.03244849316594842,0.11709196016117808,0.13986023422446311,0.13986023422446311,0.0,0.006851852186798261,0.011535279082473569,0.006851852186798261,0.006851852186798261,0.040301172556480566,0.040301172556480566,0.13986023422446311,0.13986023422446311,0.13986023422446311,0.006851852186798261,0.0,0.006851852186798261,0.006851852186798261,0.006851852186798261,0.03314992823701141,0.03314992823701141,0.03314992823701141,0.03314992823701141,0.0,0.006851852186798261,0.0,0.002810946986759041,0.10599214183248967,0.028328584505605693,0.0,0.07302223922633534,0.040301172556480566,0.046045394426916283,0.14754539025780564,0.040301172556480566,0.10599214183248967,0.10599214183248967,0.040301172556480566,0.047745186328143736,0.047745186328143736,0.023612110804267502,0.0,0.047745186328143736,0.047745186328143736,0.0,0.047745186328143736,0.047745186328143736,0.047745186328143736,0.047745186328143736,0.03981205554239517,0.0,0.0455228317129327,0.0,0.0,0.0,0.0,0.0,0.040301172556480566,0.0,0.05353525416666255,0.05353525416666255,0.0,0.0,0.0,0.040301172556480566,0.03774296377094391,0.0,0.028328584505605693,0.028328584505605693,0.028328584505605693,0.006851852186798261,0.006851852186798261,0.0,0.0,0.0,0.0,0.0,0.040301172556480566,0.040301172556480566,0.040301172556480566,0.040301172556480566,0.11709196016117808,0.0,0.0,0.0,0.040301172556480566,0.040301172556480566,0.040301172556480566,0.040301172556480566,0.040301172556480566,0.040301172556480566,0.040301172556480566,0.0,0.0,0.040301172556480566,0.028328584505605693,0.0,0.0,0.040301172556480566,0.040301172556480566,0.028328584505605693,0.02886226641307475,0.006851852186798261,0.0
Physics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hertz,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kilogram,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joule,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Work (physics),0.062410889968620036,0.062410889968620036,0.038961650275834966,0.062410889968620036,1.0,0.0,0.0,0.09337713278676228,0.27155362082654405,0.14087662296870773,0.015175300481831891,0.015175300481831891,0.11766277957268048,0.1128432831581456,0.036586234568348995,0.06424086116472427,0.015983296267755874,0.2105763586511226,0.08781897012088356,0.14087662296870773,0.14087662296870773,0.017445636587458516,0.008722818293729258,0.2626461123331274,0.06281457652244571,0.0,0.07819142063167947,0.07819142063167947,0.07819142063167947,0.0,0.0,0.07819142063167947,0.07819142063167947,0.08740189706082263,0.018844372956733715,0.04193885293315955,0.04193885293315955,0.04193885293315955,0.04193885293315955,0.05459663938544294,0.0,0.04193885293315955,0.006851852186798261,0.0,0.006851852186798261,0.0,0.0,0.028328584505605693,0.03244849316594842,0.1212045394356833,0.14087662296870773,0.14087662296870773,0.0,0.006851852186798261,0.011535279082473569,0.006851852186798261,0.006851852186798261,0.05509737275235623,0.05509737275235623,0.14087662296870773,0.14087662296870773,0.14087662296870773,0.006851852186798261,0.0,0.006851852186798261,0.006851852186798261,0.006851852186798261,0.03314992823701141,0.03314992823701141,0.03314992823701141,0.03314992823701141,0.0,0.00718249122581827,0.0,0.002810946986759041,0.10599214183248967,0.028328584505605693,0.0,0.09175569326869364,0.07819142063167947,0.046045394426916283,0.11766277957268048,0.046247732657064514,0.10599214183248967,0.10599214183248967,0.046247732657064514,0.047745186328143736,0.047745186328143736,0.023612110804267502,0.0,0.047745186328143736,0.047745186328143736,0.0,0.047745186328143736,0.047745186328143736,0.07819142063167947,0.07819142063167947,0.050251661217956566,0.0,0.0455228317129327,0.0,0.0,0.0,0.0,0.0,0.06446011249824006,0.0,0.05353525416666255,0.05353525416666255,0.0,0.0,0.0,0.07819142063167947,0.03774296377094391,0.0,0.028328584505605693,0.028328584505605693,0.028328584505605693,0.006851852186798261,0.006851852186798261,0.0,0.0,0.0,0.0,0.0,0.046247732657064514,0.046247732657064514,0.046247732657064514,0.05509737275235623,0.1212045394356833,0.0,0.0,0.0,0.07819142063167947,0.07819142063167947,0.07819142063167947,0.07819142063167947,0.07819142063167947,0.07819142063167947,0.05509737275235623,0.0,0.0,0.05509737275235623,0.028328584505605693,0.0,0.0,0.05509737275235623,0.05509737275235623,0.028328584505605693,0.02886226641307475,0.00718249122581827,0.0
Motion,0.0036059625315202687,0.031548972735657765,0.013679868319070945,0.031548972735657765,1.0,0.048269491461744925,0.012562915304489141,0.01906909870693065,0.01906909870693065,0.17312171667043416,0.015175300481831891,0.015175300481831891,0.06610033483549692,0.1128432831581456,0.14130416817731234,0.03383352021342145,0.04770125975021365,0.13862943611198905,0.038250040319318175,0.3208897237294357,0.06670739490671446,0.017445636587458516,0.008722818293729258,0.03154825232352302,0.012562915304489141,0.0,0.009482261168667164,0.042435647301508464,0.042435647301508464,0.0,0.0,0.007362598626043566,0.005835522773439791,0.0052996070916244845,0.018844372956733715,0.14357067320784953,0.14357067320784953,0.08549917699419342,0.12261526381100175,0.031548972735657765,0.00718249122581827,0.14357067320784953,0.00718249122581827,0.0,0.00718249122581827,0.0,0.0,0.028328584505605693,0.03244849316594842,0.00718249122581827,0.14685324593568627,0.14685324593568627,0.0,0.00718249122581827,0.011535279082473569,0.005835522773439791,0.00718249122581827,0.005509737275235622,0.031548972735657765,0.14685324593568627,0.14685324593568627,0.14685324593568627,0.00718249122581827,0.0,0.00718249122581827,0.00718249122581827,0.00718249122581827,0.03314992823701141,0.03314992823701141,0.03314992823701141,0.03314992823701141,0.0,0.00718249122581827,0.0,0.03385298494744368,0.10599214183248967,0.003840097010759883,0.0,0.07302223922633534,0.042435647301508464,0.046045394426916283,0.07302223922633534,0.031548972735657765,0.10599214183248967,0.10599214183248967,0.031548972735657765,0.047745186328143736,0.047745186328143736,0.023612110804267502,0.009482261168667164,0.08549917699419342,0.08549917699419342,0.0,0.08549917699419342,0.009482261168667164,0.08549917699419342,0.08549917699419342,0.050251661217956566,0.009482261168667164,0.0455228317129327,0.009482261168667164,0.0,0.0,0.0,0.0,0.031548972735657765,0.0,0.05353525416666255,0.05353525416666255,0.0,0.0,0.0,0.042435647301508464,0.031548972735657765,0.0,0.028328584505605693,0.028328584505605693,0.028328584505605693,0.00718249122581827,0.00718249122581827,0.0,0.0,0.0,0.0,0.0,0.031548972735657765,0.031548972735657765,0.031548972735657765,0.031548972735657765,0.03793825120457973,0.0,0.0,0.0,0.00564216415790728,0.031548972735657765,0.042435647301508464,0.03385298494744368,0.042435647301508464,0.042435647301508464,0.031548972735657765,0.0,0.0,0.031548972735657765,0.028328584505605693,0.0,0.0,0.031548972735657765,0.031548972735657765,0.028328584505605693,0.02886226641307475,0.00718249122581827,0.0
