concept,Inertial frame of reference,Elastic collision,Reflection (physics),Displacement (vector),Relative velocity,Fatigue (material),Torque,Non-inertial reference frame,Acceleration,Frequency,Insulator (electricity),Gravitational field,Electrostatics,Hardness,Speed,Euclidean vector,Compression (physics),Subtractive color,Wavelength,Refraction,Laser,Ohmmeter,Amplitude,Temperature,Hertz,Sonic boom,Optical microscope,Ammeter,Magnetic field,Lever,Sound,Gravitational constant,Work (physics),Elasticity (physics),Frame of reference,Electric potential,Field (physics),Pigment,Ohm's law,Plane mirror,Electromotive force,Normal force,Gravity of Earth,Ray (optics),Angle of incidence,Electromagnetic radiation,Free body diagram,Tangential and normal components,Mechanical energy,Newton's laws of motion,Ohm,Telescope,Newton's law of universal gravitation,Distance,Sound intensity,Phase velocity,Interference (wave propagation),Color,Capacitor,Compass,Contact force,Resultant force,Mirror image,Dielectric,Energy,Diffraction,Hooke's law,Transmission medium,Equations of motion,Snell's law,Planet,Electrical conductor,Scalar (mathematics),Electromagnetic spectrum,Kinetic energy,Plasticity (physics),Magnetism,Friction,Series and parallel circuits,Standing wave,Motion,Gravity,Creep (deformation),Physical quantity,Electrical polarity,Emission spectrum,Metre,Electric charge,Inelastic collision,Gravitational acceleration,Field line,Geometrical optics,Total internal reflection,Magnification,Refractive index,Le Sage's theory of gravitation,Position (vector),Mass,Dispersion (optics),Direction (geometry),Power (physics),Huygens–Fresnel principle,Electroscope,Fracture,Light,Kilogram,Doppler effect,Physics,Potential energy,Crystallinity,Voltage,Transverse wave,Rarefaction,Strength of materials,Refracting telescope,Energy level,Musical tone,Photoelectric effect,Pitch (music),Voltmeter,Projectile motion,Coulomb's law,Collision,Electric current,Virtual image,Electric potential energy,Electron,Scattering,Electrical resistance and conductance,Velocity,Specular reflection,Coulomb,Shock wave,Tension (physics),Curved mirror,Intensity (physics),Stiffness,Force,Magnet,Resonance (particle physics),Absorption spectroscopy,Electric field,Scalar multiplication,Free fall,Deformation (engineering),Real image,Crest (physics),Motion graphs and derivatives,Capacitance,Length,Wave,Joule
Inertial frame of reference,0.07459213338592767,0.0,0.0,0.0,0.024294150070042125,0.0,0.0046375608427446325,0.023748513987749867,0.09928489441654954,0.003584663192193235,0.0,0.0,0.0,0.0,0.038315169050796835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007988771073552399,0.0,0.0,0.0,0.0,0.0,0.14201453392395463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020887699227311284,0.0,0.0,0.0051168292208566965,0.024294150070042125,0.0,0.0,0.0,0.019564477383061968,0.0,0.0494315348130949,0.0,0.0,0.0,0.0,0.005790407284277845,0.0,0.0,0.0,0.012147075035021063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004381013702765349,0.0,0.0,0.20561789346891368,0.017857073867513455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008743118039738429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024648352630374258,0.0,0.0,0.0,0.0,0.0,0.0,0.02577144181172529,0.0,0.0,0.09953721738792178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010380379654373013,0.0,0.0,0.0,0.0,0.0,0.0,0.04314592867898485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2995930110613065,0.009326874142750154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014084772931642432,0.001999098314513405,0.0
Elastic collision,0.0,0.3325428767847355,0.0,0.0,0.025378710341026147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036946770156125526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03956119159310165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016919140227350766,0.0,0.0,0.0,0.036334029425686504,0.0,0.0,0.0,0.0,0.0,0.0,0.0887173116055427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06847903392526586,0.0,0.0,0.0,0.0,0.0,0.020955830606152352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028916771894324823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15694461266687282,0.0,0.0,0.0,0.0,0.0,0.0,0.044869921011486,0.0,0.0,0.007922349955365202,0.019378379235754358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9542534725127192,0.0,0.0,0.0,0.0,0.01175242253836636,0.0,0.1092656635376889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026921952606891595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027844583666436712,0.0
Reflection (physics),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007766770249752009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030144145477840112,0.0551643189908059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10843555622382167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025306552501892673,0.0,0.0,0.0,0.0,0.06426099525702338,0.0,0.0,0.0,0.0,0.0,0.0,0.014861570579835212,0.0,0.0,0.0,0.0,0.0,0.04238970099663426,0.0,0.0,0.0,0.0,0.02249082258447486,0.01712144836063124,0.02509176489853733,0.012863778410031178,0.0,0.0,0.0,0.018281546170792116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03424289672126248,0.0,0.05794441506183319,0.0,0.0,0.0,0.0,0.0,0.0,0.04498164516894972,0.0,0.0,0.32804897806175315,0.0,0.0,0.006161827743061824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046710176631445,0.03656309234158423,0.0,0.0,0.15740074133645646,0.0,0.0,0.0,0.023756944506655105,0.0,0.0,0.0,0.020208227309292,0.0,0.0,0.008654501996348433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0457755120278379,0.1169472513990342,0.0
Displacement (vector),0.022038584864024085,0.0,0.0,0.0,0.04306690239689286,0.0,0.032884522339461944,0.021049819216414658,0.10057430862975147,0.03812778122605531,0.0,0.0,0.0,0.0,0.08359673247446583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04028048598570349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037028194084779094,0.0,0.0,0.018141485419401016,0.12920070719067858,0.0,0.0,0.0,0.06936496526721969,0.0,0.0,0.0,0.0,0.0,0.0,0.030794438739113996,0.0,0.0,0.0,0.02153345119844643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015532684946168057,0.0,0.0,0.3022719808645006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024968461106093406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030248972556848955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20859808493558787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06852860663572406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07490538331828021,0.0,0.0
Relative velocity,0.017162791752514332,0.0,0.0,0.0,0.23477178651757524,0.0,0.012804592769348012,0.016392779566765395,0.026107785131026934,0.009897477132427338,0.0,0.0,0.0,0.0,0.12206602529457401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03136887404196378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028836115747438586,0.0,0.0,0.014127882450506984,0.0,0.0,0.0,0.0,0.05401873401341003,0.0,0.0,0.0,0.0,0.0,0.0,0.007993836604843752,0.0,0.0,0.0,0.03353882664536789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012096250223564505,0.0,0.0,0.30463225140743005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009722232643080617,0.0,0.0,0.0,0.0,0.0,0.0,0.035578273651585356,0.0,0.02729670594988604,0.02355672199117441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3248961322890573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044472842064481696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fatigue (material),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04609655812196943,0.05825077687314007,0.0,0.0,0.0,0.0,0.009578792262699209,0.0,0.0,0.0,0.0,0.0,0.07548175402184311,0.0,0.37630819985877567,0.08080814450142164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06358455149495139,0.0,0.0,0.0,0.0,0.0,0.0,0.018818823673902998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011443878006959476,0.0,0.0,0.0,0.0,0.0,0.8775142161980216,0.18845366824824117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008758158118395937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010469648236013398,0.010104113654646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06866326804175686,0.0064970695221685665,0.0
Torque,0.0049600907110847045,0.0,0.0,0.0,0.004846403338780783,0.0,0.4884739277432096,0.004737555220062634,0.033953475036130935,0.008581188613536747,0.0,0.0,0.0,0.0,0.0987767017984737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031873357735912387,0.09320060256451522,0.0,0.0,0.0,0.0,0.009065684825426874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333711200666396,0.0,0.0,0.0040829941608882085,0.09208166343683485,0.0,0.0,0.0,0.015611552285205457,0.0,0.0,0.0,0.0,0.0,0.0,0.030033109904131643,0.0,0.0,0.0,0.004846403338780783,0.0,0.0,0.0,0.0,0.0,0.00392309554968275,0.0,0.0,0.013983389005245924,0.0,0.0,0.04802154532765347,0.0035622807203735288,0.0,0.0,0.0,0.0,0.03993534551465555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022478000791163372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027231811611280902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03442846482824366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19536202948837278,0.0024808053985831617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01685850059337253,0.001595188424880262,0.033953475036130935
Non-inertial reference frame,0.04278078238310558,0.0,0.0,0.0,0.04180022879698425,0.0,0.01063911016864945,0.05448188503072029,0.10846248969875161,0.008223639087972716,0.0,0.1310199919208165,0.0,0.0,0.020284501262186564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07819153161930678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03593912955287383,0.0,0.0,0.011738608212553597,0.0,0.0,0.0,0.0,0.04488321281996569,0.0,0.0,0.0,0.0,0.0,0.0,0.006641937767259882,0.0,0.0,0.0,0.013933409598994749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010050560847520507,0.0,0.0,0.27612388563400747,0.010241557071073893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05654622074027035,0.0,0.0,0.0,0.0,0.0,0.0,0.03695169965651788,0.0,0.0,0.026097152794144197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04499174380963661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3103942771147502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acceleration,0.013059902141643901,0.0,0.0,0.0,0.00638028183657672,0.0,0.00974356217465539,0.006236983471530269,0.48176335491782196,0.01129712036327565,0.0,0.01714162472460899,0.0,0.0,0.10217378413545823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023869917621157623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01097131676586047,0.0,0.0,0.005375254939081781,0.0319014091828836,0.0,0.0,0.0,0.04110516460279686,0.0,0.0,0.0,0.0,0.0,0.0,0.009124278144922667,0.0,0.0,0.0,0.00638028183657672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004602277021086831,0.0,0.0,0.17385577984363432,0.0234486828563308,0.0,0.0,0.0,0.0,0.0191181145959355,0.0,0.0,0.009184689657907035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040689344024744806,0.0,0.0,0.0,0.0,0.0,0.0,0.01692064361375903,0.0,0.0,0.017925317070725307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16893869594783417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08798734679154695,0.0,0.0,0.0,0.0,0.0,0.009539438868876149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49929237319834346,0.0,0.0,0.0,0.0,0.02627325877768926,0.0,0.0,0.0,0.041340542369609296,0.0,0.0,0.0,0.008063747139830907,0.0,0.03468838509035383,0.0,0.0,0.0,0.004450886740979194,0.0,0.08618514338828423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012876391338250076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006767656090940306,0.0,0.009401938030693089,0.0,0.06540125296623571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010118619085915057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057433498894702076,0.0,0.0,0.012675759928584324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015013985345821606,0.0,0.0,0.004370626541507556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03810694292609349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07847230633343641,0.10915076797243191,0.0
