,index,title,page_no
0,1,What is Physics?,3
1,2,Units,9
2,2.1,Introduction,9
3,2.2,Unit Systems,9
4,2.2.1,SI Units,9
5,2.2.2,The Other Systems of Units,10
6,2.3,Writing Units as Words or Symbols,10
7,2.4,Combinations of SI Base Units,12
8,2.5,"Rounding, Scientific Notation and Significant Figures",12
9,2.5.1,Rounding Off,12
10,2.5.2,Error Margins,13
11,2.5.3,Scientific Notation,13
12,2.5.4,Significant Figures,15
13,2.6,Prefixes of Base Units,15
14,2.7,The Importance of Units,17
15,2.8,How to Change Units,17
16,2.8.1,Two other useful conversions,19
17,2.9,A sanity test,19
18,3,Motion in One Dimension,23
19,3.1,Introduction,23
20,3.2,"Reference Point, Frame of Reference and Position",23
21,3.2.1,Frames of Reference,23
22,3.2.2,Position,25
23,3.3,Displacement and Distance,28
24,3.3.1,Interpreting Direction,29
25,3.3.2,Differences between Distance and Displacement,29
26,3.4,"Speed, Average Velocity and Instantaneous Velocity",31
27,3.4.1,Differences between Speed and Velocity,35
28,3.5,Acceleration,38
29,3.6,Description of Motion,39
30,3.6.1,Stationary Object,40
31,3.6.2,Motion at Constant Velocity,41
32,3.6.3,Motion at Constant Acceleration,46
33,3.8,Worked Examples,49
34,3.9,Equations of Motion,54
35,3.9.1,Finding the Equations of Motion,54
36,3.10,Applications in the Real-World,59
37,4,Gravity and Mechanical Energy,67
38,4.1,Weight,67
39,4.1.1,Differences between Mass and Weight,68
40,4.2,Acceleration due to Gravity,69
41,4.2.1,Gravitational Fields,69
42,4.2.2,Free fall,69
43,4.3,Potential Energy,73
44,4.4,Kinetic Energy,75
45,4.4.1,Checking units,77
46,4.5,Mechanical Energy,78
47,4.5.1,Conservation of Mechanical Energy,78
48,4.5.2,Using the Law of Conservation of Energy,79
49,4.6,Energy graphs,82
50,5,Transverse Pulses,87
51,5.1,Introduction,87
52,5.2,What is a medium?,87
53,5.3,What is a pulse?,87
54,5.3.1,Pulse Length and Amplitude,88
55,5.3.2,Pulse Speed,89
56,5.4,Graphs of Position and Velocity,90
57,5.4.1,Motion of a Particle of the Medium,90
58,5.4.2,Motion of the Pulse,92
59,5.5,Transmission and Reflection of a Pulse at a Boundary,96
60,5.6,Reflection of a Pulse from Fixed and Free Ends,97
61,5.6.1,Reflection of a Pulse from a Fixed End,97
62,5.6.2,Reflection of a Pulse from a Free End,98
63,5.7,Superposition of Pulses,99
64,6,Transverse Waves,105
65,6.1,Introduction,105
66,6.2,What is a transverse wave?,105
67,6.2.1,Peaks and Troughs,106
68,6.2.2,Amplitude and Wavelength,107
69,6.2.3,Points in Phase,109
70,6.2.4,Period and Frequency,110
71,6.2.5,Speed of a Transverse Wave,111
72,6.3,Graphs of Particle Motion,115
73,6.4,Standing Waves and Boundary Conditions,118
74,6.4.1,Reflection of a Transverse Wave from a Fixed End,118
75,6.4.2,Reflection of a Transverse Wave from a Free End,118
76,6.4.3,Standing Waves,118
77,6.4.4,Nodes and anti-nodes,122
78,6.4.5,Wavelengths of Standing Waves with Fixed and Free Ends,122
79,6.4.6,Superposition and Interference,125
80,7,Geometrical Optics,129
81,7.1,Introduction,129
82,7.2,Light Rays,129
83,7.2.1,Shadows,132
84,7.2.2,Ray Diagrams,132
85,7.3,Reflection,132
86,7.3.1,Terminology,133
87,7.3.2,Law of Reflection,133
88,7.3.3,Types of Reflection,135
89,7.4,Refraction,137
90,7.4.1,Refractive Index,139
91,7.4.2,Snell's Law,139
92,7.4.3,Apparent Depth,143
93,7.5,Mirrors,146
94,7.5.1,Image Formation,146
95,7.5.2,Plane Mirrors,147
96,7.5.3,Ray Diagrams,148
97,7.5.4,Spherical Mirrors,150
98,7.5.5,Concave Mirrors,150
99,7.5.6,Convex Mirrors,153
100,7.5.8,Magnification,154
101,7.6,Total Internal Reflection and Fibre Optics,156
102,7.6.1,Total Internal Reflection,156
103,7.6.2,Fibre Optics,161
104,8,Magnetism,167
105,8.1,Introduction,167
106,8.2,Magnetic fields,167
107,8.3,Permanent magnets,169
108,8.3.1,The poles of permanent magnets,169
109,8.3.2,Magnetic attraction and repulsion,169
110,8.3.3,Representing magnetic fields,170
111,8.4,The compass and the earth's magnetic field,173
112,8.4.1,The earth's magnetic field,175
113,9,Electrostatics,177
114,9.1,Introduction,177
115,9.2,Two kinds of charge,177
116,9.3,Unit of charge,177
117,9.4,Conservation of charge,177
118,9.5,Force between Charges,178
119,9.6,Conductors and insulators,181
120,9.6.1,The electroscope,182
121,9.7,Attraction between charged and uncharged objects,183
122,9.7.1,Polarisation of Insulators,183
123,10,Electric Circuits,187
124,10.1,Electric Circuits,187
125,10.1.1,Closed circuits,187
126,10.1.2,Representing electric circuits,188
127,10.2,Potential Difference,192
128,10.2.1,Potential Difference,192
129,10.2.2,Potential Difference and Parallel Resistors,193
130,10.2.3,Potential Difference and Series Resistors,194
131,10.2.4,Ohm's Law,194
132,10.2.5,EMF,195
133,10.3,Current,198
134,10.3.1,Flow of Charge,198
135,10.3.2,Current,198
136,10.3.3,Series Circuits,199
137,10.3.4,Parallel Circuits,200
138,10.4,Resistance,202
139,10.4.1,What causes resistance?,202
140,10.4.2,Resistors in electric circuits,202
141,10.5,"Instruments to Measure voltage, current and resistance",204
142,10.5.1,Voltmeter,204
143,10.5.2,Ammeter,204
144,10.5.3,Ohmmeter,204
145,10.5.4,Meters Impact on Circuit,205
146,11,Vectors,211
147,11.1,Introduction,211
148,11.2,Scalars and Vectors,211
149,11.3,Notation,211
150,11.3.1,Mathematical Representation,212
151,11.3.2,Graphical Representation,212
152,11.4,Directions,212
153,11.4.1,Relative Directions,212
154,11.4.2,Compass Directions,213
155,11.4.3,Bearing,213
156,11.5,Drawing Vectors,214
157,11.6,Mathematical Properties of Vectors,215
