,concept,wiki_terms
0,Optical microscope,Compound microscope|Light microscope|Optical microscopy|Optical Microscope|Binocular microscope|Optical Microscopy|Optical light microscope|Transmitted light microscope|Visible light microscope|Optic microscopy
1,Relative velocity,
2,Energy,Effort|Energies|Energetic|Energy quality|Total energy|Energy (chemistry)|Energy (biology)|Energy (earth science)|Energy(Chemistry)|Energy(Biology)|Energy(Earth Sciences)|Energy (cosmology)|Energy (Earth science)|Energy (physics)|Energy (natural science)|Physical energy|Molar energy|Energy (physical)|Energy physics|Energetically|Energize|Energizes|Energized (physics)|Energizing|Energise|Energises|Energising|Energizer (physics)|Energizers|Energisers|Energization|Energisation|Energizations|Energisations|Energizational|Energisational|Reenergize|Reenergizes|Reenergized|Reenergizing|Reenergizer|Reenergizers|Reenergization|Reenergizations|Reenergizational|Reenergise|Reenergises|Reenergised|Reenergising|Reenergiser
3,Sonic boom,Sonic booms|Sonicboom|Sonic Boom|Sound boomCooper pair
4,Amplitude,Pulse amplitude|Peak-to-peak|Amplitude (wave motion)|Peak amplitude|Peak to peak|Peak value|Wave amplitude|Semi-amplitude|Amplitudes
5,Planet,Planets|Major Planets|Planetary mass object|List of Solar System bodies formerly regarded as planets|List of Solar System bodies formerly considered planets|Planemos|PLANETS|Major planet|Major planets|List of solar system bodies formerly considered planets|Escaping the Earth|Planetary mass objects|(191621) 2004 MN3|Planetary bodies|Planet-sam|Length of the days and years of the planets|Planet names|Rotation of planets|Alien world|Foreign planet|Planemo|Planetary-mass object|Satellite planet|Names of planets|X-ray dark planet|Former planet|Former planets
6,Energy level,Quantum energy level|Energy state|Quantum level|Quantum levels|Energy levels|Molecular energy state|Electronic state|Energy Level|Energy level (quantum mechanics)|Quantized electronic structure|Atomic energy level|Quantum energy|Quantum Energy|Energy State
7,Doppler effect,
8,Snell's law,Angle of refraction|Snell's Law|Law of refraction|Snel's law of refraction|Law of Refraction|Angle of Refraction|Snel's law|Snell’s law|Laws of Refraction|Snell law|Snells law|Descartes law|Snells Law|Snells' Law|Snell Law
9,Telescope,TeleScope|Telescopes|Perspicil|Telescopy|Astronomic telescope|Telescopic observational astronomy|Telescopically|Astronomical telescope|Ground telescope|🔭
10,Inertial frame of reference,Inertial reference frame|Inertial reference frames|Inertial frame|Inertial frames|Inertial|Inertial frames of reference|Equivalence of inertial frames|Inertial Frame of Reference|Velocity Reference Frames|Inertial Reference Frame|Inertial space|Inertial system|Inertial observer
11,Velocity,Velocities|Transverse velocity|First temporal derivative of displacement|Formula for velocity|Time-average velocity|Velocity vector|Rate of speed|Instantaneous velocity|Average velocity
12,Joule,Joules|List of converted amounts of joules|Megajoule|Kilojoule|Kilojoules|Terajoule|Petajoule|Terajoules|Gigajoule|Millijoule|Exajoule|Joule (unit)|Picojoule|Femtojoule|Attojoule|Nanojoule|Yottajoule|Yoctojoule|Zeptojoule|Joule (J)|Exajoules|Decajoule|Hectojoule|Decijoule|Centijoule|ΜJ|SI unit of energy|Petajoules|Zetajoule|Ocrajoule
13,Work (physics),
14,Capacitance,Electric capacitance|Elastance|Self-capacitance|Stray capacitance|Nominal capacity|Electrical capacitance|Electrical elastance|Capacatence|Capacitence|Transcapacitance|Self capacitance
15,Elastic collision,Elastic interaction|Elastic interactions|Elastic Collisions|Elastic Collision|Why balls bounce?
16,Sound,Radiation of sound|Sounds|Sound wave|Sound waves|Frequency (sound)|Sound Wave|Auditory Range|Auditory range|Wave audio|DB (SPL)|Airborne sound|Acoustic Radiation|Sound propagation|Acoustic energy|Characteristics of sound|Sound production|Sonida
17,Resonance (particle physics),Resonance (quantum field theory)|Unstable particle|Resonance (particle)
18,Transverse wave,Tranverse wave|Tranverse waves|Transverse waves|Transverse Wave|Transverse vibration|Displacement wave|Transversal vibration|Rotational wave|Transversal wave
19,Electric field,Electrical field|Electric Field|Electric fields|Electrostatic field|Electric field strength|E-field|Electrostatic fields|E field|Electric field vector|Electric Field Strength|Electrical fields|Volts per metre
20,Light,Visible light|Light wave|Light waves|Wave theory of light|Exciting light|Visible Light|Light generation|Light source|Lightsource|Undulatory theory|Light Wave|Vislble light|Light reflection|Optic light|Electromagnetic theory of light|Undulatory theory of light|Light in space|Light wavelength|Properties of light
21,Pigment,Pigments
22,Hooke's law,Hooke's Law|Spring equation|Hookes law|Spring constant|Spring Constant|Ceiiinosssttuv|Hooke law|Atomic Spring Constant|Force constant|Elasticity tensor|Stress-strain relationship|Stress-Strain Relationship|Hooke Law|Hook's law|Hooke’s Law|Hooke's constant|Linear spring|Hooke's law of elasticity|Stiffness tensor|Compliance tensor|Elastic compliance tensor|Hooke’s law|Spring physics|Physics spring|Hookean|Hookes Law|3D Hooke's law|3-D Hooke's law|Robert Hooke's law|Hookean solid
