,concept,type,index,single_index,single_score,first_index,first_score
29,Crystallinity,0,,,0.0,,0.0
2,Coulomb,0,,,0.0,,0.0
92,Joule,0,,,0.0,,0.0
100,Physical quantity,0,,,0.0,,0.0
58,Virtual image,0,,,0.0,,0.0
14,Real image,0,,,0.0,,0.0
102,Planet,0,,,0.0,,0.0
104,Temperature,0,,,0.0,,0.0
80,Stiffness,0,,,0.0,,0.0
106,Kilogram,0,,,0.0,,0.0
113,Friction,0,,,0.0,,0.0
128,Gravitational constant,0,,,0.0,,0.0
69,Hertz,0,,,0.0,,0.0
68,Electrical polarity,0,,,0.0,,0.0
50,Hardness,0,,,0.0,,0.0
112,Ohm,0,,,0.0,,0.0
86,Tangential and normal components,0,,,0.0,,0.0
6,Angle of incidence,0,,,0.0,,0.0
114,Phase velocity,3,11,11,0.01872122815538225,11,0.01872122815538225
79,Metre,2,10.5.4,10.5.4,0.041698969470070124,10.5.4,0.041698969470070124
19,Relative velocity,1,21.5.4,21.5.4,0.08389092231778478,21.5.4,0.08389092231778478
55,Elastic collision,1,21.4.1,21.4.1,0.08778304264649864,21.4.1,0.08778304264649864
56,Position (vector),1,3.2.2,3.2.2,0.1026193902943658,3.2.2,0.1026193902943658
22,Hooke's law,1,22.2.1,22.2.1,0.10791319204674288,22.2.1,0.10791319204674288
115,Projectile motion,2,21.2|21.2.3,21.2.3,0.11728308182335773,21.2.3,0.11728308182335773
129,Length,2,5.3.1,5.3.1,0.11924469381737204,5.3.1,0.11924469381737204
25,Resonance (particle physics),1,16.4,16.4,0.12099238745903715,16.4,0.12099238745903715
130,Gravity of Earth,2,4|4.2,4.2,0.14015444857457854,4.2,0.14015444857457854
88,Subtractive color,2,25.3.2,25.3.2,0.14331268474918304,25.3.2,0.14331268474918304
150,Compression (physics),2,14.3.1,14.3.1,0.15446332107540608,14.3.1,0.15446332107540608
89,Capacitance,1,28.4.1,28.4.1,0.1565594502976151,28.4.1,0.1565594502976151
49,Le Sage's theory of gravitation,2,4|4.2,4,0.17415397172169195,4,0.17415397172169195
109,Dispersion (optics),2,25.2.1,25.2.1,0.1790560100675121,25.2.1,0.1790560100675121
67,Rarefaction,2,14.3.1,14.3.1,0.1883101816140791,14.3.1,0.1883101816140791
101,Direction (geometry),1,11.4,11.4,0.18880926641298398,11.4,0.18880926641298398
132,Musical tone,1,15.2.3,15.2.3,0.18918742379524506,15.2.3,0.18918742379524506
141,Series and parallel circuits,1,10.3.3|10.3.4,10.3.4,0.19312390171597488,10.3.4,0.19312390171597488
108,Equations of motion,1,3.9|21.2.2,21.2.2,0.19363213004334429,3.9,0.18755101504856114
149,Scalar multiplication,1,11.6.3,11.6.3,0.19828559631353795,11.6.3,0.19828559631353795
70,Fracture,2,22.3|22.3.2,22.3,0.20613871593838407,22.3,0.20613871593838407
111,Fatigue (material),2,22.3.2,22.3.2,0.21402996065843333,22.3.2,0.21402996065843333
91,Deformation (engineering),2,22.2,22.2,0.22132962129042627,22.2,0.22132962129042627
54,Scattering,2,31.2,31.2,0.2243139660113573,31.2,0.2243139660113573
34,Strength of materials,2,22.4,22.4,0.2349503967222089,22.4,0.2349503967222089
76,Shock wave,2,26.6,26.6,0.2399802903911013,26.6,0.2399802903911013
27,Work (physics),1,23.2,23.2,0.2420440061361994,23.2,0.2420440061361994
30,Gravitational acceleration,1,4.2,4.2,0.2429562702454981,4.2,0.2429562702454981
