,concept,type,concept_pos,rank
86,Tension (physics),3,1,1.0
81,Physics,1,1,1.0
25,Length,2,2.1,2.0
19,Metre,2,2.1,2.0
3,Physical quantity,0,2.1,2.0
7,Temperature,0,2.1,2.0
12,Hertz,0,2.3,3.0
9,Kilogram,0,2.4,4.0
72,Motion,2,3,5.0
22,Position (vector),1,3.1,6.0
113,Frame of reference,1,3.2.1,7.0
125,Inertial frame of reference,3,3.2.1,7.0
108,Non-inertial reference frame,3,3.2.1,7.0
59,Displacement (vector),2,3.3,8.0
54,Distance,2,3.3,8.0
85,Speed,2,3.4,9.0
121,Velocity,2,3.4,9.0
74,Acceleration,1,3.5,10.0
37,Equations of motion,1,3.9,11.0
57,Gravity,2,4,12.0
27,Gravity of Earth,2,4,12.0
31,Le Sage's theory of gravitation,2,4,12.0
134,Mass,2,4.1.1,13.0
6,Planet,0,4.1.1,13.0
46,Gravitational acceleration,1,4.2,14.0
104,Gravitational field,1,4.2.1,15.0
75,Field (physics),2,4.2.1,15.0
10,Friction,0,4.2.2,16.0
61,Free fall,1,4.2.2,16.0
116,Potential energy,1,4.3,17.0
83,Kinetic energy,1,4.4,18.0
150,Mechanical energy,1,4.5,19.0
47,Motion graphs and derivatives,2,4.6,20.0
70,Transmission medium,3,5.2,21.0
71,Amplitude,2,5.3.1,22.0
109,Transverse wave,1,6,23.0
82,Wave,2,6,23.0
67,Crest (physics),2,6.2.1,24.0
51,Wavelength,2,6.2.2,25.0
76,Frequency,2,6.2.4,26.0
136,Standing wave,1,6.4.3,27.0
78,Geometrical optics,1,7,28.0
97,Light,2,7.2,29.0
105,Ray (optics),2,7.2,29.0
142,Reflection (physics),1,7.3,30.0
139,Mirror image,3,7.3,30.0
17,Angle of incidence,0,7.3.2,31.0
101,Specular reflection,1,7.3.2,31.0
133,Refraction,1,7.4,32.0
117,Refractive index,1,7.4.1,33.0
96,Snell's law,1,7.4.2,34.0
4,Virtual image,0,7.5.1,35.0
5,Real image,0,7.5.1,35.0
126,Plane mirror,1,7.5.2,36.0
145,Curved mirror,1,7.5.4,37.0
107,Magnification,1,7.5.8,38.0
123,Total internal reflection,1,7.6.1,39.0
148,Magnetism,1,8,40.0
140,Magnetic field,1,8.2,41.0
143,Magnet,2,8.3,42.0
13,Electrical polarity,0,8.3.3,43.0
122,Compass,2,8.4,44.0
87,Electrostatics,1,9,45.0
132,Electric charge,2,9.2,46.0
1,Coulomb,0,9.3,47.0
56,Electrical conductor,2,9.6,48.0
112,Electroscope,1,9.6.1,49.0
102,Voltage,1,10.2,50.0
98,Ohm's law,1,10.2.4,51.0
77,Electromotive force,1,10.2.5,52.0
100,Electric current,1,10.3,53.0
36,Series and parallel circuits,1,10.3.3,54.0
99,Electrical resistance and conductance,1,10.4,55.0
15,Ohm,0,10.4.1,56.0
91,Voltmeter,1,10.5.1,57.0
93,Ammeter,1,10.5.2,58.0
106,Ohmmeter,1,10.5.3,59.0
103,Euclidean vector,1,11,60.0
18,Phase velocity,3,11,60.0
66,Scalar (mathematics),2,11.2,61.0
34,Direction (geometry),1,11.4,62.0
38,Scalar multiplication,1,11.6.3,63.0
138,Contact force,3,12.2,64.0
144,Force,1,12.2,64.0
118,Normal force,3,12.2,64.0
115,Free body diagram,1,12.2.5,65.0
52,Resultant force,2,12.2.6,66.0
120,Newton's laws of motion,1,12.3,67.0
80,Newton's law of universal gravitation,1,12.4.1,68.0
11,Gravitational constant,0,12.4.1,68.0
95,Lever,2,12.6,69.0
16,Tangential and normal components,0,12.6.1,70.0
69,Torque,1,12.6.1,70.0
0,Crystallinity,0,13.3.1,71.0
127,Telescope,1,13.5,72.0
119,Refracting telescope,1,13.5.1,73.0
88,Optical microscope,1,13.6,74.0
29,Compression (physics),2,14.3.1,75.0
33,Rarefaction,2,14.3.1,75.0
151,Sound,1,15,76.0
137,Pitch (music),1,15.2.1,77.0
35,Musical tone,1,15.2.3,78.0
60,Sound intensity,1,15.4.1,79.0
58,Intensity (physics),2,15.4.1,79.0
26,Resonance (particle physics),1,16.4,80.0
129,Coulomb's law,2,17.2,81.0
65,Electric field,2,17.3,82.0
135,Field line,2,17.3.1,83.0
94,Electric potential energy,2,17.4,84.0
128,Electric potential,1,17.4.1,85.0
68,Dielectric,1,17.5.2,86.0
2,Joule,0,19.5,87.0
49,Insulator (electricity),1,20.2.2,88.0
24,Projectile motion,2,21.2.3,89.0
131,Collision,2,21.4,90.0
53,Elasticity (physics),2,21.4.1,91.0
21,Elastic collision,1,21.4.1,91.0
64,Inelastic collision,1,21.4.2,92.0
20,Relative velocity,1,21.5.4,93.0
41,Deformation (engineering),2,22.2,94.0
23,Hooke's law,1,22.2.1,95.0
84,Creep (deformation),2,22.3,96.0
79,Plasticity (physics),2,22.3,96.0
39,Fracture,2,22.3,96.0
40,Fatigue (material),2,22.3.2,97.0
43,Strength of materials,2,22.4,98.0
8,Stiffness,0,22.4.1,99.0
14,Hardness,0,22.4.1,99.0
45,Work (physics),1,23.2,100.0
146,Energy,1,23.3,101.0
50,Power (physics),1,23.4,102.0
124,Doppler effect,1,24,103.0
90,Color,1,25,104.0
32,Dispersion (optics),2,25.2.1,105.0
28,Subtractive color,2,25.3.2,106.0
55,Pigment,2,25.4,107.0
63,Huygens–Fresnel principle,1,26.3,108.0
48,Interference (wave propagation),1,26.4,109.0
73,Diffraction,1,26.5,110.0
92,Sonic boom,2,26.6,111.0
44,Shock wave,2,26.6,111.0
110,Electron,2,27.3,112.0
30,Capacitance,1,28.4.1,113.0
62,Capacitor,1,28.4.1,113.0
130,Electromagnetic radiation,1,30,114.0
111,Electromagnetic spectrum,1,30.4,115.0
42,Scattering,2,31.2,116.0
141,Energy level,2,31.2.1,117.0
149,Photoelectric effect,1,31.3,118.0
114,Emission spectrum,1,31.4.1,119.0
89,Absorption spectroscopy,1,31.4.2,120.0
147,Laser,1,31.5,121.0
