,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,relation,topic_a,topic_b
0,321.0,190.0,1613.0,197.0,2.0,4.0,19.0,0.0,0.0,0.0,-0.0506271305312,0.0,0.0,0.0,0.438807850018,0.0117792932424,0.0964467005076,0.447760164738,1.0,0.226891918127,0.4375,5.68012993538,1.04039669454,0.415388141157,0.7721019361,0.874778431905,8936.0,4614.0,0.0,1.0,0.0,0.000216731686173,908.0,504.0,87.0,3.99283020886e-05,8.57248429394e-05,1.11824062964e-05,0.0,Magnetic field,Inertial frame of reference
1,36.0,77.0,109.0,101.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0192307692308,0.0,0.0,0.0,0.306317730754,0.0366972477064,0.039603960396,0.2738468647,1.0,0.222355622944,0.4375,7.48457172513,0.809833082513,0.164795061814,0.458959639809,0.939044108543,1462.0,1021.0,0.0,0.0,0.0,0.0,230.0,161.0,21.0,2.3128415159e-06,2.44754291433e-06,9.914547103e-08,1.0,Gravitational acceleration,Position (vector)
2,808.0,495.0,3104.0,2394.0,2.0,3.0,25.0,0.0,0.0,0.0,0.0106812472587,0.0,0.0,0.0,0.478224794052,0.0260953608247,0.0338345864662,0.601512283087,0.937570966276,0.377140198247,0.8,3.97802715033,0.755698205673,0.751364184783,2.56647788088,0.627180919583,7269.0,8366.0,1.0,6.0,0.000137570504884,0.000717188620607,961.0,1060.0,103.0,-2.796067488e-06,-1.6827911938e-05,1.50975254848e-05,0.0,Energy,Planet
3,99.0,48.0,96.0,212.0,2.0,4.0,5.0,0.0,0.0,0.0,0.00959183673469,0.0,0.0,0.0,0.430190780671,0.0208333333333,0.00943396226415,0.377235613897,0.977972793334,0.10004773863,0.611111111111,6.1769584775,0.591743732634,0.276720368796,0.343832342941,2.1282373631,1202.0,822.0,1.0,0.0,0.000831946755408,0.0,140.0,128.0,19.0,7.1066984855e-06,-4.08620373592e-06,-1.14461049914e-05,0.0,Mechanical energy,Gravitational field
4,643.0,162.0,9935.0,129.0,1.0,5.0,21.0,0.0,0.0,0.0,-0.23589577231,0.0,0.0,0.0,0.553490773858,0.00291897332662,0.22480620155,0.555441502061,0.892704010072,0.149080486534,0.823529411765,4.70841003372,0.89248849529,0.406157799416,2.49869265303,1.34355508683,5370.0,939.0,0.0,0.0,0.0,0.0,893.0,109.0,12.0,9.54707434011e-05,0.00093981142606,6.71032647692e-05,0.0,Physics,Electric potential energy
5,182.0,26.0,495.0,8.0,10.0,2.0,1.0,0.0,0.0,0.0,-0.037037037037,0.0,1.0,1.0,10.0,0.0,0.0,0.957841441518,0.619227535654,0.490066209056,0.733333333333,-10.0,0.704600876888,0.0,0.704600876888,0.0,3232.0,5.0,35.0,0.0,0.0108292079208,0.0,408.0,1.0,1.0,9.50803557976e-05,2.59022171448e-05,6.44811546489e-06,0.0,Newton's laws of motion,Motion
6,33.0,162.0,10.0,918.0,1.0,4.0,15.0,0.0,2.0,0.0,0.405629736557,0.0,0.0,0.0,0.436842841885,0.3,0.00326797385621,1.02738209125,0.810501945948,0.0994428236511,0.611111111111,7.37857556813,0.536229324684,0.83382354614,0.685578457983,0.906378214288,621.0,1693.0,8.0,0.0,0.0128824476651,0.0,76.0,221.0,22.0,-3.7459267559e-06,-3.73599536472e-05,-8.7502201554e-06,0.0,Motion graphs and derivatives,Acceleration
7,178.0,59.0,541.0,420.0,2.0,3.0,9.0,1.0,1.0,0.0,-0.0117120548467,0.0,0.0,0.0,0.32010094262,0.0499075785582,0.0642857142857,0.449730992317,0.86288811199,0.156631096952,0.888888888889,6.36690863896,1.15296367992,0.817522149783,1.1841740861,0.998896940954,1391.0,570.0,2.0,1.0,0.00143781452193,0.00175438596491,182.0,104.0,12.0,4.45205785163e-06,-5.1700540452e-06,4.342854348e-07,0.0,Speed,Length
8,808.0,84.0,3104.0,165.0,2.0,3.0,13.0,0.0,0.0,0.0,-0.19740271345,0.0,0.0,0.0,0.472131987651,0.00773195876289,0.145454545455,0.458533649619,0.765725186309,0.0606677658267,0.8125,5.43640723823,0.755698205673,0.948798909634,0.874732557631,0.973865920406,7269.0,624.0,0.0,10.0,0.0,0.0160256410256,961.0,111.0,37.0,0.000130298208195,0.000235164028829,2.83748211564e-05,0.0,Energy,Intensity (physics)
9,82.0,256.0,239.0,2151.0,1.0,3.0,23.0,0.0,6.0,4.0,0.147578641414,0.0,0.0,0.0,0.406525709453,0.1589958159,0.0176662017666,0.40236467123,0.654992977837,0.173482951926,0.777777777778,5.89218024161,1.12735295704,0.641260765764,1.24300003862,1.04963977831,2381.0,5621.0,8.0,0.0,0.00335993280134,0.0,341.0,675.0,90.0,1.164000946e-07,-7.28027232871e-05,-9.37250871602e-06,1.0,Snell's law,Refractive index
