,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,relation,topic_a,topic_b
0,161.0,347.0,1677.0,940.0,2.0,2.0,59.0,1.0,2.0,4.0,0.021285653469599996,0.0,0.0,0.0,0.22569582743799999,0.144901610018,0.258510638298,0.249111890793,1.0,0.18504389552099998,0.6842105263160001,6.627165569330001,1.0075048383299998,0.676450626812,1.24301537701,1.01283685827,3539.0,3715.0,2.0,18.0,0.000565131393049,0.004845222072680001,495.0,525.0,57.0,2.0296416544e-06,4.06392604918e-05,7.133262416389999e-06,0.0,Wavelength,Electromagnetic spectrum
1,109.0,180.0,332.0,1885.0,3.0,3.0,55.0,0.0,2.0,0.0,0.20989406457499998,0.0,0.0,0.0,0.326571974618,0.246987951807,0.043501326259900004,0.465906381607,0.8889267301379999,0.12442178258199998,1.0,6.46464694155,0.993898611678,1.44259904351,1.1829327871100002,2.38687430387,1858.0,2819.0,1.0,0.0,0.0005382131324,0.0,298.0,410.0,36.0,-6.24477252908e-05,-0.000293300592964,-2.14550739088e-05,0.0,Ohm,Metre
2,256.0,643.0,2151.0,9935.0,3.0,1.0,30.0,0.0,0.0,0.0,0.152549757641,0.0,0.0,0.0,0.652554451226,0.0297536029754,0.006441872169100001,0.699706268293,1.0,0.251684962757,0.8823529411759999,2.6861215621900003,0.6412607657639999,0.89248849529,1.08072720864,1.1930651297900001,5621.0,5370.0,0.0,0.0,0.0,0.0,675.0,893.0,71.0,-8.04604968417e-05,-0.000860685269723,-5.75211139987e-05,1.0,Refractive index,Physics
3,240.0,99.0,683.0,130.0,3.0,4.0,91.0,0.0,1.0,0.0,-0.468049792531,0.0,0.0,0.0,0.195553328085,0.12737920937,0.669230769231,0.447813808918,0.62795602396,0.128045340222,0.666666666667,8.47662457171,0.751818296047,0.38365356723099997,0.8798189393170001,0.514267367228,1073.0,879.0,0.0,7.0,0.0,0.007963594994310002,173.0,127.0,16.0,7.01001570099e-05,3.55519147639e-05,6.34466575768e-06,0.0,Motion,Relative velocity
4,184.0,457.0,157.0,991.0,3.0,5.0,32.0,0.0,0.0,0.0,0.054707454707500006,0.0,0.0,0.0,0.434924798755,0.07006369426749999,0.0110998990918,0.360275387764,0.817130104325,0.08341443058239999,0.8666666666670001,5.8476806962,1.04422907965,0.8747411813779999,1.8672778614200003,1.4673222794,2781.0,10108.0,13.0,0.0,0.0046745774901099995,0.0,347.0,1225.0,77.0,4.8731876262e-05,-3.3224746167e-05,-1.14955020694e-05,1.0,Gravity of Earth,Force
5,114.0,149.0,211.0,275.0,3.0,6.0,98.0,1.0,0.0,2.0,0.137466148593,0.0,0.0,0.0,0.103657790434,0.4597156398100001,0.35272727272699994,0.328859885267,0.733980949517,0.237395699724,0.5714285714289999,9.010827510439999,0.371951035522,0.661846234112,0.436384953829,0.6598355296739999,590.0,4679.0,0.0,7.0,0.0,0.0014960461637100002,101.0,451.0,33.0,-4.4827362824e-06,-5.5394804727e-06,-1.92748297275e-06,0.0,Displacement (vector),Work (physics)
6,178.0,17.0,541.0,57.0,2.0,4.0,2.0,0.0,0.0,0.0,-0.0499375780275,0.0,0.0,0.0,10.0,0.0,0.0,0.47249418497100004,1.0,0.201835042008,0.923076923077,-10.0,1.15296367992,0.38619956935000005,2.69038867901,2.47050100092,1391.0,280.0,0.0,1.0,0.0,0.00357142857143,182.0,51.0,3.0,8.36733727841e-06,2.64188336095e-05,6.72315939632e-06,0.0,Speed,Rarefaction
7,84.0,72.0,165.0,630.0,3.0,3.0,9.0,1.0,0.0,0.0,-0.00660174946361,0.0,0.0,0.0,0.35076964053000004,0.10303030302999999,0.026984126984099997,0.292565549306,0.979540363987,0.127087543375,0.777777777778,6.68629381385,0.948798909634,0.727203643416,2.50605948364,2.02445516669,624.0,1306.0,2.0,4.0,0.00320512820513,0.00306278713629,111.0,202.0,14.0,-5.62969462641e-05,-1.98630649154e-05,-4.65893521939e-06,0.0,Intensity (physics),Amplitude
8,18.0,147.0,20.0,851.0,1.0,4.0,4.0,0.0,2.0,0.0,0.415057915058,0.0,0.0,0.0,0.39927852955700005,0.3,0.007050528789659999,0.377925597306,0.8274710517739999,0.08718774507789999,0.5714285714289999,7.45436083018,0.641282788535,0.490147628942,0.558869312267,0.682236876285,712.0,1920.0,11.0,0.0,0.015449438202200001,0.0,106.0,224.0,18.0,-6.25009220868e-06,-4.0861074615000004e-05,-1.02996823886e-05,1.0,Projectile motion,Velocity
9,92.0,67.0,276.0,211.0,4.0,2.0,13.0,1.0,0.0,1.0,-0.0033206831119499997,0.0,0.0,0.0,0.303937696395,0.047101449275400005,0.0616113744076,0.228188872337,0.796407286943,0.140850837317,0.294117647059,6.99743612135,0.23324241152199998,0.432743166826,0.291947195232,0.377539115912,2248.0,1279.0,14.0,0.0,0.00622775800712,0.0,353.0,215.0,31.0,4.623015317e-07,1.44297116071e-05,5.9043411061e-07,1.0,Creep (deformation),Deformation (engineering)
