,Unnamed: 0,topic_a,topic_b,relation,tfidf_score,wiki_tfidf_score
0,0,Magnetic field,Inertial frame of reference,0,0.08113415695920606,0.0
1,1,Gravitational acceleration,Position (vector),1,0.13119982355709436,0.0
2,2,Energy,Planet,0,0.09127779903291916,0.09127779903291916
3,3,Mechanical energy,Gravitational field,0,0.030923811680138982,0.030923811680138982
4,4,Physics,Electric potential energy,0,0.0,0.0
5,5,Newton's laws of motion,Motion,0,0.058596891137204364,0.058596891137204364
6,6,Motion graphs and derivatives,Acceleration,0,0.015956374927553522,0.015956374927553522
7,7,Speed,Length,0,0.09398200059283736,0.09398200059283736
8,8,Energy,Intensity (physics),0,0.0,0.0
9,9,Snell's law,Refractive index,1,0.6893211276125752,0.6893211276125752
10,10,Hooke's law,Work (physics),0,0.04290547209059396,0.0
11,11,Acceleration,Displacement (vector),1,0.1600131572212584,0.0
12,12,Physics,Collision,0,0.0,0.0
13,13,Electron,Mechanical energy,0,0.11529827246263474,0.0
14,14,Mass,Wave,0,0.0953929276492407,0.0953929276492407
15,15,Potential energy,Gravity,0,0.034772494869683486,0.034772494869683486
16,16,Refractive index,Electric field,0,0.202350058445962,0.202350058445962
17,17,Hardness,Elasticity (physics),1,0.0,0.0
18,18,Photoelectric effect,Collision,0,0.04596188526032614,0.04596188526032614
19,19,Refractive index,Reflection (physics),0,0.01818548463545153,0.0
20,20,Shock wave,Wave,1,0.2344774669007248,0.2344774669007248
21,21,Projectile motion,Gravity,1,0.09127779903291916,0.09127779903291916
22,22,Non-inertial reference frame,Frame of reference,1,1.211993191406726,1.211993191406726
23,23,Diffraction,Field (physics),0,0.202350058445962,0.0
24,24,Intensity (physics),Energy,1,0.2397145566225461,0.2397145566225461
25,25,Electrical conductor,Electromagnetic spectrum,0,0.05304416529970495,0.0
26,26,Magnetic field,Velocity,0,0.0953929276492407,0.0953929276492407
27,27,Crest (physics),Doppler effect,0,0.054899148050117995,0.0
28,28,Wave,Reflection (physics),0,0.08706729672161938,0.08706729672161938
29,29,Energy,Collision,0,0.04596188526032614,0.04596188526032614
30,30,Sound intensity,Wave,0,0.25469808469094396,0.25469808469094396
31,31,Refractive index,Scattering,0,0.031910678583291364,0.031910678583291364
32,32,Physics,Stiffness,0,0.0,0.0
33,33,Magnetic field,Relative velocity,0,0.0,0.0
34,34,Snell's law,Speed,1,0.15657197877264187,0.15657197877264187
35,35,Electric potential,Joule,0,0.044707839334268,0.044707839334268
36,36,Temperature,Physics,0,1.0,1.0
37,37,Energy level,Temperature,0,0.06343785040016521,0.06343785040016521
38,38,Velocity,Doppler effect,0,0.054899148050117995,0.0
39,39,Normal force,Velocity,0,0.04306790202011693,0.04306790202011693
40,40,Electromagnetic radiation,Velocity,0,0.13686405428787266,0.13686405428787266
41,41,Magnetism,Electric current,0,0.006386784771982683,0.006386784771982683
42,42,Electric potential,Magnetic field,0,0.2133508762950112,0.2133508762950112
43,43,Newton's law of universal gravitation,Physics,1,1.0,1.0
44,44,Position (vector),Acceleration,0,0.015956374927553522,0.015956374927553522
45,45,Refractive index,Wave,1,0.007095377253153529,0.007095377253153529
46,46,Physics,Snell's law,0,0.0,0.0
47,47,Energy,Joule,0,0.09220991862692772,0.09220991862692772
48,48,Electromotive force,Voltage,1,0.5628229496516238,0.5628229496516238
49,49,Diffraction,Scattering,0,0.031910678583291364,0.031910678583291364
50,50,Plane mirror,Length,0,0.03957136867066837,0.03957136867066837
51,51,Capacitance,Coulomb,0,0.1795545468750705,0.1795545468750705
52,52,Dielectric,Voltage,0,0.3042286214333102,0.3042286214333102
53,53,Refractive index,Refraction,1,0.5950508443852397,0.5950508443852397
54,54,Magnetism,Field line,0,0.09065077369857326,0.0
55,55,Energy level,Energy,1,0.6925087191317999,0.6925087191317999
56,56,Distance,Optical microscope,0,0.016012105171023815,0.0
57,57,Elastic collision,Kinetic energy,1,0.8601655473335104,0.8601655473335104
58,58,Electrostatics,Electric current,0,0.01500456970404151,0.01500456970404151
59,59,Displacement (vector),Mass,0,0.04039977304689086,0.04039977304689086
60,60,Projectile motion,Speed,1,0.15450609849716948,0.15450609849716948
61,61,Electron,Electroscope,0,0.048488835521593464,0.0
62,62,Electroscope,Electrostatics,0,0.2264953060897261,0.2264953060897261
63,63,Intensity (physics),Light,0,0.137746953289387,0.137746953289387
64,64,Electron,Frequency,0,0.15340976885032975,0.15340976885032975
65,65,Angle of incidence,Ray (optics),0,0.0,0.0
66,66,Temperature,Absorption spectroscopy,0,0.0,0.0
67,67,Newton's laws of motion,Collision,0,0.04596188526032614,0.04596188526032614
68,68,Mirror image,Reflection (physics),1,0.2374747788945221,0.2374747788945221
69,69,Laser,Absorption spectroscopy,0,0.0,0.0
70,70,Work (physics),Potential energy,0,0.08889619845625465,0.08889619845625465
71,71,Voltage,Electromotive force,0,0.09470678067049118,0.09470678067049118
72,72,Absorption spectroscopy,Wavelength,1,0.11520291032279648,0.11520291032279648
73,73,Position (vector),Force,0,0.04039977304689086,0.04039977304689086
74,74,Acceleration,Work (physics),0,0.031548141243083784,0.0
75,75,Reflection (physics),Total internal reflection,0,0.04165968642641922,0.04165968642641922
76,76,Power (physics),Energy,1,0.124651569443724,0.124651569443724
77,77,Absorption spectroscopy,Planet,0,0.1405270022442705,0.1405270022442705
78,78,Refractive index,Laser,0,0.007622927008533541,0.007622927008533541
79,79,Gravity,Doppler effect,0,0.054899148050117995,0.0
80,80,Amplitude,Doppler effect,0,0.054899148050117995,0.0
81,81,Wave,Tension (physics),0,0.04274958849709671,0.0
82,82,Intensity (physics),Velocity,0,0.14604335349737355,0.14604335349737355
83,83,Gravity of Earth,Torque,0,0.0,0.0
84,84,Deformation (engineering),Elasticity (physics),0,0.22078033661376315,0.22078033661376315
85,85,Acceleration,Electric potential,0,0.04885667256811052,0.0
86,86,Work (physics),Position (vector),1,0.036128906636244636,0.0
87,87,Magnetic field,Mirror image,0,0.04677318641660515,0.0
88,88,Electromagnetic spectrum,Wavelength,1,0.5940150063519194,0.5940150063519194
89,89,Emission spectrum,Frequency,1,0.05278288221660943,0.05278288221660943
90,90,Potential energy,Power (physics),0,0.02298066507836205,0.0
91,91,Specular reflection,Wave,1,0.0900225988993854,0.0900225988993854
92,92,Energy,Power (physics),0,0.02298066507836205,0.0
93,93,Le Sage's theory of gravitation,Collision,0,0.04596188526032614,0.04596188526032614
94,94,Specular reflection,Euclidean vector,0,0.14300553209602704,0.14300553209602704
95,95,Electron,Absorption spectroscopy,0,0.0,0.0
96,96,Total internal reflection,Light,1,0.07427531795015965,0.07427531795015965
97,97,Physics,Rarefaction,0,0.0,0.0
98,98,Plasticity (physics),Hardness,0,0.07763075167608605,0.0
99,99,Physics,Gravitational acceleration,0,0.0,0.0
100,100,Speed,Magnetic field,0,0.18080582736865355,0.0
101,101,Energy level,Physics,1,1.0,1.0
102,102,Magnetic field,Magnet,1,0.5483915919682488,0.5483915919682488
103,103,Elasticity (physics),Wave,0,0.15868586694114226,0.0
104,104,Phase velocity,Dispersion (optics),0,0.0,0.0
105,105,Physics,Wavelength,0,0.0,0.0
106,106,Fracture,Strength of materials,0,0.11306623774040228,0.0
107,107,Diffraction,Wave,1,0.5524674562592419,0.5524674562592419
108,108,Free fall,Displacement (vector),1,0.13119982355709436,0.0
109,109,Force,Sound intensity,0,0.0,0.0
110,110,Wavelength,Dispersion (optics),0,0.0,0.0
111,111,Temperature,Electrical resistance and conductance,0,0.0,0.0
112,112,Magnetic field,Absorption spectroscopy,0,0.0,0.0
113,113,Field (physics),Planet,0,0.11529827246263474,0.11529827246263474
114,114,Le Sage's theory of gravitation,Speed,1,0.060113113107630324,0.060113113107630324
115,115,Inelastic collision,Physics,1,1.0,1.0
116,116,Energy,Sound intensity,0,0.0,0.0
117,117,Energy level,Wavelength,0,0.1280032336919961,0.1280032336919961
118,118,Electromagnetic radiation,Magnet,1,0.06084572428666204,0.06084572428666204
119,119,Euclidean vector,Electrostatics,0,0.03807464197197983,0.0
120,120,Friction,Hooke's law,0,0.0,0.0
121,121,Le Sage's theory of gravitation,Elastic collision,0,0.0,0.0
122,122,Hertz,Velocity,0,0.0,0.0
123,123,Doppler effect,Speed,1,0.05416515284738633,0.05416515284738633
124,124,Newton's law of universal gravitation,Gravitational constant,0,0.05670387809856529,0.05670387809856529
125,125,Wave,Transverse wave,0,0.0,0.0
126,126,Refractive index,Speed,1,0.15657197877264187,0.15657197877264187
127,127,Laser,Doppler effect,0,0.16737288936727907,0.0
128,128,Acceleration,Non-inertial reference frame,0,0.117422104587508,0.117422104587508
129,129,Magnetic field,Electric current,1,0.048488835521593464,0.048488835521593464
130,130,Newton's law of universal gravitation,Gravitational field,0,0.08163886283556691,0.08163886283556691
131,131,Potential energy,Torque,0,0.0,0.0
132,132,Gravitational acceleration,Force,1,0.12133943201355007,0.12133943201355007
133,133,Free fall,Physics,1,1.0,1.0
134,134,Photoelectric effect,Kinetic energy,0,0.11296733267044225,0.11296733267044225
135,135,Position (vector),Motion,0,0.009751243656953172,0.009751243656953172
136,136,Energy,Electromotive force,0,0.06633556835756386,0.0
137,137,Dispersion (optics),Light,1,0.6460225328688305,0.6460225328688305
138,138,Newton's laws of motion,Gravity of Earth,0,0.08889619845625465,0.0
139,139,Light,Wavelength,0,0.23564231656935644,0.23564231656935644
140,140,Force,Plasticity (physics),0,0.030963095988515564,0.0
141,141,Newton's law of universal gravitation,Kilogram,0,0.3224894164269358,0.3224894164269358
142,142,Doppler effect,Physics,1,1.0,1.0
143,143,Total internal reflection,Laser,0,0.007622927008533541,0.007622927008533541
144,144,Electrical conductor,Metre,0,0.14097300088925602,0.14097300088925602
145,145,Telescope,Reflection (physics),0,0.16050666873898528,0.0
146,146,Energy,Hertz,0,0.04990574540960068,0.0
147,147,Wavelength,Interference (wave propagation),0,0.0,0.0
148,148,Magnet,Electric field,0,0.01679452951571139,0.01679452951571139
149,149,Work (physics),Joule,0,0.09220991862692772,0.09220991862692772
150,150,Non-inertial reference frame,Motion,1,0.062410889968620036,0.062410889968620036
151,151,Photoelectric effect,Hertz,0,0.047877056571812036,0.047877056571812036
152,152,Inertial frame of reference,Collision,0,0.04596188526032614,0.04596188526032614
153,153,Light,Plane mirror,0,0.11642531754888755,0.0
154,154,Speed,Snell's law,0,0.054899148050117995,0.0
155,155,Electromotive force,Physics,1,1.0,1.0
156,156,Magnification,Refracting telescope,0,0.11642531754888755,0.0
157,157,Force,Projectile motion,0,0.0660977165410794,0.0
158,158,Force,Hardness,0,0.009484562801144934,0.0
159,159,Snell's law,Velocity,0,0.15657197877264187,0.15657197877264187
160,160,Velocity,Elastic collision,0,0.0,0.0
161,161,Power (physics),Kilogram,0,0.124651569443724,0.124651569443724
162,162,Magnetic field,Energy,0,0.11529827246263474,0.11529827246263474
163,163,Joule,Mechanical energy,0,0.0,0.0
164,164,Speed,Motion,1,0.08250931216190446,0.08250931216190446
165,165,Mass,Electron,0,0.0679147685701844,0.0679147685701844
166,166,Force,Potential energy,0,0.06633556835756386,0.06633556835756386
167,167,Virtual image,Ray (optics),1,0.0,0.0
168,168,Electric field,Mass,0,0.11529827246263474,0.11529827246263474
169,169,Refractive index,Temperature,0,0.09398200059283736,0.09398200059283736
170,170,Field line,Magnetic field,0,0.07934293347057113,0.07934293347057113
171,171,Newton's laws of motion,Work (physics),0,0.00893864001887374,0.0
172,172,Equations of motion,Motion,1,0.6349629675068299,0.6349629675068299
173,173,Electrostatics,Field line,0,0.03872131429465831,0.03872131429465831
174,174,Diffraction,Huygens–Fresnel principle,0,0.053770797701070766,0.053770797701070766
175,175,Force,Elasticity (physics),0,0.0660977165410794,0.0660977165410794
176,176,Energy,Potential energy,0,0.2287363847800249,0.2287363847800249
177,177,Electric field,Coulomb,0,0.020515509750374264,0.020515509750374264
178,178,Electric field,Electric current,0,0.048488835521593464,0.048488835521593464
179,179,Wave,Total internal reflection,0,0.04165968642641922,0.0
180,180,Frequency,Energy,0,0.11529827246263474,0.0
181,181,Lever,Length,0,0.01838778272468557,0.01838778272468557
182,182,Physics,Transmission medium,0,0.0,0.0
183,183,Intensity (physics),Laser,0,0.007622927008533541,0.007622927008533541
184,184,Magnetism,Length,0,0.07225781327248927,0.07225781327248927
185,185,Light,Refracting telescope,0,0.11642531754888755,0.11642531754888755
186,186,Physics,Shock wave,0,0.0,0.0
187,187,Photoelectric effect,Electromagnetic radiation,0,0.0539122517117712,0.0539122517117712
188,188,Dielectric,Hertz,0,0.05386168864328854,0.0
189,189,Magnetic field,Voltage,0,0.06633556835756386,0.06633556835756386
190,190,Tension (physics),Mass,0,0.0333247942670338,0.0333247942670338
191,191,Interference (wave propagation),Electron,0,0.11642531754888755,0.11642531754888755
192,192,Euclidean vector,Force,0,0.025104710071768985,0.025104710071768985
193,193,Contact force,Force,1,0.6273506804104824,0.6273506804104824
194,194,Standing wave,Frequency,1,0.03244849316594842,0.03244849316594842
195,195,Magnetic field,Dielectric,0,0.053770797701070766,0.0
196,196,Interference (wave propagation),Huygens–Fresnel principle,0,0.053770797701070766,0.053770797701070766
197,197,Amplitude,Refractive index,0,0.054899148050117995,0.0
198,198,Specular reflection,Refractive index,0,0.11642531754888755,0.11642531754888755
199,199,Speed,Electron,0,0.0679147685701844,0.0
200,200,Gravitational acceleration,Planet,0,0.2370565292166791,0.2370565292166791
201,201,Distance,Free fall,0,0.036017602191638416,0.0
202,202,Acceleration,Velocity,1,0.6751526993153625,0.6751526993153625
203,203,Velocity,Metre,0,0.09398200059283736,0.09398200059283736
204,204,Capacitance,Voltage,1,0.08534035051800448,0.08534035051800448
205,205,Refractive index,Mass,0,0.10475356962837573,0.10475356962837573
206,206,Electrostatics,Electrical conductor,0,0.03297470060334128,0.0
207,207,Sonic boom,Physics,1,1.0,0.0
208,208,Frame of reference,Electromagnetic spectrum,0,0.05304416529970495,0.0
209,209,Capacitor,Laser,0,0.033667927621023136,0.033667927621023136
210,210,Ohm,Coulomb,0,0.0,0.0
211,211,Electric field,Physics,1,1.0,1.0
212,212,Magnetic field,Torque,0,0.0,0.0
213,213,Physics,Displacement (vector),0,0.0,0.0
214,214,Intensity (physics),Wave,0,0.25469808469094396,0.25469808469094396
215,215,Wave,Energy,0,0.11529827246263474,0.11529827246263474
216,216,Capacitor,Dielectric,0,0.053770797701070766,0.053770797701070766
217,217,Geometrical optics,Snell's law,0,0.07622927008533542,0.07622927008533542
218,218,Wave,Doppler effect,0,0.08706729672161938,0.08706729672161938
219,219,Ohm's law,Voltage,1,0.4288174854488562,0.4288174854488562
220,220,Power (physics),Intensity (physics),0,0.0,0.0
221,221,Le Sage's theory of gravitation,Energy,0,0.4955566980943156,0.4955566980943156
222,222,Capacitance,Electric current,0,0.08534035051800448,0.08534035051800448
223,223,Hooke's law,Stiffness,0,0.11306623774040228,0.11306623774040228
224,224,Electromagnetic spectrum,Electric field,1,0.202350058445962,0.0
225,225,Physics,Emission spectrum,0,0.0,0.0
226,226,Total internal reflection,Physics,1,1.0,1.0
227,227,Snell's law,Motion,1,0.08250931216190446,0.08250931216190446
228,228,Motion,Energy,0,0.12351146362564115,0.12351146362564115
229,229,Energy,Sonic boom,0,0.004943759520874807,0.0
230,230,Magnetic field,Gravity of Earth,0,0.11228993489211114,0.0
231,231,Electron,Electromagnetic radiation,0,0.0539122517117712,0.0539122517117712
232,232,Acceleration,Torque,0,0.0,0.0
233,233,Physics,Electric field,0,0.0,0.0
234,234,Diffraction,Interference (wave propagation),0,0.0,0.0
235,235,Fatigue (material),Deformation (engineering),1,0.2308158064598433,0.0
236,236,Force,Stiffness,0,0.0660977165410794,0.0
237,237,Distance,Gravity of Earth,0,0.04039977304689086,0.0
238,238,Electric potential,Force,1,0.1377366525559217,0.1377366525559217
239,239,Electric charge,Capacitance,0,0.04287542088188805,0.04287542088188805
240,240,Friction,Mass,0,0.0,0.0
241,241,Elastic collision,Physics,1,1.0,1.0
242,242,Free fall,Gravitational field,0,0.2915673672698818,0.2915673672698818
243,243,Energy,Laser,0,0.007622927008533541,0.0
244,244,Electric field,Wavelength,0,0.06749499597823637,0.0
245,245,Elasticity (physics),Hardness,0,0.11306623774040228,0.0
246,246,Force,Elastic collision,0,0.0,0.0
247,247,Refraction,Absorption spectroscopy,0,0.0,0.0
248,248,Refraction,Electromagnetic spectrum,0,0.05304416529970495,0.0
249,249,Electric potential energy,Field (physics),1,0.14453575603283006,0.0
250,250,Newton's laws of motion,Contact force,0,0.008978114032272838,0.0
251,251,Coulomb's law,Dielectric,0,0.053770797701070766,0.0
252,252,Projectile motion,Velocity,1,0.2207229978530993,0.2207229978530993
253,253,Electron,Distance,0,0.011585896139514159,0.011585896139514159
254,254,Le Sage's theory of gravitation,Wavelength,0,0.060113113107630324,0.060113113107630324
255,255,Collision,Le Sage's theory of gravitation,0,0.08889619845625465,0.0
256,256,Gravity of Earth,Force,1,0.13104658657463408,0.13104658657463408
257,257,Magnetic field,Potential energy,0,0.11529827246263474,0.11529827246263474
258,258,Intensity (physics),Physics,1,1.0,1.0
259,259,Electric field,Force,0,0.115177663981612,0.115177663981612
260,260,Physics,Wave,0,0.0,0.0
261,261,Refractive index,Snell's law,0,0.22290490011160147,0.22290490011160147
262,262,Amplitude,Huygens–Fresnel principle,0,0.053770797701070766,0.0
263,263,Motion,Electrostatics,0,0.028855767746028445,0.0
264,264,Acceleration,Field (physics),0,0.1806445331812232,0.0
265,265,Scattering,Velocity,0,0.14604335349737355,0.14604335349737355
266,266,Hardness,Deformation (engineering),1,0.0,0.0
267,267,Electron,Specular reflection,0,0.1850180055334412,0.0
268,268,Standing wave,Voltage,0,0.06633556835756386,0.06633556835756386
269,269,Doppler effect,Wavelength,1,0.20142840148464414,0.20142840148464414
270,270,Diffraction,Dispersion (optics),0,0.0,0.0
271,271,Inelastic collision,Elastic collision,0,0.0,0.0
272,272,Magnetism,Coulomb,0,0.1795545468750705,0.1795545468750705
273,273,Gravitational acceleration,Gravity,1,0.06085186602194612,0.06085186602194612
274,274,Refractive index,Telescope,0,0.11642531754888755,0.11642531754888755
275,275,Energy,Mechanical energy,0,0.16385523242010747,0.16385523242010747
276,276,Elastic collision,Energy,1,0.62325784721862,0.62325784721862
277,277,Wave,Intensity (physics),0,0.0,0.0
278,278,Mass,Distance,0,0.03719072660784045,0.03719072660784045
279,279,Equations of motion,Field (physics),0,0.1806445331812232,0.0
280,280,Displacement (vector),Work (physics),0,0.023318191353583668,0.0
281,281,Kinetic energy,Mechanical energy,0,0.16385523242010747,0.0
282,282,Gravitational field,Newton's law of universal gravitation,1,0.266688595368764,0.266688595368764
283,283,Velocity,Wave,0,0.14403615823901664,0.0
284,284,Mirror image,Distance,0,0.05799723447616445,0.05799723447616445
285,285,Gravity,Gravitational acceleration,0,0.0,0.0
286,286,Potential energy,Euclidean vector,1,0.117422104587508,0.0
287,287,Wave,Elasticity (physics),0,0.11306623774040228,0.0
288,288,Pitch (music),Hertz,0,0.368054872395805,0.368054872395805
289,289,Speed,Shock wave,0,0.004943759520874807,0.0
290,290,Doppler effect,Frequency,1,0.30358252808632724,0.30358252808632724
291,291,Speed,Electromagnetic spectrum,0,0.05304416529970495,0.0
292,292,Electron,Electrostatics,0,0.202350058445962,0.202350058445962
293,293,Electric potential,Coulomb's law,1,0.2104595126010915,0.2104595126010915
294,294,Euclidean vector,Gravitational acceleration,0,0.0,0.0
295,295,Frequency,Doppler effect,0,0.11642531754888755,0.0
296,296,Fracture,Elasticity (physics),0,0.33407550934977315,0.0
297,297,Temperature,Kilogram,0,0.0,0.0
298,298,Distance,Elastic collision,0,0.0,0.0
299,299,Gravitational acceleration,Motion,1,0.2253726582200168,0.2253726582200168
300,300,Physics,Doppler effect,0,0.0,0.0
301,301,Potential energy,Metre,0,0.04885667256811052,0.04885667256811052
302,302,Displacement (vector),Distance,1,0.1408739644236381,0.1408739644236381
303,303,Displacement (vector),Projectile motion,0,0.1469145932553737,0.0
304,304,Electric potential,Capacitance,0,0.04287542088188805,0.0
305,305,Motion,Newton's laws of motion,0,0.011490471315081534,0.011490471315081534
306,306,Speed,Rarefaction,0,0.06749499597823637,0.0
307,307,Pigment,Wavelength,0,0.150085389380755,0.150085389380755
308,308,Wave,Physics,1,1.0,1.0
309,309,Temperature,Wavelength,0,0.0,0.0
310,310,Interference (wave propagation),Crest (physics),0,0.9996595449253092,0.0
311,311,Wave,Electromagnetic spectrum,0,0.05304416529970495,0.05304416529970495
312,312,Electrical conductor,Electric current,1,0.09204483936092693,0.09204483936092693
313,313,Motion,Elastic collision,0,0.0,0.0
314,314,Inertial frame of reference,Velocity,0,0.0679147685701844,0.0679147685701844
315,315,Work (physics),Electrostatics,0,0.03807464197197983,0.0
316,316,Force,Magnet,0,0.07763075167608605,0.07763075167608605
317,317,Force,Torque,0,0.0,0.0
318,318,Absorption spectroscopy,Energy,1,0.41550523147908003,0.41550523147908003
319,319,Motion,Inertial frame of reference,0,0.013879848001675514,0.013879848001675514
320,320,Capacitance,Distance,0,0.1770986981325736,0.1770986981325736
321,321,Coulomb's law,Emission spectrum,0,0.033667927621023136,0.0
322,322,Position (vector),Free fall,0,0.036017602191638416,0.0
323,323,Deformation (engineering),Creep (deformation),0,0.21079050336640576,0.21079050336640576
324,324,Shock wave,Energy,1,0.11529827246263474,0.11529827246263474
325,325,Electrical resistance and conductance,Energy,0,0.15478257795164402,0.15478257795164402
326,326,Motion,Mass,0,0.04955995044840925,0.04955995044840925
327,327,Magnet,Euclidean vector,0,0.0903222665906116,0.0
328,328,Voltage,Electric current,0,0.016851285975308158,0.016851285975308158
329,329,Snell's law,Light,1,0.11048453545086248,0.11048453545086248
330,330,Magnetism,Physics,1,1.0,1.0
331,331,Force,Creep (deformation),0,0.0660977165410794,0.0
332,332,Dielectric,Velocity,0,0.14604335349737355,0.14604335349737355
333,333,Velocity,Speed,0,0.15450609849716948,0.15450609849716948
334,334,Energy,Temperature,0,0.06343785040016521,0.06343785040016521
335,335,Euclidean vector,Gravity of Earth,0,0.04039977304689086,0.0
336,336,Electrical conductor,Electroscope,0,0.2751115582986342,0.0
337,337,Electrical resistance and conductance,Ohm,0,0.12230345848176012,0.12230345848176012
338,338,Amplitude,Voltage,0,0.06633556835756386,0.06633556835756386
339,339,Energy,Dielectric,0,0.053770797701070766,0.0
340,340,Wave,Mass,0,0.11529827246263474,0.11529827246263474
341,341,Energy,Equations of motion,0,0.007978187463776761,0.007978187463776761
342,342,Physics,Contact force,0,0.0,0.0
343,343,Energy,Transverse wave,0,0.0,0.0
344,344,Magnet,Mass,0,0.11529827246263474,0.11529827246263474
