,concept,key_terms
0,Cone,cone
1,Hyperbola,rectangular hyperbola|hyperbolic arc|right hyperbola|conjugate hyperbola|hyperbolas|equilateral hyperbola|hyperbolae|hyperbola|hiperbola
2,Triangle,triangularities|rectangled triangle|isoscoles|isosceles triangle|triangle|triangles|angle proofs|scalene triangle|types of triangles|triangularity|area of triangle|triangularly|hardcore triangle|euclidean triangle|triangular|medians of a triangle|sides opposite equal angles|triangle area|sides opp. eq. ∠s|triangle geometry|adjacent side|isoceles|rectified triangle|3-gon|trangle|area of a triangle
3,Calculus,introductory calculus|calculus ii|differential and integral calculus|the calculus|calculus i|intro. calc|intro calc.|degree of smallness|calculus|single-variable calculus|lagrange notation for differentiation|calc.|infinitesimal calculus|intro. calc.|calculus 101|advanced functions|intro calc|early transcendentals
4,Complex plane,affine complex plane|complex number plane|argand plane|real-imaginary plane|complex plane|argand diagram|gauss plane
5,Common logarithm,base-10 logarithm|log 10|common logarithms|decadic logarithms|decimal logarithms|common logarithm|common log|briggsian logarithms|briggs' logarithm|decadic logarithm|briggsian logarithm|base 10 logarithm|decimal logarithm|log10|logarithm of the base 10|briggesian logarithms|lg|logarithm table
6,Exponential growth,exponentially increasing|exponentially increasing function|exponential law|grows exponentially|geometric growth|exponential rate|exponential grow|geometric rate|exponential curve|increase exponentially|grow exponentially|growth formula|exponential growth|exponential increase|decay formula|increases exponentially
7,Analytic geometry,co-ordinate geometry|coordinate geometry|analytic geometry|analytisk geometri|analytical geometry|cartesian geometry|history of analytic geometry
8,Injective function,one-to-one relation|injective|injective map|one to one function|↣|injective mapping|onetoone|injection function|one-to-one mapping|injectivity|injective relation|injective function|one-to-one function|into relation|injection|one-to-one correlation
9,Graph of a function,function graphing|graph|graphs of functions|function graph|graph sketching|graph of a function|important graphing equations
10,Rational function,rational functions|fractional-rational function|rational formula|irrational function|rational function|rational function field
11,Floor and ceiling functions,floor|floor ceiling|fractional part of a number|integral part|floor and ceiling functions|fractional parts|entier function|entier|⌈|ceil function|⌋|integer part|⌊|⌊x⌋|floor function|greatest integer|fractional part function|⌉|floor & ceiling functions|greatest-integer function|⌈x⌉|ceil|floor and ceiling|integral value|ceiling function|greatest integer function
12,Quadratic function,second degree polynomial|second order polynomialquadratic expression|second-order polynomial|quadratic polynomial|quadratic curve|quadratic trinomial|quadratic function|second-degree polynomial|quadratic functions
13,Unit circle,unit circle
14,Plane (geometry),mathematical plane|infinite plane|the plane|intersection of two planes|plane
15,Mathematical induction,"principle of induction|double induction|principle of mathematical induction|complete induction|strong induction|basis step|mathematical induction|proof of induction|mathematical induction proof|induction|inductive proof|inductive hypothesis|mathematical proof by induction|proof by mathematical induction|proof by induction|induction hypothesis|mathematical proof of induction|math induction|induction, mathematical|axiom of induction|three forms of mathematical induction|induction theorem|course of values induction|by induction|course-of-values induction|proof of mathematical induction|induction proof|math induction proof"
16,Rectangle,rectangle|rectangles|rectangular|saddle rectangle|crossed-rectangle|equiangular quadrilateral|crossed rectangle
17,Inequality (mathematics),system of inequalities|less or equal|⋙|greater-than|inequality symbols|inequalty|≇|smaller than|≥|≮|transitive property of inequality|≦|more than|⋚|much-less-than sign|much greater than|⋖|≧|≫|less than|inequal|not equal|inequality bracket|ungleichung|lesser than|inequality brackets|greater than or equal to|inequality sign|inequality signs|greater than|not equal to|less-than|inequality|⋗|≯|much less than|inequality symbol|comparison|power inequalities|⋘|strict inequality|lessthan|≤ ≥|trichotomy property|≪|inequalities|less than or equal to|much-greater-than sign
18,Sine,sin|sine|sine function|sin x|sinusoida|half chord|sin z|complex sine
19,Amplitude,peak-to-peak|amplitude|wave amplitude|pulse amplitude|peak to peak|amplitudes|peak value|semi-amplitude|peak amplitude
20,Algebraic equation,polynomial equations|polynomial equation|algebraic root|nonlinear algebra|algebraic equations|algebraic equation
21,Focus (geometry),focal radius|focus|focus of a parabola|directrix circle|circular directrix
22,Logistic function,logistic sigmoid function|logistics function|logistic differential equation|logistics equation|exponential function|bisigmoid|sigmoidal curve|logistics curve|law of population growth|logistic growth model|verhulst-pearl equation|expit|logistic model of population growth|s-shape curve|logistic curve|logistical growth|logistic growth|logistic growth curve|logistic equation|logistic function|logistic sigmoid
23,Right angle,ninety degrees|right angle|ninety-degree angle|90 degrees
24,Degree (angle),degree|degree-angle
25,Semi-major axis,semimajor axis|semi-major axis|major axis
26,Binary number,binary coding|binary notation|binary number|binary arithmetic
27,Mereology,proper part|mereological fusion|part|improper part|mereology
28,Limit (mathematics),converge|limit|math limit|limit function|mathematical limit|convergence|infinite limit|limit operator|limit process
29,Solution of triangles,side-side-angle|solution of triangles|solutions of triangles|two sides and non-included angle given|solving triangles|side-angle-side|solve a triangle
30,Mathematics,mathmatics|mathemetics|math|mathematics and statistics|mathématiques|mathematical research|mathematics|mathematik|mathmetics|mathematics research|mathematical|mathematically|mathematic|math facts|change|maths|matemathics|mathamatics|mathemathics|methematics|mathematical discipline|mathematicsandstatistics|matheamtics
31,Dependent and independent variables,manipulated variable|regressor|explanatory variable|dependent variable|manipulated varrible|independant variable|manipulated varrable|predicted variable|x variable|independent variable|target variable|independent and independent variable|independent risk factors|independent factor|explained variable|dependant variable|independant varrible|exposure variable|responding varrable|with respect to|extraneous variable|regressand|dependent variables|independent and dependent variables|independent variables|extraneous variables|dependent and independent variables|independent risk factor|responding variable|controlled variable|explanatory variables|response variable|y variable
32,Point (geometry),0-simplex|point
33,Eccentricity (mathematics),third eccentricity|second eccentricity|linear eccentricity|first eccentricity|eccentricity
34,Chord (geometry),chord|chord distance
35,Sine wave,"sine tone|sinusoidal wave|sinusoidal|frequency, periodicity, amplitude for sinusoids|sine wave|sine-wave|sinusoidal curve|∿|sine tones|cosine wave|cosine curve|sign wave|sine curve|sinewave|sinusoid|sinusoidal waveform|sine waves|sinusoidally|sinusoidal function"
36,Subtraction,difference|subtraction|resta|subtract|adding the opposite|mathematic difference|substraction|minuend|subtrahend|restar
37,Commutative property,noncommutative|non-commuting|commutative law of multiplication|commmutavity|commutativity|commutative law|commutitivity|noncommuting|commutative property|commutavity|the commutative property|commute|communative|non-commutative|comutative|noncommutativity|commutative operation|non-commutativity|commutation|commutative mathematics|commutative|commutivity
38,Algebra,rule of coss|aljebra|stochastic process algebras|diagrammatic algebra|intermediate algebra|al-gebra|algerbra|algebras|cossic art|algebra|algebraic processes|algebraist|stochastic process algebra|diagram algebra
39,Continuous function,right continuous|right-continuous|continuous fctn|continuous function|ε-δ definition|noncontinuous function|left continuous|continuous binary relation|discontinuity set|left-continuous|sequentially continuous|continuous relation|e-d definition|continuous space|stepping stone theorem|continuous map|sequential continuity|continuity|discontinuous function|continuity property|topological continuity|continuous|continuous functions|continuity space|real-valued continuous functions|continuous mapping|cts fctn|continuous maps|c^1
40,Vector space,linear vector space|complex vector spaces|complex vector space|vector|space vector|complex vector|vectorspace|vector spaces|vectors and scalars|space-vector|linear space|vector theory|vector space|real vector space|vectorial space|vectorspaces|field of scalars|abstract vector space|real vector|general vector space
41,Simultaneous equations,simeltanious equations|x equations y unknowns|system of equations|simultaneous linear equation|exclusion restrictions|systems of equations|equation system|simultaneous equation|simultaneous equations
42,Associative property,associative|associative law|nonassociative|association|associativity|associative property|left associative operator|non-associativity|non-associative|associative multiplication|associativty|ascociative|generalized associative law|associative operation
43,Fundamental theorem of algebra,the fundamental theorem of algebra|fundamental theorem of algebra
44,Logarithm,logarithmically|logarithmic algorithm|logarithm base|antilogarithm|logaritm|logarithm of a number|logarithmand|logarithm table in trigonometry|change of base rule|log-transform|logarhythm|history of logarithms|logarithms|napier logarithm|log|logarithmic function|logarithm function|base of a logarithm|logathrims|log function|logarithmic functions|anti-logarithm|antilog|logarithim|logrithm|㏒|logarithm
45,Simple harmonic motion,simple harmonic oscillator|simple harmonic motion|mass on a spring
46,Natural logarithm,natural logarithm|natural log|ln|natural logarithm integral condition|ln x|integrating the derivative of the logarithm of a function|log natural|base e|base-e logarithm|hyperbolic logarithms|hyperbolic logarithm|natural logarithms|㏑
47,Trigonometric functions,trigonometric function|cosine of x|sine of x|complex sine and cosine|circular function|circular trigonometric function|sekans|trigonmetic function|tan|circular functions|kosinus|wrapping function|wrapping functions|trig function|cosine function|cosine|logarithmic tangent|cos|sine cosine tangent|tangent function|cotangent|trig functions|kosekans|cosec|logarithmic sine|trig ratios|sine-cosine-tangent|the law of cosines|tangens|tangent|the law of sines|sin cos tan|secant function|cosecant|trigonometric functions|sinx|sin-cos-tan|trigonometricfunctions|trigonometry table|cosinus|sin^2|kotangens|prosthaphaeresis formulas
48,Ellipse,orbital circumference|semi-ellipse|elliptic|auxiliary circle|orbital area|gardener's ellipse|ellipse|elliptical|eliptic|eliptical
49,Domain of a function,domain of a function|restriction of a function|replacement set|domain|domain of definition|codomain space|restricted function|function domain|function restriction|natural domain
50,Product topology,product topology|topological product|tychonov topology|tychonoff topology|product space|product|tikhonov product
51,Inverse trigonometric functions,arc functions|arcsine|arctg|sec−1|arc cosine|arc cotangent|inverse trigonometric cofunctions|csc−1|arc sine|sin−1|sec-1|arccos|inverse secant|inverse sine|arccosecant|arctan|tan-1|arccsc|cot−1|arcsin|arccosine|arc function|inverse trigonometric functions|inverse cosecant|arccot|arctangent|inverse cosine|cyclometric function|inverse tangent|arc secant|arccotangent|cyclometric functions|csc-1|arc tangent|arccosec|inverse cotangent|tan−1|inverse trigonometric function|arc cosecant|arcctg|acos|arcsecant
