,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,relation,topic_a,topic_b
0,257.0,349.0,797.0,583.0,1.0,3.0,11.0,0.0,0.0,0.0,0.00318343274579,0.0,0.0,0.0,0.425786133301,0.0213299874529,0.0291595197256,0.545697510242,0.934316830327,0.168599395962,0.8125,5.188917242,0.363044905693,0.621324423449,0.465103761822,0.530152823691,2221.0,6278.0,0.0,0.0,0.0,0.0,352.0,831.0,50.0,-3.9682793598e-05,1.4409901933e-05,-7.5422003441e-07,1.0,Differential equation,Number
1,55.0,197.0,149.0,286.0,2.0,3.0,10.0,1.0,1.0,1.0,0.0997474747475,0.0,0.0,0.0,0.371532242066,0.0402684563758,0.020979020979,0.375993609428,0.834943601509,0.119512716674,0.6875,6.53656711554,0.253235668652,0.363153886979,0.262341355191,0.379108614256,3507.0,3606.0,23.0,0.0,0.00655831194753,0.0,289.0,374.0,61.0,8.7667964103e-06,-7.19878521946e-06,-1.91026775892e-06,1.0,Asymptote,Line (geometry)
2,141.0,197.0,621.0,286.0,5.0,3.0,18.0,1.0,1.0,2.0,0.0167164603784,0.0,0.0,0.0,0.314300193333,0.0466988727858,0.101398601399,0.319598276591,0.897246864115,0.110387564498,0.5,6.68471870031,0.318482446993,0.363153886979,0.380564044639,0.337250817944,5148.0,3606.0,21.0,0.0,0.00407925407925,0.0,555.0,374.0,79.0,1.79496652133e-05,2.05851727437e-05,6.73053466138e-06,1.0,Cartesian coordinate system,Line (geometry)
3,57.0,198.0,28.0,660.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0862068965517,0.0,0.0,0.0,10.0,0.0,0.0,0.519292147117,0.975705243122,0.18481297099,0.666666666667,-10.0,0.360824404237,0.822818868813,0.703297864142,0.639307572884,2541.0,3622.0,0.0,0.0,0.0,0.0,278.0,524.0,36.0,-4.45469876223e-05,-5.5052844892e-05,-6.74943014701e-06,1.0,Partial fraction decomposition,Arithmetic
4,370.0,102.0,614.0,295.0,3.0,3.0,44.0,2.0,14.0,1.0,-0.0912254991757,1.0,0.0,0.0,0.244597635139,0.0928338762215,0.193220338983,0.231636881828,0.47707828205,0.0890637069829,0.384615384615,7.34082674643,0.623570995679,0.514688953988,0.690512913879,0.524151137968,8298.0,2673.0,14.0,62.0,0.00168715353097,0.0231949120838,918.0,269.0,119.0,5.08330920866e-05,1.69068349646e-05,2.13824220323e-06,0.0,Logarithm,Natural logarithm
5,172.0,328.0,369.0,524.0,2.0,2.0,38.0,0.0,1.0,0.0,0.0173004877359,0.0,0.0,0.0,0.263356326991,0.116531165312,0.0820610687023,0.245343625546,0.886042633593,0.196775446845,0.714285714286,6.99365755041,0.337176408044,0.351044844179,0.334049884259,0.383609231205,2807.0,9932.0,0.0,5.0,0.0,0.000503423278292,360.0,920.0,90.0,-1.0735724177e-05,-1.9864134161e-06,1.6604062152e-07,0.0,Square root,Exponentiation
6,238.0,75.0,766.0,276.0,2.0,2.0,9.0,0.0,1.0,2.0,-0.147501105705,0.0,1.0,0.0,0.260297202749,0.0783289817232,0.217391304348,0.33581328392,0.839965179546,0.167022829371,0.846153846154,7.23750728985,0.859013537931,0.621364933784,1.08096057387,0.663465752383,1704.0,1067.0,0.0,2.0,0.0,0.00187441424555,254.0,152.0,22.0,8.2828699751e-05,4.71450355692e-05,1.48099564703e-06,1.0,Polygon,Line segment
7,15.0,103.0,55.0,379.0,1.0,5.0,2.0,1.0,0.0,1.0,0.149038461538,0.0,0.0,0.0,0.350222125308,0.127272727273,0.0184696569921,0.328093667513,0.68572122232,0.194952196956,0.5,7.40578652182,0.4760425604,0.214175069172,0.348886725299,0.362746741848,198.0,2081.0,0.0,0.0,0.0,0.0,30.0,264.0,7.0,-6.01292028313e-05,-1.41189381663e-05,-2.70871239355e-06,0.0,Base (exponentiation),Exponential function
8,193.0,157.0,576.0,182.0,2.0,3.0,24.0,2.0,2.0,0.0,-0.01782119402,1.0,0.0,0.0,0.303704574697,0.0451388888889,0.142857142857,0.205200743985,0.687949157288,0.211605372781,0.5,7.10272795333,0.29322848754,0.476669394803,0.343056975514,0.431554863413,3259.0,3919.0,1.0,62.0,0.000306842589751,0.0158203623373,426.0,483.0,62.0,-4.00365050825e-05,2.59827213337e-06,2.43541300745e-06,0.0,Equation,Quadratic equation
9,442.0,20.0,15414.0,14.0,4.0,3.0,3.0,0.0,0.0,0.0,-0.238095238095,1.0,0.0,0.0,0.646791369557,0.000259504346698,0.285714285714,0.489461898804,0.953695238614,0.257127423905,0.764705882353,4.50895132825,0.530054553381,0.295134743708,0.389036296128,0.464196393482,5644.0,693.0,0.0,1.0,0.0,0.001443001443,862.0,104.0,19.0,6.57813019253e-05,0.00127523649862,0.000102149004857,0.0,Mathematics,Linear inequality
10,108.0,255.0,131.0,293.0,2.0,4.0,14.0,0.0,0.0,0.0,0.057708220903,0.0,0.0,0.0,0.407793199529,0.030534351145,0.0136518771331,0.334010601044,0.963516704736,0.171217114337,0.714285714286,6.23567019198,0.426249339723,0.792975304414,0.571577024238,0.766379792788,2911.0,6640.0,1.0,0.0,0.000343524562006,0.0,320.0,779.0,56.0,1.56175420412e-05,-5.38599209094e-06,-2.53844149551e-06,1.0,Binomial theorem,Addition
11,110.0,346.0,93.0,1329.0,5.0,2.0,13.0,0.0,1.0,0.0,0.117844068853,0.0,0.0,0.0,0.449736127929,0.10752688172,0.00752445447705,0.330133199692,0.948406018997,0.266435271297,0.75,5.98254930421,0.664586082114,0.28279098254,0.514659403727,0.465078101712,965.0,7210.0,0.0,0.0,0.0,0.0,142.0,853.0,33.0,-3.09985335052e-05,-4.31020751519e-05,-1.02987838065e-05,0.0,Associative property,Complex number
12,115.0,103.0,359.0,379.0,3.0,5.0,9.0,1.0,1.0,2.0,-0.0565114709852,0.0,0.0,0.0,0.289818262057,0.066852367688,0.0633245382586,0.332135558128,0.662997226975,0.0762774027045,0.388888888889,6.76194099986,0.69867735896,0.214175069172,0.523409121242,0.435085936447,1417.0,2081.0,1.0,1.0,0.000705716302047,0.000480538202787,188.0,264.0,28.0,6.306658044e-07,7.0218151639e-06,-1.1080279821e-07,1.0,Exponential growth,Exponential function
13,87.0,206.0,300.0,295.0,1.0,4.0,19.0,0.0,2.0,2.0,0.0392762577229,0.0,1.0,0.0,0.255707486983,0.0833333333333,0.0847457627119,0.260060921911,0.604179425265,0.0934270902426,0.352941176471,7.23286375695,0.532103569196,0.533497551009,0.571059286203,0.496364932596,3871.0,3327.0,1.0,6.0,0.000258331180573,0.00180342651037,344.0,465.0,73.0,-7.485551557e-07,-2.9822414098e-06,-5.40446324608e-06,1.0,Mathematical induction,Mathematical proof
14,65.0,274.0,55.0,1627.0,3.0,3.0,10.0,0.0,0.0,0.0,0.247272727273,0.0,0.0,0.0,0.400203092764,0.309090909091,0.0104486785495,0.37685533624,1.0,0.213441788959,0.647058823529,6.83613281469,0.315428123911,0.567371644106,0.411812659446,0.498342511185,2342.0,4570.0,0.0,0.0,0.0,0.0,293.0,560.0,53.0,-7.71202971713e-05,-5.61581445294e-05,-1.6271610212e-05,0.0,Quadratic formula,Real number
15,277.0,442.0,873.0,15414.0,3.0,4.0,21.0,0.0,1.0,1.0,0.458799551781,0.0,1.0,0.0,0.413537057637,0.497136311569,0.0281562216167,0.530126484044,0.933628153608,0.241845655948,0.733333333333,5.062823275,0.337667211135,0.530054553381,0.436401080483,0.810412672607,5743.0,5644.0,1.0,0.0,0.000174125021766,0.0,469.0,862.0,59.0,-5.48331549879e-05,-0.00124482653701,-9.38013035237e-05,1.0,Continuous function,Mathematics
16,55.0,442.0,149.0,15414.0,2.0,4.0,11.0,0.0,0.0,0.0,0.332513705256,0.0,0.0,0.0,0.634423253309,0.140939597315,0.00136239782016,0.632874906063,1.0,0.218576669095,0.692307692308,3.80229042852,0.253235668652,0.530054553381,0.436750777157,0.378952759847,3507.0,5644.0,1.0,0.0,0.000285143997719,0.0,289.0,862.0,38.0,-4.79355650538e-05,-0.00127079134485,-0.000100905113087,1.0,Asymptote,Mathematics
17,16.0,363.0,88.0,3440.0,1.0,1.0,2.0,0.0,0.0,0.0,0.341952165482,0.0,0.0,0.0,0.554915189613,0.0909090909091,0.00232558139535,0.607315689325,0.989852671795,0.209162216379,0.733333333333,4.86362373992,1.02059283815,0.414915844314,0.796233567491,0.745115077192,328.0,3650.0,0.0,0.0,0.0,0.0,46.0,665.0,8.0,-0.000105347883291,-0.000222082240967,-2.40831031706e-05,1.0,Circular sector,Geometry
18,442.0,8.0,15414.0,6.0,4.0,1.0,2.0,0.0,0.0,0.0,-0.442187108101,1.0,0.0,0.0,0.627666772979,0.000194628260023,0.5,0.9278514876,0.967232897604,0.269577675545,0.571428571429,5.06856711618,0.530054553381,0.277906737378,0.38509117065,0.452582133285,5644.0,264.0,0.0,1.0,0.0,0.00378787878788,862.0,25.0,3.0,6.58205920763e-05,0.0012754865505,0.000102061772352,0.0,Mathematics,Vertical line test
19,1214.0,57.0,1797.0,28.0,6.0,3.0,12.0,0.0,0.0,1.0,-0.258620689655,0.0,0.0,0.0,0.563321885903,0.00111296605454,0.0714285714286,0.411471188068,0.791564073064,0.162020198868,0.777777777778,5.27181454668,0.576443986313,0.360824404237,0.518014747207,0.423456531542,1865.0,2541.0,0.0,0.0,0.0,0.0,234.0,278.0,31.0,8.9252419031e-06,6.33970382343e-05,1.76305427221e-05,0.0,Integer,Partial fraction decomposition
20,83.0,57.0,492.0,28.0,2.0,3.0,16.0,1.0,0.0,0.0,-0.051724137931,0.0,0.0,0.0,0.422435204071,0.00609756097561,0.107142857143,0.243980064629,0.835628321067,0.139216152052,0.611111111111,6.97267482508,0.561676515955,0.360824404237,0.74928881358,0.394504872021,2946.0,2541.0,0.0,6.0,0.0,0.00236127508855,316.0,278.0,61.0,-9.3842296458e-06,1.95010745894e-05,1.43344452483e-06,0.0,Factorization,Partial fraction decomposition
21,274.0,84.0,1627.0,249.0,3.0,2.0,15.0,0.0,0.0,4.0,-0.362780748663,0.0,0.0,0.0,0.37997326449,0.0233558696988,0.152610441767,0.316099047661,0.864813704122,0.174445319319,0.65,6.13038591912,0.567371644106,0.409566207218,0.712321197109,0.446965650304,4570.0,1346.0,0.0,0.0,0.0,0.0,560.0,170.0,42.0,6.80316271091e-05,5.21676813172e-05,1.52274824245e-05,0.0,Real number,Inequality (mathematics)
22,198.0,442.0,660.0,15414.0,2.0,4.0,69.0,0.0,2.0,4.0,0.226782497663,0.0,1.0,0.0,0.483625223687,0.313636363636,0.0134293499416,0.332868774704,0.900644397296,0.111656005126,0.454545454545,4.60219325499,0.822818868813,0.530054553381,0.772826034548,0.583612520634,3622.0,5644.0,9.0,6.0,0.00248481501933,0.00106307583274,524.0,862.0,92.0,-1.0268098524e-05,-0.00122018595254,-9.53284014362e-05,1.0,Arithmetic,Mathematics
23,255.0,184.0,293.0,824.0,4.0,5.0,5.0,0.0,1.0,0.0,0.00826709062003,0.0,0.0,0.0,0.434904834703,0.0409556313993,0.0145631067961,0.541821750511,1.0,0.264987930783,0.909090909091,5.49530927394,0.792975304414,0.417746118028,0.620148881547,0.637774684381,6640.0,2354.0,1.0,0.0,0.000150602409639,0.0,779.0,264.0,37.0,1.7152211422e-06,-4.28725122125e-05,-5.42985769379e-06,0.0,Addition,Circle
24,42.0,254.0,167.0,1546.0,4.0,3.0,4.0,0.0,3.0,0.0,0.220793433653,0.0,0.0,0.0,0.432892179437,0.107784431138,0.0116429495472,0.355761408806,0.789405198552,0.150617295653,0.681818181818,5.83369747941,0.33123015088,0.336733436843,0.356411151907,0.326187278226,1186.0,6571.0,3.0,0.0,0.00252951096121,0.0,150.0,511.0,34.0,-7.03808508476e-05,-4.85543912849e-05,-1.51728130667e-05,1.0,Dependent and independent variables,Function (mathematics)
25,193.0,262.0,576.0,331.0,2.0,9.0,26.0,1.0,0.0,1.0,0.065604129317,0.0,0.0,0.0,0.335388775877,0.0399305555556,0.0694864048338,0.31462480513,0.793122486812,0.152746974103,0.75,6.38201394294,0.29322848754,0.389026165941,0.323975702569,0.3628507784,3259.0,7201.0,0.0,12.0,0.0,0.00166643521733,426.0,713.0,82.0,-0.000122308905038,-5.8643728914e-06,-2.0748552716e-07,0.0,Equation,Pythagorean theorem
26,197.0,19.0,286.0,55.0,3.0,3.0,7.0,0.0,1.0,0.0,-0.229797979798,0.0,0.0,0.0,0.374619890307,0.013986013986,0.0727272727273,0.195007920265,0.814020236398,0.174620856976,0.705882352941,7.12771512815,0.363153886979,0.0,0.28273094308,0.0878036582614,3606.0,215.0,0.0,4.0,0.0,0.0186046511628,374.0,28.0,7.0,6.9555642377e-06,9.91242207345e-06,2.27824156282e-06,0.0,Line (geometry),Secant line
