concept,Complex plane,Maxima and minima,Addition,Function composition,Partial fraction decomposition,Quadrant (plane geometry),Division (mathematics),Angle,Amplitude,Rectangle,Cross product,Graph of a function,Algebra,Sum,Rotation of axes,Sine wave,Simultaneous equations,Polar coordinate system,Minute and second of arc,Multiplicative inverse,Existential quantification,Natural logarithm,Sine,Empty set,Monotonic function,Geometry,Rationalisation (mathematics),Right angle,Dot product,Determinant,Operation (mathematics),Homogeneous polynomial,Solution of triangles,Set (mathematics),Graph (mathematics),Interval (mathematics),Absolute value,Distributive property,Analytic geometry,Change of variables,E (mathematical constant),Inverse function,Basis (linear algebra),List of mathematical symbols,Piecewise,Real number,Force,System of linear equations,Euclidean vector,Equation solving,Binary logarithm,Sign (mathematics),Exponential function,Constant function,Imaginary number,Polynomial,Linear equation,Multiplication,Minor (linear algebra),Binary number,Empty sum,Degree of a polynomial,Geometric progression,Integer,Degree (angle),Semi-major axis,Logarithm,Function (mathematics),Equality (mathematics),Real line,Factorization,Vector field,Norm (mathematics),Trigonometric substitution,Periodic function,Even and odd functions,Natural number,Polygon,Number,Invertible matrix,Mathematical induction,Right triangle,Pythagorean theorem,Scalar (mathematics),Radius,Trigonometric tables,Cone,Trigonometric functions,Square (algebra),Triangle,Identity (mathematics),Line segment,Product (mathematics),Zero of a function,Base (exponentiation),Simple harmonic motion,Complex conjugate,Asymptote,Commutative property,Conic section,Work (physics),Mathematics,Inverse trigonometric functions,Identity matrix,Quadratic formula,Slope,Perpendicular,Square matrix,Parity (mathematics),Focus (geometry),Quadratic equation,Extended real number line,Matrix multiplication,Cartesian coordinate system,Descartes' rule of signs,Calculus,Inverse element,Arithmetic mean,Floor and ceiling functions,Cylinder (geometry),Circular motion,Line (geometry),Synthetic division,Nth root,Distance,Rational number,Hyperbola,Parallel (geometry),Binomial theorem,Mereology,Binomial,Plane curve,Ellipse,Binomial coefficient,Parametric equation,Transformation (function),Summation,Equality,Complex number,Elementary matrix,Subtraction,Vector space,Secant line,Associative property,Vector (mathematics and physics),Continuous function,Triangular matrix,Image (mathematics),Symmetry,Coordinate system,Line–line intersection,Mathematical proof,Equation,Scalar multiplication,Fundamental theorem of algebra,Length,Series (mathematics),Linear function,Exponential growth,Displacement (vector),Linear inequality,Differential equation,Infinity,Area,Main diagonal,Limit of a sequence,Open set,Union (set theory),Spherical law of cosines,Polynomial long division,Arithmetic,Universal quantification,Edge,Position (vector),Point (geometry),Exponentiation,Matrix (mathematics),Monomial,Mathematical analysis,Rational function,Pythagorean trigonometric identity,Rotation (mathematics),Product topology,Range (mathematics),Limit of a function,Algebraic equation,Circular sector,Injective function,Closed set,Curve,Set-builder notation,Dependent and independent variables,Origin (mathematics),Rational root theorem,Zero (complex analysis),Chord (geometry),Prime number,Trigonometry,Unit circle,Geometric series,Algebraic operation,Vertical line test,Common logarithm,Logistic function,Law of sines,Cubic function,Circle,Quadratic function,Expression (mathematics),Division by zero,Eccentricity (mathematics),Plane (geometry),Semi-minor axis,Limit (mathematics),Orientation (geometry),Inequality (mathematics),Domain of a function,Scientific notation,Derivative,Formula,Square root,Matrix ring,Negative number,Algebraic expression
Complex plane,0.41622536956850636,0.0,0.014133970137195936,0.0,0.0,0.0,0.0,0.027507947159770518,0.0,0.0,0.0,0.0,0.01929370097212222,0.0401948245359557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02788390089544609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01848014019531259,0.011255688812316405,0.0,0.007803948239845506,0.0,0.0,0.0,0.019578305598096774,0.0,0.026131601804169995,0.009534291339297821,0.0,0.013389491485954409,0.0,0.0,0.0,0.0,0.0,0.008757404044747555,0.0,0.0,0.007368062215006595,0.0,0.0,0.023563011871564805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21593976866020545,0.0,0.0,0.0,0.0,0.0,0.01825312698096934,0.0,0.0,0.009283221168213552,0.0,0.0,0.0,0.01889115344509563,0.0,0.0,0.0,0.0,0.010359837493288946,0.0,0.0,0.0,0.0,0.001284294966302593,0.0,0.0,0.0,0.0,0.009445576722547816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00868709887971122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013454244549360131,0.07943417441130035,0.0,0.0,0.02607861309417165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024861133799539636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17964777428677448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07437956495926794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03590086911058722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06729842230729868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12305475698150739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005592691823640036,0.012708467385685282,0.053836456179409485,0.0,0.0,0.0
Maxima and minima,0.0,0.7072930413876993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05972937555238856,0.03620598895408181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05385831284929098,0.0,0.0,0.0,0.0,0.0,0.0,0.03368257012574443,0.0,0.11613567390128697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15728714287468754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11913735606461101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06150511793993202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07241060784198587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07349910772289042,0.0,0.3834988679067453,0.0,0.0,0.0,0.0,0.0
Addition,0.0057218376006226285,0.0,0.4112343862140013,0.0,0.0,0.0,0.0,0.0072321363424748784,0.0,0.0,0.0,0.0,0.019162862102723374,0.18035461801172487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034315653004488873,0.0,0.008246018714447193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012218297731963859,0.00433894948707321,0.0,0.0,0.0,0.002776306560451728,0.0,0.0,0.0,0.013881795451878003,0.015782624688318467,0.0,0.0,0.0,0.0,0.0,0.0034315653004488873,0.0,0.0,0.0,0.0,0.07275166578909813,0.0,0.005950247479531987,0.005950247479531987,0.0,0.0,0.04604832173763972,0.0,0.0,0.015497144940483355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05424000729169175,0.0,0.2560346331900438,0.0,0.005030393543847919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026960353642270793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012389940514625627,0.0,0.0,0.015757234015355757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002010190401893503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068631306008977745,0.0,0.019275982873528025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024468146401486167,0.0,0.011933772681509911,0.0,0.059178859035097224,0.004570899321670149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037044188014579295,0.0,0.0,0.0,0.0,0.0,0.0,0.007408837602915859,0.0025468801532656945,0.0,0.0,0.0,0.0,0.0,0.0,0.051368917291959124,0.0,0.010429435086620356,0.0,0.0,0.004887319092785543,0.0,0.0,0.002776306560451728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026960353642270793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028324621147316,0.0,0.00890984880874336,0.0,0.0,0.012389940514625627,0.0
Function composition,0.0,0.0,0.04459168043284352,0.4167601953103743,0.0,0.0,0.0,0.04339281805484927,0.0,0.0,0.0,0.0,0.08116035714094605,0.02536236815789881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05229008423565144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021992935917534946,0.0,0.0,0.0,0.0,0.0999470361762622,0.0,0.0,0.0,0.008329077271126802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015040008873258537,0.0,0.04224290271625053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046491434821450066,0.0,0.0601124790967929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05857581807548833,0.0,0.048528636556087426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028363021227640364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059600258756358056,0.0,0.0,0.018091713617041528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05229008423565144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02292192137939125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021992935917534946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02831617845342091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030884087704039987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03402695462395843,0.048528636556087426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03528909770409488,0.08018863927869023,0.048528636556087426,0.0,0.0,0.0
Partial fraction decomposition,0.0,0.0,0.007798052489487414,0.0,0.5311617934959274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039030935299925414,0.23950571309700502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00914432507569274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011652502192118285,0.0,0.033637711860973744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263014933497871,0.04320729511304116,0.0,0.0,0.0,0.0,0.0,0.0,0.019326684788408398,0.0,0.0,0.01626055109518697,0.0,0.0,0.0,0.057157724100904535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07709005939999222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011431544820180906,0.0,0.0,0.0,0.0,0.0014171530662649304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012655287357733481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067418462267019195,0.0,0.0,0.0,0.0,0.00848653496424189,0.0,0.0,0.015834588544427687,0.0,0.0,0.0,0.0,0.016695524342605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06401027552984918,0.0,0.04206940927675128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02540327790934802,0.0,0.0,0.016414800542734993,0.0,0.0,0.0,0.0,0.0,0.0,0.1823059413316699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011431544820180906,0.01080182377826029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06788370765245837,0.04206940927675128,0.0,0.0,0.0,0.0
Quadrant (plane geometry),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6750174510420459,0.0,0.0,0.11975468087572175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25866581914377557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3780802803054247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1543703622864302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2344029734362567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Division (mathematics),0.0,0.0,0.0567894046768052,0.0,0.0,0.0,0.007838943523432257,0.0,0.0,0.0,0.0,0.0,0.05168058616149928,0.0,0.0,0.0,0.0,0.0,0.0,0.018334979568327945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007002235202443861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029170445510089828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028731138026942316,0.0,0.087421971316366,0.0,0.0,0.0,0.0,0.0,0.1363484611810023,0.0,0.0,0.03700551426371025,0.0,0.0,0.011834337800965284,0.0,0.0,0.0,0.0,0.0,0.0,0.04440661711645231,0.0,0.3700197143805578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007740324819330427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012433133283586462,0.009487933568837268,0.0,0.0,0.01152028400726411,0.013514577484559056,0.0,0.0,0.0,0.0,0.0,0.018050904442758517,0.009833050345232462,0.0,0.061371963408990565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02279725184898306,0.0,0.048450084463071266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01664841246964687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011562478510308626,0.058878454079931634,0.0,0.0,0.0,0.0,0.007002235202443861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01040629416366244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1017554647786093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005617771159172054,0.025530912057340836,0.0,0.0,0.0,0.0
Angle,0.0,0.0,0.016404193319854352,0.0,0.0,0.0,0.0,1.0429265216775172,0.0,0.0,0.0,0.0,0.0,0.04043085632079551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025648331473100187,0.0,0.0,0.04550264212894436,0.0,0.08906503308458805,0.0130244250586451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002696888514930883,0.0,0.00341564567766821,0.0,0.0,0.0,0.0,0.0,0.0,0.0010213548985319567,0.0,0.0,0.0030191440513391943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003388011236655358,0.0,0.0,0.0,0.0,0.0,0.0045579573913907745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056111313262442376,0.0073713057268951585,0.0,0.0,0.0043545324593417525,0.0,0.0,0.01765414699368364,0.0,0.0,0.0035914361687043794,0.0,0.029754172672557918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019874409150382097,0.0,0.0,0.0,0.008906503308458803,0.007308494597066359,0.0,0.0,0.0,0.0,0.0,0.0,0.002932770267963268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006721624003645296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035308293987367286,0.0,0.0,0.0,0.0038576722305822004,0.005205096336885439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013359754962688207,0.0,0.0,0.0032060414341375234,0.0,0.0,0.04905955676956719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002810805557749186,0.0,0.0,0.0,0.0,0.0,0.0,0.0018897373718803616,0.0,0.017265308342876703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005755102780958901,0.0,0.0,0.0312504974641381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037194292121477683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059508345345115836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04424917141544305,0.0,0.0,0.0,0.0
Amplitude,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015404450409471492,2.9683069977541274,0.0,0.0,0.0,0.0,0.0,0.0,0.09996613530525611,0.0,0.0,0.0,0.0,0.0,0.0,0.055688939710968784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031229969002899625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016504459361614775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017227665977411037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015404450409471492,0.0,0.0,0.0,0.0,0.0,0.0,0.03712595980731253,0.0,0.0,0.02367123614131617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020104486701928846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017227665977411037,0.0,0.0,0.0
Rectangle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6042903376062772,0.0,0.6367370087638342,0.0,0.0,0.0,0.005790122634118378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05082835329773399,0.0,0.06632624328742955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029846991620536643,0.009148951802512961,0.0,0.0,0.01621398259780627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06093386680113228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018500454820050214,0.0,0.0,0.0,0.0,0.020409734911743194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006573473382214038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10386894761255101,0.0,0.0,0.0,0.0,0.0,0.0,0.10655861928566765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0732617037013341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06428690373328368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022157769745866283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027460096730483958,0.0,0.0,0.0,0.0
