,topic_a,topic_b,relation,refd_equal,refd_tfidf
0,Differential equation,Number,1,0.05429864253393665,0.08280245692150938
1,Partial fraction decomposition,Arithmetic,1,0.07692307692307693,-0.0013639242455362787
2,Equation,Quadratic equation,0,-0.03,-0.12091139176150426
3,Mathematics,Linear inequality,0,-0.6666666666666666,-0.03230951884856987
4,Binomial theorem,Addition,1,0.17105263157894735,0.06459146798711893
5,Exponential growth,Exponential function,1,0.3760869565217392,0.31746523401586996
6,Continuous function,Mathematics,1,0.5055147058823529,0.6779728748731115
7,Mathematics,Vertical line test,0,-0.96875,0.009586615178007605
8,Real number,Inequality (mathematics),0,-0.7394736842105263,0.0
9,Arithmetic,Mathematics,1,0.31465517241379315,0.5037292715585713
10,Addition,Circle,0,-0.059941520467836275,0.0715191049510285
11,Line (geometry),Secant line,0,-0.5506493506493506,-0.7603132356591983
12,Algebra,Number,1,-0.13419117647058826,-0.0549693031691085
13,Circle,Geometry,1,0.07500000000000001,0.0036056477826214572
14,Multiplication,Common logarithm,0,-0.5428571428571428,-0.1252574507534029
15,Linear equation,Equation,1,-0.05166666666666666,-0.06685028668690424
16,Inequality (mathematics),Mathematics,1,0.4736842105263158,0.0
17,Function (mathematics),Exponential growth,0,-0.3411764705882353,-0.8394886009770739
18,Rational number,Nth root,0,-0.31884057971014496,-0.0013899825618004789
19,Parametric equation,Equation,1,-0.00888888888888889,-0.08511788402361879
20,Limit of a function,Function (mathematics),1,0.3725490196078432,1.0
21,Constant function,Linear function,0,-0.2095238095238096,-0.4765059081245919
22,Law of sines,Line segment,1,-0.006465517241379309,0.0368671615039446
23,Coordinate system,Geometry,1,0.3833333333333333,0.1899305224374632
24,Sine,Mathematics,1,0.5279605263157895,0.488218786851904
25,Arithmetic,Subtraction,0,0.2505747126436782,0.2098256421466344
26,Limit of a sequence,Mathematics,1,0.5145833333333333,0.7851963636269214
27,Exponentiation,Arithmetic,1,-0.3646990064289889,-0.2267711498500952
