,Unnamed: 0,topic_a,topic_b,relation,tfidf_score,wiki_tfidf_score
0,0,Differential equation,Number,1,0.014628915221498872,0.014628915221498872
1,1,Asymptote,Line (geometry),1,0.0,0.0
2,2,Cartesian coordinate system,Line (geometry),1,0.0,0.0
3,3,Partial fraction decomposition,Arithmetic,1,0.0,0.0
4,4,Logarithm,Natural logarithm,0,0.4973889960861506,0.4973889960861506
5,5,Square root,Exponentiation,0,0.0,0.0
6,6,Polygon,Line segment,1,0.029143377215574525,0.029143377215574525
7,7,Base (exponentiation),Exponential function,0,0.0,0.0
8,8,Equation,Quadratic equation,0,0.20262042014310275,0.20262042014310275
9,9,Mathematics,Linear inequality,0,0.0,0.0
10,10,Binomial theorem,Addition,1,0.0,0.0
11,11,Associative property,Complex number,0,0.0,0.0
12,12,Exponential growth,Exponential function,1,0.1591833551192977,0.1591833551192977
13,13,Mathematical induction,Mathematical proof,1,0.16911069471644574,0.16911069471644574
14,14,Quadratic formula,Real number,0,0.0,0.0
15,15,Continuous function,Mathematics,1,0.010018778642599334,0.010018778642599334
16,16,Asymptote,Mathematics,1,0.0034870554236579496,0.0034870554236579496
17,17,Circular sector,Geometry,1,0.04319021277485047,0.04319021277485047
18,18,Mathematics,Vertical line test,0,0.0,0.0
19,19,Integer,Partial fraction decomposition,0,0.0,0.0
20,20,Factorization,Partial fraction decomposition,0,0.0,0.0
21,21,Real number,Inequality (mathematics),0,0.0,0.0
22,22,Arithmetic,Mathematics,1,0.0,0.0
23,23,Addition,Circle,0,0.0,0.0
24,24,Dependent and independent variables,Function (mathematics),1,0.0,0.0
25,25,Equation,Pythagorean theorem,0,0.0,0.0
26,26,Line (geometry),Secant line,0,0.0,0.0
27,27,Algebra,Number,1,0.04480883672971263,0.04480883672971263
28,28,Sine wave,Mathematics,1,0.010654891572288178,0.010654891572288178
29,29,Circle,Geometry,1,0.0,0.0
30,30,Piecewise,Inverse function,0,0.0,0.0
31,31,Multiplication,Common logarithm,0,0.0,0.0
32,32,Empty sum,Arithmetic,1,0.0,0.0
33,33,Number,Empty sum,0,0.0,0.0
34,34,Linear equation,Equation,1,0.3976301848700535,0.3976301848700535
35,35,Solution of triangles,Point (geometry),1,0.0,0.0
36,36,Synthetic division,Polynomial long division,1,0.03437910277065099,0.03437910277065099
37,37,Inequality (mathematics),Mathematics,1,0.0,0.0
38,38,Arithmetic,Factorization,0,0.0,0.0
39,39,Function (mathematics),Exponential growth,0,0.0,0.0
40,40,Algebraic expression,Distributive property,0,0.09205996539882833,0.09205996539882833
41,41,Square (algebra),Algebraic expression,0,0.0,0.0
42,42,Line–line intersection,Point (geometry),1,0.0,0.0
43,43,Inequality (mathematics),Equality (mathematics),1,0.008050955786153549,0.0
44,44,Rational number,Nth root,0,0.0,0.0
45,45,Parametric equation,Equation,1,0.2208008145695124,0.2208008145695124
46,46,Prime number,Zero of a function,0,0.0,0.0
47,47,Homogeneous polynomial,Addition,1,0.035573138322830225,0.035573138322830225
48,48,Limit of a function,Function (mathematics),1,0.07921682063542232,0.0
49,49,Constant function,Linear function,0,0.03530409039071407,0.03530409039071407
50,50,Law of sines,Line segment,1,0.0,0.0
51,51,Minor (linear algebra),Square matrix,1,0.13650296532492714,0.13650296532492714
52,52,Coordinate system,Geometry,1,0.0,0.0
53,53,Number,Quadrant (plane geometry),0,0.0,0.0
54,54,Sine,Mathematics,1,0.0,0.0
55,55,Periodic function,Simple harmonic motion,0,0.0,0.0
56,56,Arithmetic,Subtraction,0,0.06470062467528917,0.06470062467528917
57,57,Associative property,Multiplication,0,0.17722817821408746,0.17722817821408746
58,58,Limit of a sequence,Mathematics,1,0.0,0.0
