,topic_a,topic_b,relation,tfidf_score,wiki_tfidf_score
0,Differential equation,Number,1,0.0064263306337703574,0.0064263306337703574
1,Partial fraction decomposition,Arithmetic,1,0.047546626831744064,0.0
2,Equation,Quadratic equation,0,0.186873430743695,0.186873430743695
3,Mathematics,Linear inequality,0,0.0,0.0
4,Binomial theorem,Addition,1,0.0351178834864004,0.0351178834864004
5,Exponential growth,Exponential function,1,0.16509568338840908,0.16509568338840908
6,Continuous function,Mathematics,1,1.0,1.0
7,Mathematics,Vertical line test,0,0.0,0.0
8,Real number,Inequality (mathematics),0,0.0,0.0
9,Arithmetic,Mathematics,1,1.0,1.0
10,Addition,Circle,0,0.015202877140457963,0.015202877140457963
11,Line (geometry),Secant line,0,0.006701220504120186,0.006701220504120186
12,Algebra,Number,1,0.011678620094063438,0.011678620094063438
13,Circle,Geometry,1,0.011877339426256552,0.011877339426256552
14,Multiplication,Common logarithm,0,0.027181347203316674,0.027181347203316674
15,Linear equation,Equation,1,0.16817843156587678,0.16817843156587678
16,Inequality (mathematics),Mathematics,1,1.0,1.0
17,Function (mathematics),Exponential growth,0,0.014552718540005512,0.0
18,Rational number,Nth root,0,0.027181347203316674,0.0
19,Parametric equation,Equation,1,0.08340277320511848,0.08340277320511848
20,Limit of a function,Function (mathematics),1,0.04841628468808217,0.0
21,Constant function,Linear function,0,0.0440234281369358,0.0440234281369358
22,Law of sines,Line segment,1,0.03178406583341601,0.0
23,Coordinate system,Geometry,1,0.044831379872713004,0.044831379872713004
24,Sine,Mathematics,1,1.0,1.0
25,Arithmetic,Subtraction,0,0.05260172039512224,0.05260172039512224
26,Limit of a sequence,Mathematics,1,1.0,1.0
27,Exponentiation,Arithmetic,1,0.027181347203316674,0.027181347203316674
28,Function (mathematics),Periodic function,0,0.014552718540005512,0.0
29,Addition,Rational number,0,0.022568972652479747,0.022568972652479747
30,Exponentiation,Quadratic equation,0,0.0,0.0
31,Law of sines,Sine,1,0.2533998828760725,0.2533998828760725
32,Constant function,Even and odd functions,0,0.021811752080828632,0.0
33,Linear equation,Quadratic equation,0,0.186873430743695,0.186873430743695
34,Multiplication,Rational number,0,0.022568972652479747,0.022568972652479747
35,Linear equation,Mathematics,1,1.0,1.0
36,Mathematics,Continuous function,0,0.0,0.0
37,Algebra,Mathematics,1,1.0,1.0
38,Real line,Geometry,1,0.007066265228279215,0.007066265228279215
39,Position (vector),Vector (mathematics and physics),1,0.014552718540005512,0.0
40,Sine,Law of sines,0,0.04860946401770085,0.04860946401770085
41,Multiplicative inverse,Multiplication,1,0.005889363580115375,0.005889363580115375
42,Polynomial,Circle,0,0.026493249134474543,0.0
43,Function (mathematics),Nth root,0,0.014552718540005512,0.014552718540005512
44,Arithmetic,Algebraic expression,0,0.024419477659284983,0.0
45,Conic section,Mathematics,1,1.0,1.0
46,Addition,Linear inequality,0,0.0,0.0
47,Trigonometric functions,Inverse trigonometric functions,0,0.0,0.0
48,Arithmetic,Exponentiation,0,0.027181347203316674,0.027181347203316674
49,Coordinate system,Complex number,0,0.06486882360398104,0.06486882360398104
50,Secant line,Curve,1,0.06185713993182765,0.06185713993182765
51,Unit circle,Nth root,0,0.027181347203316674,0.0
52,Geometry,Vector (mathematics and physics),0,0.0830996518039371,0.0
53,Vector (mathematics and physics),Euclidean vector,0,0.7831457651878471,0.7831457651878471
54,Binomial,Binomial theorem,0,0.04949126835362287,0.04949126835362287
55,Multiplicative inverse,Mathematics,1,1.0,1.0
56,Complex number,Zero of a function,0,0.0,0.0
57,System of linear equations,Mathematics,1,1.0,1.0
58,Right triangle,Line (geometry),1,0.00422968768256285,0.0
59,Exponentiation,Multiplicative inverse,0,0.020978786735308008,0.0
60,Spherical law of cosines,Geometry,1,0.011877339426256552,0.011877339426256552
