,Unnamed: 0,topic_a,topic_b,relation,refd_equal,refd_tfidf
0,0,Differential equation,Number,1,0.05429864253393665,0.08280245692150938
1,1,Asymptote,Line (geometry),1,0.18095238095238095,0.7179190980014714
2,2,Cartesian coordinate system,Line (geometry),1,-0.011428571428571455,0.10713861477195066
3,3,Partial fraction decomposition,Arithmetic,1,0.07692307692307693,-0.0013639242455362787
4,4,Logarithm,Natural logarithm,0,-0.27941176470588236,-0.17608288207780043
5,5,Square root,Exponentiation,0,0.1500313873195229,0.2307628184967174
6,6,Polygon,Line segment,1,-0.21750663129973474,0.2608184575715706
7,7,Base (exponentiation),Exponential function,0,0.24637681159420288,0.0
8,8,Equation,Quadratic equation,0,-0.03,-0.12091139176150423
9,9,Mathematics,Linear inequality,0,-0.6666666666666666,-0.03230951884856987
10,10,Binomial theorem,Addition,1,0.17105263157894737,0.06459146798711893
11,11,Associative property,Complex number,0,0.5519607843137255,0.9430903721453859
12,12,Exponential growth,Exponential function,1,0.3760869565217392,0.31746523401587
13,13,Mathematical induction,Mathematical proof,1,0.07500000000000001,-0.10311932425566328
14,14,Quadratic formula,Real number,0,0.46111111111111114,0.8293446840578846
15,15,Continuous function,Mathematics,1,0.5055147058823529,0.6779728748731115
16,16,Asymptote,Mathematics,1,0.6708333333333333,0.20459158978030578
17,17,Circular sector,Geometry,1,0.2333333333333333,0.2855711338191844
18,18,Mathematics,Vertical line test,0,-0.96875,0.009586615178007605
19,19,Integer,Partial fraction decomposition,0,-0.5384615384615384,-0.8709925032766452
20,20,Factorization,Partial fraction decomposition,0,0.06896551724137931,-0.8465604627310364
21,21,Real number,Inequality (mathematics),0,-0.7394736842105263,0.0
22,22,Arithmetic,Mathematics,1,0.31465517241379315,0.5037292715585713
23,23,Addition,Circle,0,-0.05994152046783627,0.0715191049510285
24,24,Dependent and independent variables,Function (mathematics),1,0.6274509803921569,1.0
25,25,Equation,Pythagorean theorem,0,0.07500000000000001,-0.18605278364823397
26,26,Line (geometry),Secant line,0,-0.5506493506493506,-0.7603132356591983
