,topic_a,topic_b,score
0,Motion,Physics,0.3598832878405188
1,Motion,Length,0.1799416439202594
2,Motion,Physical quantity,0.620807746984032
3,Motion,Metre,1.1637320525182429
4,Inertial frame of reference,Motion,0.9025023479890378
5,Inertial frame of reference,Position (vector),0.631340202576357
6,Non-inertial reference frame,Motion,0.9025023479890378
7,Non-inertial reference frame,Position (vector),0.631340202576357
8,Frame of reference,Motion,0.9025023479890378
9,Frame of reference,Position (vector),0.631340202576357
10,Displacement (vector),Physics,0.20835348243398452
11,Displacement (vector),Physical quantity,0.359415011411808
12,Displacement (vector),Position (vector),0.9303960880072628
13,Displacement (vector),Frame of reference,0.17011163429569587
14,Distance,Physics,0.20835348243398452
15,Distance,Physical quantity,0.359415011411808
16,Distance,Position (vector),0.9303960880072628
17,Distance,Frame of reference,0.17011163429569587
18,Speed,Motion,0.2850007414702225
19,Speed,Position (vector),0.5981117708618119
20,Speed,Displacement (vector),0.6910487494862909
21,Speed,Distance,0.1640152229522684
22,Velocity,Metre,0.07111695876500372
23,Velocity,Motion,0.5415014087934227
24,Velocity,Position (vector),0.5471615088995094
25,Velocity,Displacement (vector),0.4376642080079843
26,Velocity,Distance,0.10387630786977001
27,Acceleration,Motion,0.21660056351736906
28,Acceleration,Position (vector),0.3030432972366513
29,Acceleration,Speed,0.2433777896750742
30,Acceleration,Velocity,1.2786442049600646
31,Equations of motion,Motion,1.3537535219835568
32,Equations of motion,Distance,0.19476807725581874
33,Equations of motion,Velocity,0.3073663954230925
34,Le Sage's theory of gravitation,Tension (physics),0.10042478260035813
35,Le Sage's theory of gravitation,Metre,0.06275025773382682
36,Le Sage's theory of gravitation,Kilogram,0.779410318014646
37,Le Sage's theory of gravitation,Motion,0.5308837341111987
38,Le Sage's theory of gravitation,Position (vector),0.11141297692523948
39,Le Sage's theory of gravitation,Distance,0.09165556576744413
40,Le Sage's theory of gravitation,Velocity,0.5785720384434682
41,Gravity,Motion,1.805004695978076
42,Gravity of Earth,Motion,1.805004695978076
43,Mass,Kilogram,2.9444389791664403
44,Gravitational acceleration,Motion,0.9025023479890378
45,Gravitational acceleration,Gravity,0.26259852480479057
46,Gravitational acceleration,Mass,0.9005167194425981
