,concept,type,concept_list,freq_list
0,Hardness,0,,
1,Hertz,0,,
2,Electrical polarity,0,,
3,Stiffness,0,,
4,Tangential and normal components,0,,
5,Friction,0,,
6,Virtual image,0,,
7,Ohm,0,,
8,Joule,0,,
9,Real image,0,,
10,Crystallinity,0,,
11,Gravitational constant,0,,
12,Angle of incidence,0,,
13,Kilogram,0,,
14,Coulomb,0,,
15,Physical quantity,0,,
16,Temperature,0,,
17,Planet,0,,
18,Interference (wave propagation),1,Wave|Displacement (vector)|Direction (geometry)|Crest (physics)|Work (physics)|Mirror image,15|10|4|18|1|1
19,Electromotive force,1,Voltage|Force|Electromotive force|Potential energy|Electric charge,4|1|3|3|1
20,Inelastic collision,1,Energy|Collision|Deformation (engineering)|Force|Physics|Work (physics)|Laser|Electric current|Field (physics)|Metre|Optical microscope|Electron,24|4|1|2|5|4|1|2|2|1|1|1
21,Optical microscope,1,Telescope|Distance|Work (physics)|Optical microscope|Magnification|Light|Length|Ray (optics),2|1|1|2|2|1|1|2
22,Insulator (electricity),1,Electrical conductor|Insulator (electricity)|Plasticity (physics)|Electron|Energy level|Energy|Distance|Color|Force|Crystallinity|Electric field|Direction (geometry)|Electric current|Temperature|Position (vector)|Electric charge|Field (physics)|Voltage,4|15|1|26|18|22|1|1|1|1|3|1|2|4|1|1|1|1
23,Position (vector),1,Position (vector)|Length|Direction (geometry),10|1|7
24,Snell's law,1,Refraction|Angle of incidence|Light|Snell's law|Wavelength|Ray (optics),21|7|7|4|1|12
25,Geometrical optics,1,Light|Hardness|Ray (optics)|Wave|Crest (physics)|Geometrical optics|Telescope|Optical microscope|Work (physics)|Distance|Reflection (physics)|Physics|Direction (geometry)|Mirror image|Sound|Angle of incidence|Specular reflection|Speed|Refraction|Snell's law|Wavelength|Plane mirror|Curved mirror|Real image|Virtual image|Length|Position (vector)|Magnification|Power (physics)|Plasticity (physics)|Laser,165|1|183|10|1|34|2|2|3|42|72|2|14|1|1|27|16|19|56|8|1|12|28|8|10|9|16|12|1|1|2
26,Huygens–Fresnel principle,1,Wave|Huygens–Fresnel principle|Light,4|2|1
27,Elastic collision,1,Elasticity (physics)|Energy|Collision,4|14|4
28,Electrical resistance and conductance,1,Electric charge|Electrical conductor|Optical microscope|Electron|Collision|Energy|Electrical |Electrical resistance and conductance|Ohm|Light|Electric current|Temperature|Potential energy|Power (physics)|Series and parallel circuits|Ammeter|Direction (geometry)|Position (vector)|Voltage|Electromotive force,6|6|1|5|2|12|32|32|6|4|26|1|3|1|12|2|2|1|13|7
29,Acceleration,1,Velocity|Euclidean vector|Motion|Direction (geometry)|Position (vector)|Acceleration|Speed|Work (physics),13|2|3|4|6|2|3|1
30,Total internal reflection,1,Angle of incidence|Refraction|Ray (optics)|Reflection (physics)|Light|Geometrical optics|Snell's law,8|7|3|9|3|2|3
31,Magnetic field,1,Magnet|Field (physics)|Force|Electron|Direction (geometry)|Plasticity (physics)|Electric field,19|13|1|3|5|2|1
32,Direction (geometry),1,Euclidean vector|Direction (geometry)|Compass,10|10|2
33,Refractive index,1,Light|Speed|Refraction,19|15|11
34,Energy,1,Mechanical energy|Force|Work (physics)|Friction|Electrical |Electrical resistance and conductance|Kinetic energy|Position (vector)|Energy|Potential energy|Gravitational field|Distance|Mass|Elasticity (physics),5|14|23|5|1|1|3|2|19|10|2|1|2|2
35,Equations of motion,1,Motion|Work (physics)|Distance|Velocity|Force|Friction|Newton's laws of motion|Equations of motion|Free fall|Projectile motion|Gravity,6|1|1|3|2|1|1|1|1|1|1
36,Electromagnetic spectrum,1,Field (physics)|Light|Physics|Electromagnetic radiation|Reflection (physics)|Electromagnetic spectrum|Color|Wavelength|Wave|Ray (optics),1|7|2|3|1|2|1|11|3|1
37,Specular reflection,1,Specular reflection|Angle of incidence|Reflection (physics)|Ray (optics)|Wave|Light,4|6|10|4|2|2
38,Capacitance,1,Capacitance|Capacitor|Electrical |Electrical resistance and conductance|Frequency,6|6|1|1|8
39,Color,1,Light|Electromagnetic radiation|Wave|Amplitude|Frequency|Wavelength|Velocity|Speed|Color|Refraction|Work (physics)|Hardness|Pigment|Electron|Reflection (physics)|Plasticity (physics),64|3|3|1|21|9|3|6|51|4|1|1|9|1|7|1
40,Electromagnetic radiation,1,Electromagnetic radiation|Wave|Magnet|Direction (geometry)|Frequency|Light|Ray (optics)|Energy|Energy level|Photoelectric effect|Electric charge|Electric field|Field (physics)|Sound|Speed|Physics|Reflection (physics)|Electromagnetic spectrum|Color|Wavelength|Joule|Hertz|Metre|Pigment|Work (physics)|Plasticity (physics)|Interference (wave propagation),13|18|4|1|4|31|6|12|1|1|1|4|5|1|3|3|3|2|1|13|1|2|1|1|1|2|1
41,Gravitational field,1,Field (physics)|Mass|Force|Gravitational field,1|2|2|1
42,Plane mirror,1,Reflection (physics)|Plane mirror|Curved mirror|Light|Physics|Ray (optics)|Work (physics)|Real image|Virtual image|Distance|Specular reflection|Length|Position (vector)|Angle of incidence|Direction (geometry)|Geometrical optics|Magnification,16|12|26|25|1|41|2|5|7|8|6|4|3|2|1|2|4
43,Power (physics),1,Work (physics)|Energy|Length|Power (physics)|Field (physics),8|2|1|13|1
44,Newton's law of universal gravitation,1,Newton's laws of motion|Mass|Force|Direction (geometry)|Distance|Gravitational constant|Kilogram|Metre|Gravity|Length,1|17|12|1|3|1|7|1|3|1
45,Euclidean vector,1,Euclidean vector|Physics|Scalar (mathematics)|Direction (geometry)|Velocity|Speed|Force|Compass|Length|Displacement (vector)|Distance|Work (physics)|Position (vector)|Motion,137|7|9|54|4|1|6|3|10|18|1|2|7|1
46,Free fall,1,Free fall|Motion|Gravitational field|Force|Friction|Gravity|Mass|Electrical |Electrical resistance and conductance,3|5|3|2|3|1|2|1|1
47,Voltage,1,Electric charge|Force|Work (physics)|Electric current|Position (vector)|Potential energy|Gravity|Voltage|Electric potential|Electric potential energy|Joule|Coulomb|Distance|Electrical |Electrical resistance and conductance|Ohm|Electromotive force,14|6|8|1|2|13|2|36|2|1|1|1|3|10|10|1|3
48,Magnetism,1,Magnet|Force|Field (physics)|Physics|Electron|Direction (geometry)|Plasticity (physics)|Electric field|Position (vector)|Electric charge|Strength of materials|Compass|Electrical polarity|Work (physics)|Electric current|Collision|Light,87|4|56|1|5|20|2|2|1|6|1|10|1|1|1|1|1
49,Reflection (physics),1,Reflection (physics)|Light|Ray (optics)|Mirror image|Wave|Sound|Angle of incidence|Specular reflection,37|12|27|1|7|1|8|10
50,Electrostatics,1,Electrostatics|Electric charge|Position (vector)|Coulomb|Work (physics)|Energy|Plasticity (physics)|Force|Distance|Electrical conductor|Insulator (electricity)|Electron|Electroscope|Optical microscope|Light|Newton's law of universal gravitation|Mass|Gravitational constant|Field (physics)|Direction (geometry)|Electric field|Magnet|Euclidean vector|Length|Reflection (physics)|Strength of materials|Electric potential energy|Potential energy|Electric potential|Voltage|Joule|Power (physics)|Collision|Metre|Electric current|Wave|Sound|Speed|Capacitor|Electrical polarity|Capacitance|Dielectric|Electromotive force,17|319|65|18|6|5|2|60|18|12|10|23|9|1|2|2|2|1|31|20|44|1|3|1|1|4|3|4|3|24|1|3|1|1|6|1|3|2|29|1|11|12|1
51,Telescope,1,Telescope|Light|Planet|Reflection (physics)|Refraction|Length|Ray (optics)|Plane mirror|Direction (geometry)|Geometrical optics|Metre,14|6|2|4|4|2|3|1|1|1|1
52,Ohmmeter,1,Ohmmeter|Electrical |Electrical resistance and conductance|Ammeter|Work (physics)|Voltage|Electric current|Ohm|Power (physics),7|4|4|1|1|4|3|1|1
53,Mechanical energy,1,Energy level|Energy|Potential energy|Mechanical energy|Force|Gravitational field|Gravity|Electrical |Electrical resistance and conductance|Velocity|Free fall|Mass|Friction|Work (physics)|Tension (physics),1|11|4|14|10|1|2|2|2|3|1|1|5|2|1
54,Hooke's law,1,Deformation (engineering)|Force|Compression (physics)|Tension (physics)|Direction (geometry)|Hooke's law|Elasticity (physics)|Metre,1|6|4|2|1|4|1|1
55,Electric potential,1,Electric potential|Electric potential energy|Electric charge|Potential energy|Position (vector)|Electric field|Energy|Field (physics)|Work (physics)|Voltage|Joule|Coulomb,2|2|14|3|4|4|1|1|4|4|1|1
56,Relative velocity,1,Velocity,4
57,Voltmeter,1,Light|Metre|Electric current|Ammeter|Voltage|Voltmeter|Ohmmeter|Electrical |Electrical resistance and conductance|Work (physics)|Ohm|Power (physics)|Electric charge,1|3|6|6|9|10|8|6|6|1|1|1|2
58,Newton's laws of motion,1,Motion|Force|Speed|Direction (geometry)|Velocity|Field (physics)|Newton's laws of motion|Friction|Distance|Electrical |Electrical resistance and conductance|Kilogram|Hardness|Mass|Gravity|Work (physics)|Position (vector)|Free fall|Sound|Tension (physics)|Physics|Magnet|Electrostatics|Euclidean vector|Free body diagram,13|158|1|22|9|1|1|40|2|1|1|5|1|6|15|3|4|1|1|5|1|1|1|2|2
59,Series and parallel circuits,1,Light|Voltmeter|Ammeter|Physics|Work (physics)|Plasticity (physics)|Series and parallel circuits|Electric charge,3|1|1|6|2|2|5|2
60,Kinetic energy,1,Energy|Motion|Kinetic energy|Velocity|Mass|Kilogram|Joule,15|2|1|4|1|3|1
61,Capacitor,1,Capacitance|Capacitor|Electrical |Electrical resistance and conductance|Frequency,6|6|1|1|8
62,Curved mirror,1,Reflection (physics)|Plane mirror|Curved mirror|Light|Physics|Ray (optics)|Work (physics)|Real image|Virtual image|Distance|Specular reflection|Length|Position (vector)|Angle of incidence|Direction (geometry)|Geometrical optics|Magnification,16|12|26|25|1|41|2|5|7|8|6|4|3|2|1|2|4
63,Free body diagram,1,Force|Free body diagram|Length|Euclidean vector|Direction (geometry)|Motion|Frame of reference|Position (vector)|Work (physics),14|3|2|6|8|1|1|3|1
64,Potential energy,1,Potential energy|Energy|Position (vector)|Electric potential energy|Joule|Mass|Kilogram|Force|Gravity,22|3|3|1|1|2|2|1|1
