,concept,type,index,hr_index,mc_index,score
0,Sonic boom,2,26.6,26.6,26.6,0.3974831740239266
1,Absorption spectroscopy,1,31.4.2,31.4.2,31.4.2,0.3684295010785702
2,Coulomb,2,17.2,17.2,17.2,0.4261856435863649
3,Magnet,2,8|8.2|8.3|8.3.1|8.3.2|8.3.3|8.4|8.4.1|18.2|18.3|18.5,8|18.2|18.3|18.5,8|18.2|18.3,0.697334083654112
4,Gravity,2,4|4.2|4.8,4.2,4.2,0.3362917747984613
5,Refraction,1,7.4,7.4,7.4,0.6470092723061865
6,Angle of incidence,0,,,,0.0
7,Electric potential energy,2,17.4,17.4,17.4,0.4855524287153501
8,Wavelength,2,6.2.2|6.4.5|14.3.2|27.2,6.2.2|6.4.5|14.3.2|27.2,6.2.2|14.3.2|27.2,0.279835339071544
9,Emission spectrum,1,31.4.1,31.4.1,31.4.1,0.5108564013055331
10,Motion (physics),2,3|3.6|3.6.2|3.6.3|3.9|3.9.1|3.12|5.4.1|5.4.2|6.3|12.3.2|12.3.4|18.5|21|21.2|21.2.1|21.2.2|21.2.3,3|5.4.1|5.4.2|6.3|12.3.2|12.3.4|18.5|21,3|5.4.1|5.4.2|6.3|12.3.2|12.3.4|18.5|21,0.23997178298806504
11,Potential energy,1,4.3,4.3,4.3,0.5793648784626374
12,Energy level,2,31.2.1,31.2.1,31.2.1,0.6544666799429745
13,Inertial frame of reference,3,3.2.1|21.5|21.5.2,,,0.0
14,Plasticity (physics),2,22.3|22.3.1,22.3.1,22.3.1,0.48455082487220263
15,Real image,0,,,,0.0
16,Velocity,2,3.4|3.4.1|3.6.2|5.4|14.4|21.5.4,3.4|3.6.2|5.4|14.4|21.5.4,3.4|3.6.2|21.5.4,0.3236772020734193
17,Light,2,7.2|24.3|25.2|25.2.1|25.3|29.4.2|31.2|31.2.2,7.2|24.3|25.2|25.3|29.4.2|31.2,7.2|24.3|25.2|29.4.2|31.2,0.40316187319191366
18,Newton's laws of motion,1,12.3,12.3,12.3,0.5235096856093376
19,Motion graphs and derivatives,2,6.3|21.2.3,6.3|21.2.3,6.3|21.2.3,0.2375813841319749
20,Relative velocity,1,21.5.4,21.5.4,21.5.4,0.12861810067568963
21,Frequency,2,6.2.4|14.3.3,6.2.4|14.3.3,14.3.3,0.3937008962438048
22,Electric potential,1,17.4.1,17.4.1,17.4.1,0.6319810109633979
23,Hooke's law,1,22.2.1,22.2.1,22.2.1,0.14102943485112446
24,Mass,2,4.1.1|12.4,4.1.1|12.4,4.1.1|12.4,0.6414892925406089
25,Mechanical energy,1,4.5|4.5.1,4.5.1,4.5.1,0.7819020818404732
26,Resonance (particle physics),1,16.4,16.4,16.4,0.12005874555652096
27,Amplitude,2,5.3.1|6.2.2|14.3.2,5.3.1|6.2.2|14.3.2,5.3.1|6.2.2|14.3.2,0.3397272817025164
28,Work (physics),1,23.2,23.2,23.2,0.303713565487366
29,Speed,2,3.4|3.4.1|5.3.2|6.2.5|14.3.4|15.3,3.4|5.3.2|6.2.5|14.3.4|15.3,3.4|5.3.2|6.2.5|14.3.4,0.32343936831516074
30,Crystallinity,0,,,,0.0
31,Gravitational acceleration,1,4.2,4.2,4.2,0.25386025712238836
32,Diffraction,1,26.5,26.5,26.5,0.4070821130725283
33,Transverse wave,1,6.2,6.2,6.2,0.4514550101077959
34,Electroscope,1,9.6.1,9.6.1,9.6.1,0.5836570695287633
35,Strength of materials,2,22.4,22.4,22.4,0.2557435393870344
36,Torque,1,12.6.1,12.6.1,12.6.1,0.34828134623558143
37,Photoelectric effect,1,31.3,31.3,31.3,0.6938867731493116
38,Sound,2,14.5|15|15.2|15.3|15.4.1|16.5|24.2,14.5|15|16.5|24.2,14.5|15|16.5,0.6434034862164862
39,Elasticity (physics),2,21.4.1|22.3|22.3.1,21.4.1|22.3.1,22.3.1,0.31930682638219476
40,Laser,1,31.5,31.5,31.5,0.7079404254546131
41,Electric field,2,17.3|17.3.1|17.5.4,17.3|17.5.4,17.3|17.5.4,0.35605141719509775
42,Sound intensity,1,15.4.1,15.4.1,15.4.1,0.3861729714610541
43,Dielectric,1,17.5.2,17.5.2,17.5.2,0.33920964813943333
44,Coulomb's law,2,17.2,17.2,17.2,0.6246435816560926
45,Doppler effect,2,24|24.2|24.2.1|24.3,24,24,0.5941022392925062
46,Standing wave,1,6.4.3,6.4.3,6.4.3,0.6142971961023536
47,Force,1,12.2|12.2.1,12.2,12.2,0.707524155714119
48,Refracting telescope,1,13.5.1,13.5.1,13.5.1,0.464344220199043
49,Telescope,1,13.5,13.5,13.5,0.5824289095398775
50,Le Sage's theory of gravitation,2,4|4.2|4.8,4,4,0.19261675784179322
51,Hardness,0,,,,0.0
52,Newton's law of universal gravitation,1,12.4.1,12.4.1,12.4.1,0.4363975449304878
53,Intensity (physics),2,15.4.1,15.4.1,15.4.1,0.3029163493580238
