,Unnamed: 0,Unnamed: 0.1,concept,type,index,hr_index,mc_index,score,single_index,single_score
19,19,19,Relative velocity,1,21.5.4,21.5.4,21.5.4,0.08389092231778478,21.5.4,0.08389092231778478
55,55,55,Elastic collision,1,21.4.1,21.4.1,21.4.1,0.08778304264649864,21.4.1,0.08778304264649864
56,56,56,Position (vector),1,3.2.2,3.2.2,3.2.2,0.1026193902943658,3.2.2,0.1026193902943658
22,22,22,Hooke's law,1,22.2.1,22.2.1,22.2.1,0.10791319204674288,22.2.1,0.10791319204674288
25,25,25,Resonance (particle physics),1,16.4,16.4,16.4,0.12099238745903715,16.4,0.12099238745903715
89,89,89,Capacitance,1,28.4.1,28.4.1,28.4.1,0.1565544044241805,28.4.1,0.1565544044241805
101,101,101,Direction (geometry),1,11.4,11.4,11.4,0.1886005702909802,11.4,0.1886005702909802
132,132,132,Musical tone,1,15.2.3,15.2.3,15.2.3,0.18918742379524506,15.2.3,0.18918742379524506
141,141,141,Series and parallel circuits,1,10.3.3|10.3.4,10.3.4,10.3.4,0.19312390171597488,10.3.4,0.19312390171597488
108,108,108,Equations of motion,1,3.9|21.2.2,3.9|21.2.2,3.9|21.2.2,0.2072976540231284,21.2.2,0.19363213004334429
149,149,149,Scalar multiplication,1,11.6.3,11.6.3,11.6.3,0.19828559631353795,11.6.3,0.19828559631353795
27,27,27,Work (physics),1,23.2,23.2,23.2,0.24204063528532044,23.2,0.24204063528532044
30,30,30,Gravitational acceleration,1,4.2,4.2,4.2,0.2429358984254317,4.2,0.2429358984254317
123,123,123,Interference (wave propagation),1,26.4,26.4,26.4,0.24781066528923945,26.4,0.24781066528923945
62,62,62,Insulator (electricity),1,20.2.2,20.2.2,20.2.2,0.25039493102618443,20.2.2,0.25039493102618443
116,116,116,Power (physics),1,23.4,23.4,23.4,0.2543931399929088,23.4,0.2543931399929088
41,41,41,Sound intensity,1,15.4.1,15.4.1,15.4.1,0.30156975973986044,15.4.1,0.30156975973986044
119,119,119,Free fall,1,4.2.2,4.2.2,4.2.2,0.3023695646043987,4.2.2,0.3023695646043987
137,137,137,Capacitor,1,28.4.1,28.4.1,28.4.1,0.3069581075527299,28.4.1,0.3069581075527299
71,71,71,Huygens–Fresnel principle,1,26.3,26.3,26.3,0.3089628839096904,26.3,0.3089628839096904
64,64,64,Inelastic collision,1,21.4.2,21.4.2,21.4.2,0.3090480603775336,21.4.2,0.3090480603775336
42,42,42,Dielectric,1,17.5.2,17.5.2,17.5.2,0.3317555544028268,17.5.2,0.3317555544028268
35,35,35,Torque,1,12.6.1,12.6.1,12.6.1,0.3349015814336451,12.6.1,0.3349015814336451
31,31,31,Diffraction,1,26.5,26.5,26.5,0.34198899060051885,26.5,0.34198899060051885
127,127,127,Acceleration,1,3.5,3.5,3.5,0.3446472232711908,3.5,0.3446472232711908
66,66,66,Electromotive force,1,10.2.5,10.2.5,10.2.5,0.3638443176965653,10.2.5,0.3638443176965653
59,59,59,Geometrical optics,1,7|13,7|13,7|13,0.36651742892345374,7,0.364394734984031
51,51,51,Newton's law of universal gravitation,1,12.4.1,12.4.1,12.4.1,0.3655028027722734,12.4.1,0.3655028027722734
144,144,144,Physics,1,1,1,1,0.3665230336909819,1,0.3665230336909819
142,142,142,Kinetic energy,1,4.4,4.4,4.4,0.3745748045851949,4.4,0.3745748045851949
105,105,105,Electrostatics,1,9|17,9|17,17,0.38017702564054734,17,0.38017702564054734
57,57,57,Optical microscope,1,13.6,13.6,13.6,0.3812935364563776,13.6,0.3812935364563776
1,1,1,Absorption spectroscopy,1,31.4.2,31.4.2,31.4.2,0.3864066007043191,31.4.2,0.3864066007043191
72,72,72,Color,1,25,25,25,0.3935707054197107,25,0.3935707054197107
140,140,140,Voltmeter,1,10.5.1,10.5.1,10.5.1,0.4002894038098661,10.5.1,0.4002894038098661
147,147,147,Ammeter,1,10.5.2,10.5.2,10.5.2,0.40677013165609,10.5.2,0.40677013165609
60,60,60,Snell's law,1,7.4.2,7.4.2,7.4.2,0.4177131937059965,7.4.2,0.4177131937059965
134,134,134,Ohm's law,1,10.2.4|19.2,10.2.4|19.2,10.2.4|19.2,0.4188053612059193,19.2,0.41900586488889424
126,126,126,Electrical resistance and conductance,1,10.4|19.3,10.4|19.3,10.4|19.3,0.4473296948468511,19.3,0.4201969337039448
146,146,146,Electric current,1,10.3|10.3.2,10.3,10.3,0.4222678057048652,10.3,0.4222678057048652
90,90,90,Specular reflection,1,7.3.2,7.3.2,7.3.2,0.42641285980482,7.3.2,0.42641285980482
74,74,74,Voltage,1,10.2|10.2.1,10.2,10.2,0.4329123603794929,10.2,0.4329123603794929
118,118,118,Euclidean vector,1,11,11,11,0.4383511891600596,11,0.4383511891600596
83,83,83,Gravitational field,1,4.2.1,4.2.1,4.2.1,0.4460215084076111,4.2.1,0.4460215084076111
131,131,131,Ohmmeter,1,10.5.3,10.5.3,10.5.3,0.4504113856209235,10.5.3,0.4504113856209235
148,148,148,Magnification,1,7.5.8,7.5.8,7.5.8,0.4507019797697617,7.5.8,0.4507019797697617
32,32,32,Transverse wave,1,6|6.2,6.2,6.2,0.4583480218039476,6.2,0.4583480218039476
93,93,93,Electromagnetic spectrum,1,30.4,30.4,30.4,0.4638336078754202,30.4,0.4638336078754202
33,33,33,Electroscope,1,9.6.1,9.6.1,9.6.1,0.4651671853933705,9.6.1,0.4651671853933705
133,133,133,Frame of reference,1,3.2.1|21.5|21.5.2,3.2.1|21.5,21.5,0.4694020672258166,21.5,0.4694020672258166
9,9,9,Emission spectrum,1,31.4.1,31.4.1,31.4.1,0.482354022872985,31.4.1,0.482354022872985
145,145,145,Free body diagram,1,12.2.5,12.2.5,12.2.5,0.4880078707054221,12.2.5,0.4880078707054221
10,10,10,Potential energy,1,4.3,4.3,4.3,0.4903736257517808,4.3,0.4903736257517808
99,99,99,Refractive index,1,7.4.1,7.4.1,7.4.1,0.4943516743776213,7.4.1,0.4943516743776213
47,47,47,Refracting telescope,1,13.5.1,13.5.1,13.5.1,0.4989650352013305,13.5.1,0.4989650352013305
17,17,17,Newton's laws of motion,1,12.3,12.3,12.3,0.5059590028365457,12.3,0.5059590028365457
151,151,151,Total internal reflection,1,7.6.1,7.6.1,7.6.1,0.5241653786385257,7.6.1,0.5241653786385257
44,44,44,Doppler effect,1,24,24,24,0.5327233763145124,24,0.5327233763145124
82,82,82,Plane mirror,1,7.5.2,7.5.2,7.5.2,0.5510807527481596,7.5.2,0.5510807527481596
48,48,48,Telescope,1,13.5,13.5,13.5,0.5615851440804083,13.5,0.5615851440804083
21,21,21,Electric potential,1,17.4.1,17.4.1,17.4.1,0.5674378176420617,17.4.1,0.5674378176420617
87,87,87,Electromagnetic radiation,1,30,30,30,0.5729119838238569,30,0.5729119838238569
5,5,5,Refraction,1,7.4,7.4,7.4,0.5838516033800529,7.4,0.5838516033800529
45,45,45,Standing wave,1,6.4.3,6.4.3,6.4.3,0.6000951686373576,6.4.3,0.6000951686373576
135,135,135,Pitch (music),1,15.2.1,15.2.1,15.2.1,0.6086995115634384,15.2.1,0.6086995115634384
73,73,73,Magnetic field,1,8.2,8.2,8.2,0.6286939018101905,8.2,0.6286939018101905
117,117,117,Reflection (physics),1,7.3,7.3,7.3,0.6434807912287603,7.3,0.6434807912287603
46,46,46,Force,1,12.2|12.2.1,12.2,12.2,0.6678575578935112,12.2,0.6678575578935112
107,107,107,Energy,1,23.3,23.3,23.3,0.668762184747985,23.3,0.668762184747985
143,143,143,Curved mirror,1,7.5.4|7.5.5|7.5.6,7.5.4|7.5.6,7.5.4|7.5.6,0.6687962217671587,7.5.4|7.5.6,0.6687962217671587
39,39,39,Laser,1,31.5,31.5,31.5,0.6749899024943429,31.5,0.6749899024943429
85,85,85,Magnetism,1,8,8,8,0.6828421840175332,8,0.6828421840175332
36,36,36,Photoelectric effect,1,31.3,31.3,31.3,0.6864428645954151,31.3,0.6864428645954151
24,24,24,Mechanical energy,1,4.5|4.5.1,4.5.1,4.5.1,0.7406989477754005,4.5.1,0.7406989477754005
