,Unnamed: 0,Unnamed: 0.1,concept,type,index,hr_index,mc_index,score,single_index,single_score,first_index,first_score
79,79,79,Metre,2,10.5.4,10.5.4,10.5.4,0.041698969470070124,10.5.4,0.041698969470070124,10.5.4,0.041698969470070124
115,115,115,Projectile motion,2,21.2|21.2.3,21.2.3,21.2.3,0.11728308182335773,21.2.3,0.11728308182335773,21.2.3,0.11728308182335773
129,129,129,Length,2,5.3.1,5.3.1,5.3.1,0.11924469381737204,5.3.1,0.11924469381737204,5.3.1,0.11924469381737204
130,130,130,Gravity of Earth,2,4|4.2,4.2,4.2,0.14015444857457854,4.2,0.14015444857457854,4.2,0.14015444857457854
88,88,88,Subtractive color,2,25.3.2,25.3.2,25.3.2,0.14331268474918304,25.3.2,0.14331268474918304,25.3.2,0.14331268474918304
150,150,150,Compression (physics),2,14.3.1,14.3.1,14.3.1,0.15446332107540608,14.3.1,0.15446332107540608,14.3.1,0.15446332107540608
49,49,49,Le Sage's theory of gravitation,2,4|4.2,4,4,0.17415397172169195,4,0.17415397172169195,4,0.17415397172169195
109,109,109,Dispersion (optics),2,25.2.1,25.2.1,25.2.1,0.1790560100675121,25.2.1,0.1790560100675121,25.2.1,0.1790560100675121
67,67,67,Rarefaction,2,14.3.1,14.3.1,14.3.1,0.1883101816140791,14.3.1,0.1883101816140791,14.3.1,0.1883101816140791
70,70,70,Fracture,2,22.3|22.3.2,22.3,22.3,0.20613871593838407,22.3,0.20613871593838407,22.3,0.20613871593838407
111,111,111,Fatigue (material),2,22.3.2,22.3.2,22.3.2,0.21402996065843333,22.3.2,0.21402996065843333,22.3.2,0.21402996065843333
91,91,91,Deformation (engineering),2,22.2,22.2,22.2,0.22132962129042627,22.2,0.22132962129042627,22.2,0.22132962129042627
54,54,54,Scattering,2,31.2,31.2,31.2,0.2243139660113573,31.2,0.2243139660113573,31.2,0.2243139660113573
34,34,34,Strength of materials,2,22.4,22.4,22.4,0.2349503967222089,22.4,0.2349503967222089,22.4,0.2349503967222089
76,76,76,Shock wave,2,26.6,26.6,26.6,0.2399802903911013,26.6,0.2399802903911013,26.6,0.2399802903911013
18,18,18,Motion graphs and derivatives,2,4.6|5.4|6.3|14.4|21.2.3,4.6|5.4|6.3|14.4|21.2.3,14.4|21.2.3,0.1848626335462132,14.4,0.2435419141848808,21.2.3,0.21595980614012866
8,8,8,Wavelength,2,6.2.2|6.4.5|14.3.2|27.2,6.2.2|6.4.5|14.3.2|27.2,6.2.2|14.3.2|27.2,0.2680097565951617,27.2,0.25833810096922616,27.2,0.25833810096922616
138,138,138,Resultant force,2,12.2.6,12.2.6,12.2.6,0.26093942946863224,12.2.6,0.26093942946863224,12.2.6,0.26093942946863224
38,38,38,Elasticity (physics),2,21.4.1|22.3|22.3.1,21.4.1|22.3.1,22.3.1,0.27317662341994337,22.3.1,0.27317662341994337,22.3.1,0.27317662341994337
77,77,77,Distance,2,3.3|3.3.2,3.3,3.3,0.2761797991157612,3.3,0.2761797991157612,3.3,0.2761797991157612
97,97,97,Pigment,2,25.4|25.4.3,25.4.3,25.4.3,0.2839378009009477,25.4.3,0.2839378009009477,25.4.3,0.2839378009009477
120,120,120,Electrical conductor,2,9.6|19.2.2|20.2.3|20.4.1,9.6|19.2.2|20.2.3|20.4.1,19.2.2|20.2.3,0.2751424338845262,19.2.2,0.2889248250028433,19.2.2,0.2889248250028433
4,4,4,Gravity,2,4|4.2,4.2,4.2,0.29668340289751993,4.2,0.29668340289751993,4.2,0.29668340289751993
52,52,52,Intensity (physics),2,15.4.1,15.4.1,15.4.1,0.2968781015717413,15.4.1,0.2968781015717413,15.4.1,0.2968781015717413
94,94,94,Displacement (vector),2,3.3|3.3.2|14.4,3.3|14.4,3.3|14.4,0.3197777678753345,3.3,0.2989567183109589,3.3,0.2989567183109589
40,40,40,Electric field,2,17.3|17.3.1|17.5.4,17.3|17.5.4,17.3|17.5.4,0.31582942827748445,17.3|17.5.4,0.31582942827748445,17.3|17.5.4,0.31582942827748445
103,103,103,Scalar (mathematics),2,11.2|11.6.3,11.2|11.6.3,11.2|11.6.3,0.3247156044195587,11.2|11.6.3,0.3247156044195587,11.2|11.6.3,0.3247156044195587
125,125,125,Crest (physics),2,6.2.1,6.2.1,6.2.1,0.3259502591982288,6.2.1,0.3259502591982288,6.2.1,0.3259502591982288
26,26,26,Amplitude,2,5.3.1|6.2.2|14.3.2,5.3.1|6.2.2|14.3.2,5.3.1|6.2.2|14.3.2,0.3494124401131116,6.2.2,0.33946204634157656,5.3.1,0.25213544423831696
139,139,139,Motion,2,3|3.6|3.6.2|3.6.3|3.9|3.9.1|5.4.1|5.4.2|6.3|12.3.2|12.3.4|18.5|21|21.2|21.2.1|21.2.2|21.2.3,3|5.4.1|5.4.2|6.3|12.3.2|12.3.4|18.5|21,3|5.4.1|5.4.2|6.3|12.3.2|12.3.4|18.5|21,0.2270115383247856,3,0.34230035430526506,3,0.34230035430526506
