,Unnamed: 0,type,concept,rank,score,match_concept_list,match_freq_list,first_concept_list,first_freq_list,theta_match_concepts,theta_match_freq,theta_first_concepts,theta_first_freq,rank_match_concepts,rank_match_freq,rank_first_concepts,rank_first_freq
0,86,3,Tension (physics),1.0,0.3800293612187355,Force|Direction (geometry)|Gravity|Electron|Magnet|Euclidean vector|Newton's law of universal gravitation|Physics|Mass|Work (physics)|Electrostatics|Electric charge|Coulomb|Power (physics)|Friction|Displacement (vector)|Motion|Length|Free body diagram|Frame of reference|Position (vector),109|15|7|1|8|8|1|3|4|2|3|4|2|1|7|1|3|4|4|1|3,Force|Direction (geometry)|Gravity|Electron|Magnet|Euclidean vector|Newton's law of universal gravitation|Physics|Mass|Work (physics)|Electrostatics|Electric charge|Coulomb|Power (physics)|Friction|Displacement (vector)|Motion|Length|Free body diagram|Frame of reference|Position (vector),109|15|7|1|8|8|1|3|4|2|3|4|2|1|7|1|3|4|4|1|3,Force|Direction (geometry)|Gravity|Electron|Magnet|Euclidean vector|Newton's law of universal gravitation|Physics|Mass|Work (physics)|Electrostatics|Electric charge|Coulomb|Power (physics)|Friction|Displacement (vector)|Motion|Length|Free body diagram|Frame of reference|Position (vector),109|15|7|1|8|8|1|3|4|2|3|4|2|1|7|1|3|4|4|1|3,Force|Direction (geometry)|Gravity|Electron|Magnet|Euclidean vector|Newton's law of universal gravitation|Physics|Mass|Work (physics)|Electrostatics|Electric charge|Coulomb|Power (physics)|Friction|Displacement (vector)|Motion|Length|Free body diagram|Frame of reference|Position (vector),109|15|7|1|8|8|1|3|4|2|3|4|2|1|7|1|3|4|4|1|3,,,,
1,81,1,Physics,1.0,0.3665391021307541,Physics|Work (physics)|Field (physics)|Wave|Energy level,7|1|1|2|1,Physics|Work (physics)|Field (physics)|Wave|Energy level,7|1|1|2|1,Physics|Work (physics)|Field (physics)|Wave|Energy level,7|1|1|2|1,Physics|Work (physics)|Field (physics)|Wave|Energy level,7|1|1|2|1,,,,
2,25,2,Length,2.0,0.11924469381737204,Amplitude|Displacement (vector)|Position (vector)|Length,4|2|1|2,Amplitude|Displacement (vector)|Position (vector)|Length,4|2|1|2,,,,,,,,
3,3,0,Physical quantity,2.0,0.0,,,,,,,,,,,,
4,7,0,Temperature,2.0,0.0,,,,,,,,,,,,
5,19,2,Metre,2.0,0.041698969470070124,Metre|Ammeter|Electrical |Electrical resistance and conductance|Electric charge|Voltmeter,1|1|2|2|2|1,Metre|Ammeter|Electrical |Electrical resistance and conductance|Electric charge|Voltmeter,1|1|2|2|2|1,,,,,,,,
6,12,0,Hertz,3.0,0.0,,,,,,,,,,,,
7,9,0,Kilogram,4.0,0.0,,,,,,,,,,,,
8,72,2,Motion,5.0,0.34230035430526506,Position (vector)|Displacement (vector)|Speed|Velocity|Motion|Direction (geometry)|Frame of reference|Length|Euclidean vector|Physics|Distance|Scalar (mathematics)|Physical quantity|Acceleration|Work (physics)|Metre|Force|Friction|Newton's laws of motion,64|28|15|68|35|29|8|1|9|2|17|7|2|2|3|6|2|1|1,Position (vector)|Displacement (vector)|Speed|Velocity|Motion|Direction (geometry)|Frame of reference|Length|Euclidean vector|Physics|Distance|Scalar (mathematics)|Physical quantity|Acceleration|Work (physics)|Metre|Force|Friction|Newton's laws of motion,64|28|15|68|35|29|8|1|9|2|17|7|2|2|3|6|2|1|1,Position (vector)|Displacement (vector)|Speed|Velocity|Motion|Direction (geometry)|Frame of reference|Length|Euclidean vector|Physics|Distance|Scalar (mathematics)|Physical quantity|Acceleration|Work (physics)|Metre|Force|Friction|Newton's laws of motion,64|28|15|68|35|29|8|1|9|2|17|7|2|2|3|6|2|1|1,Position (vector)|Displacement (vector)|Speed|Velocity|Motion|Direction (geometry)|Frame of reference|Length|Euclidean vector|Physics|Distance|Scalar (mathematics)|Physical quantity|Acceleration|Work (physics)|Metre|Force|Friction|Newton's laws of motion,64|28|15|68|35|29|8|1|9|2|17|7|2|2|3|6|2|1|1,Length|Physics|Physical quantity|Metre,1|2|2|6,Length|Physics|Physical quantity|Metre,1|2|2|6
9,22,1,Position (vector),6.0,0.1026193902943658,Position (vector)|Length|Direction (geometry),10|1|7,Position (vector)|Length|Direction (geometry),10|1|7,,,,,,,,
10,125,3,Inertial frame of reference,7.0,0.5417957285231702,Frame of reference|Direction (geometry)|Position (vector)|Motion|Inertial frame of reference|Velocity|Newton's laws of motion|Non-inertial reference frame|Force,4|1|1|1|2|1|1|2|1,Frame of reference|Direction (geometry)|Position (vector)|Motion|Inertial frame of reference|Velocity|Newton's laws of motion|Non-inertial reference frame|Force,4|1|1|1|2|1|1|2|1,Frame of reference|Direction (geometry)|Position (vector)|Motion|Inertial frame of reference|Velocity|Newton's laws of motion|Non-inertial reference frame|Force,4|1|1|1|2|1|1|2|1,Frame of reference|Direction (geometry)|Position (vector)|Motion|Inertial frame of reference|Velocity|Newton's laws of motion|Non-inertial reference frame|Force,4|1|1|1|2|1|1|2|1,Position (vector)|Motion,1|1,Position (vector)|Motion,1|1
11,108,3,Non-inertial reference frame,7.0,0.4539519981033954,Frame of reference|Direction (geometry)|Position (vector)|Motion|Inertial frame of reference|Velocity|Newton's laws of motion|Non-inertial reference frame|Force,4|1|1|1|2|1|1|2|1,Frame of reference|Direction (geometry)|Position (vector)|Motion|Inertial frame of reference|Velocity|Newton's laws of motion|Non-inertial reference frame|Force,4|1|1|1|2|1|1|2|1,Frame of reference|Direction (geometry)|Position (vector)|Motion|Inertial frame of reference|Velocity|Newton's laws of motion|Non-inertial reference frame|Force,4|1|1|1|2|1|1|2|1,Frame of reference|Direction (geometry)|Position (vector)|Motion|Inertial frame of reference|Velocity|Newton's laws of motion|Non-inertial reference frame|Force,4|1|1|1|2|1|1|2|1,Position (vector)|Motion,1|1,Position (vector)|Motion,1|1
