,type,concept,rank,score,match_index,first_index,rank_pos,match_concept_list,match_freq_list,first_concept_list,first_freq_list
0,0,Crystallinity,71.0,0.0,,,13.3.1,,,,
15,0,Ohm,56.0,0.0,,,10.4.1,,,,
14,0,Hardness,99.0,0.0,,,22.4.1,,,,
13,0,Electrical polarity,43.0,0.0,,,8.3.3,,,,
12,0,Hertz,3.0,0.0,,,2.3,,,,
11,0,Gravitational constant,68.0,0.0,,,12.4.1,,,,
10,0,Friction,16.0,0.0,,,4.2.2,,,,
9,0,Kilogram,4.0,0.0,,,2.4,,,,
8,0,Stiffness,99.0,0.0,,,22.4.1,,,,
7,0,Temperature,2.0,0.0,,,2.1,,,,
6,0,Planet,13.0,0.0,,,4.1.1,,,,
5,0,Real image,35.0,0.0,,,7.5.1,,,,
4,0,Virtual image,35.0,0.0,,,7.5.1,,,,
3,0,Physical quantity,2.0,0.0,,,2.1,,,,
2,0,Joule,87.0,0.0,,,19.5,,,,
1,0,Coulomb,47.0,0.0,,,9.3,,,,
16,0,Tangential and normal components,70.0,0.0,,,12.6.1,,,,
17,0,Angle of incidence,31.0,0.0,,,7.3.2,,,,
18,3,Phase velocity,60.0,0.01872122815538225,11,11,11,Euclidean vector|Physics|Scalar (mathematics)|Direction (geometry)|Velocity|Speed|Force|Compass|Length|Displacement (vector)|Distance|Work (physics)|Position (vector)|Motion,137|7|9|54|4|1|6|3|10|18|1|2|7|1,Euclidean vector|Physics|Scalar (mathematics)|Direction (geometry)|Velocity|Speed|Force|Compass|Length|Displacement (vector)|Distance|Work (physics)|Position (vector)|Motion,137|7|9|54|4|1|6|3|10|18|1|2|7|1
19,2,Metre,2.0,0.041698969470070124,10.5.4,10.5.4,2.1,Metre|Ammeter|Electrical |Electrical resistance and conductance|Electric charge|Voltmeter,1|1|2|2|2|1,Metre|Ammeter|Electrical |Electrical resistance and conductance|Electric charge|Voltmeter,1|1|2|2|2|1
20,1,Relative velocity,93.0,0.08389092231778478,21.5.4,21.5.4,21.5.4,Velocity,4,Velocity,4
21,1,Elastic collision,91.0,0.08778304264649864,21.4.1,21.4.1,21.4.1,Elasticity (physics)|Energy|Collision,4|14|4,Elasticity (physics)|Energy|Collision,4|14|4
22,1,Position (vector),6.0,0.1026193902943658,3.2.2,3.2.2,3.1,Position (vector)|Length|Direction (geometry),10|1|7,Position (vector)|Length|Direction (geometry),10|1|7
23,1,Hooke's law,95.0,0.10791319204674288,22.2.1,22.2.1,22.2.1,Deformation (engineering)|Force|Compression (physics)|Tension (physics)|Direction (geometry)|Hooke's law|Elasticity (physics)|Metre,1|6|4|2|1|4|1|1,Deformation (engineering)|Force|Compression (physics)|Tension (physics)|Direction (geometry)|Hooke's law|Elasticity (physics)|Metre,1|6|4|2|1|4|1|1
24,2,Projectile motion,89.0,0.11728308182335773,21.2.3,21.2.3,21.2.3,Projectile motion|Motion|Direction (geometry)|Position (vector)|Velocity|Motion graphs and derivatives,3|3|1|1|2|1,Projectile motion|Motion|Direction (geometry)|Position (vector)|Velocity|Motion graphs and derivatives,3|3|1|1|2|1
