,topic_a,topic_b,score
0,Coulomb's law,Voltage,7.748257521292721e-06
1,Coulomb's law,Series and parallel circuits,2.8367037362968423e-05
2,Newton's law of universal gravitation,Voltage,7.067074974208116e-05
3,Electric potential,Angle of incidence,8.729263572555265e-05
4,Scattering,Crest (physics),9.23607661608134e-05
5,Coulomb's law,Electric current,9.460356638485521e-05
6,Interference (wave propagation),Reflection (physics),0.00010431745706564485
7,Coulomb's law,Electrical resistance and conductance,0.00010480271172214139
8,Electron,Voltage,0.00010574697129003222
9,Electric potential,Crest (physics),0.00012388745213203766
10,Dispersion (optics),Electrical polarity,0.0001333071711098508
11,Coulomb's law,Gravitational field,0.00013860572199775418
12,Coulomb's law,Free fall,0.00013971379875072425
13,Diffraction,Electrical polarity,0.00016665974550901917
14,Electromagnetic spectrum,Planet,0.00017433374195721925
15,Interference (wave propagation),Electrical polarity,0.0002006719384700435
16,Photoelectric effect,Crest (physics),0.00020982931341388675
17,Electromagnetic radiation,Planet,0.00021191277668667006
18,Electric potential,Planet,0.00023088961847848643
19,Sonic boom,Electrical polarity,0.0002369379514465574
20,Shock wave,Electrical polarity,0.0002369379514465574
21,Newton's law of universal gravitation,Series and parallel circuits,0.00025873169456403655
22,Energy level,Crest (physics),0.00026249901961494337
23,Electromagnetic spectrum,Telescope,0.0002648909708583376
24,Electron,Crest (physics),0.0002700633193436645
25,Coulomb's law,Free body diagram,0.0002794275975014485
26,Electromagnetic spectrum,Magnification,0.00028584013333151536
27,Electromagnetic spectrum,Optical microscope,0.0003276924082403537
28,Electric potential,Refraction,0.0003325354975829636
29,Electric potential energy,Angle of incidence,0.00033258304686485034
30,Dispersion (optics),Potential energy,0.00033506398730813306
31,Electromagnetic spectrum,Electrical polarity,0.00038125906653246476
32,Electron,Series and parallel circuits,0.00038714875923543367
33,Electromagnetic spectrum,Standing wave,0.00039796795338089793
34,Diffraction,Potential energy,0.0004188947855475438
35,Electric potential energy,Crest (physics),0.00047200850284711155
36,Electron,Electrical polarity,0.00047315306739125694
37,Color,Electrical polarity,0.00047761992506152227
38,Interference (wave propagation),Potential energy,0.0005043835172919405
39,Photoelectric effect,Fracture,0.0005177948650302409
40,Electromagnetic spectrum,Plane mirror,0.0005198840564505326
41,Electromagnetic spectrum,Voltage,0.000558118590681455
42,Newton's law of universal gravitation,Electrical conductor,0.0005792913747023652
43,Shock wave,Potential energy,0.0005955371649953033
44,Sonic boom,Potential energy,0.0005955371649953033
45,Coulomb's law,Tension (physics),0.000607658788165007
46,Interference (wave propagation),Planet,0.0006341965815507636
47,Electromagnetic radiation,Telescope,0.0006748353365684445
48,Electromagnetic radiation,Magnification,0.0007282053516452304
49,Electric potential,Telescope,0.0007352670085884925
50,Electromagnetic spectrum,Virtual image,0.0007504930721178743
51,Newton's laws of motion,Voltage,0.000750647576911489
52,Dispersion (optics),Tension (physics),0.0007911292099577533
53,Electric potential,Magnification,0.0007934163217726149
54,Scattering,Standing wave,0.0008235429082599676
55,Electromagnetic radiation,Optical microscope,0.0008348280648798216
56,Photoelectric effect,Deformation (engineering),0.0008527191441158533
57,Newton's law of universal gravitation,Electric current,0.0008628656115674663
58,Electron,Electrical conductor,0.0008668127703863574
59,Electric potential energy,Planet,0.0008796844334551306
60,Resonance (particle physics),Compass,0.0008818631306391896
61,Electric potential,Optical microscope,0.0009095871254626426
62,Photoelectric effect,Hardness,0.0009456154086631155
63,Newton's law of universal gravitation,Electrical resistance and conductance,0.0009558905588841644
64,Electric potential,Compression (physics),0.0009608962621272662
65,Diffraction,Angle of incidence,0.0009695641366229535
66,Electromagnetic radiation,Electrical polarity,0.0009712943013856168
67,Subtractive color,Electrical polarity,0.0009748086887407842
68,Electromagnetic radiation,Standing wave,0.001013861804700317
69,Electric potential,Geometrical optics,0.0010417497782676587
70,Electric potential,Standing wave,0.001104653381156375
