,concept,substitution,wiki_terms
0,Sonic boom,,Sonic booms|Sonicboom|Sonic Boom
1,Absorption spectroscopy,,Absorption spectrum|Absorbtion spectroscopy|Absorption spectra|Crystal absorption spectra|Dark-line spectrum|Absorption spectrometry|Absorption Spectrum|Transmission spectroscopy
2,Coulomb,,Petacoulomb|Zettacoulomb|Exacoulomb|Picocoulomb|Teracoulomb|Attocoulomb|Femtocoulomb|Gigacoulomb|Kilocoulomb|Megacoulomb|Nanocoulomb|Yoctocoulomb|Yottacoulomb|Zeptocoulomb|Millicoulomb|Coulomb (unit)|Columb|Picocoulombs|Coloumb|Microcoulomb|Ampere-second
3,Magnet,,Magnet
4,Gravity,,Gravity
5,Refraction,,Refraction
6,Angle of incidence,,Glancing angle|Rigging angle|Incidence angle|Angle of Incidence|Grazing angle|Incident angle|Incident angles|Grazing ange|Grazing incidence|Angles of incidence
7,Electric potential energy,,Coulomb potential energy|Electric Potential Energy|Electrostatic energy|Electrical potential energy|Electrostatic potential energy|Coulomb energy
8,Wavelength,,Wave length|Wavelengths
9,Emission spectrum,,Energy spectrum|Emission spectra|Emission coefficient|Line-emission spectrum|Atomic Emission Spectrum|Emission spectroscopy|Emission spectrometry|Molecular radiation|Atomic Spectra|Molecular emission|Spectral emissions|Atomic spectrum|Emission (electromagnetic radiation)|Molecular band emission|Molecular spectra|Molecular Spectra|Energy spectra|Bright-line spectrum|Flame emmission spectrometer|Line spectrum|Emission Spectroscopy
11,Potential energy,,Potential Energy
12,Energy level,,Quantum energy level|Energy state|Quantum level|Quantum levels|Energy levels|Molecular energy state|Electronic state|Energy Level|Energy level (quantum mechanics)|Quantized electronic structure|Atomic energy level|Quantum energy|Quantum Energy|Energy State
13,Inertial frame of reference,,Inertial reference frame|Inertial reference frames|Inertial frame|Inertial frames|Inertial|Inertial frames of reference|Equivalence of inertial frames|Inertial Frame of Reference|Velocity Reference Frames|Inertial Reference Frame|Inertial space|Inertial system|Inertial observer
14,Plasticity (physics),added,Plasticity
15,Real image,,Real object
16,Velocity,,velocity
17,Light,,light
18,Newton's laws of motion,added,Newton’s first law|Newton’s First Law of Motion|Newton’s second law|Newton’s second law of motion|Newton’s third law|Newton’s third law of motion|Inertia|Law of inertia|Newton's Laws
19,Motion graphs and derivatives,,Position vs. time graph|Velocity vs. time graph|Displacement vs. time graph|D-t graph|V-t graph|Position vs. time curves|Motion graphs
20,Relative velocity,added,relative velocity
21,Frequency,,Wave period|Frequencies
22,Electric potential,,Electrical potential|Electrostatic potential|Electric scalar potential|Electrical scalar potential|Electrical potential difference|Electric Scalar Potential|Coulomb potential|Coulomb Potential|Electric Potential|Electrical Potential
23,Hooke's law,,Hooke's Law|Spring equation|Hookes law
24,Mass,,mass
25,Mechanical energy,,Conservation of mechanical energy|Mechanical Energy
26,Resonance (particle physics),added,Resonance
27,Amplitude,,Amplitudes
28,Work (physics),added,Work
29,Speed,,Speed
30,Crystallinity,,Crystalline|Crystaline
31,Gravitational acceleration,,Acceleration of free fall|Gravitational Acceleration|Gravitational acceleration of a ball|acceleration due to gravity
32,Diffraction,,Diffractions
33,Transverse wave,,Tranverse wave
34,Electroscope,,Electroscope
35,Strength of materials,,Mechanical strength|Materials strength|Mechanics of materials|Strength (material)|Stress-strain relations|Strength of Materials|Material strength|Resistance of materials
36,Torque,,Torque
37,Photoelectric effect,,PhotoElectricEffect|Photo electric effect
38,Sound,,Sound
39,Elasticity (physics),,Elasticity theory|Elastostatics|Elasticity (solid mechanics)|Elastic (solid mechanics)|Elasticity of materials|Elastic solid|Elastic body
40,Laser,,
41,Electric field,,Electrical field|Electric Field|Electric fields|Electrostatic field|Electric field strength|E-field|Electrostatic fields|E field|Electric field vector|Electric Field Strength|Electrical fields|Volts per metre
42,Sound intensity,,Sound intensity level|Acoustic intensity
43,Dielectric,,Dielectric
44,Coulomb's law,added,coulomb law
45,Doppler effect,,
