,concept,wiki_terms
0,Sonic boom,Sonic booms|Sonicboom|Sonic Boom|Sound boomCooper pair
1,Absorption spectroscopy,Absorption spectrum|Absorbtion spectroscopy|Absorption spectra|Crystal absorption spectra|Excitation wavelength|Dark-line spectrum|Absorption spectrometry|Absorption curve|Absorption Spectrum|Transmission spectroscopy|Absorption maxima|Absorption maximum
2,Coulomb,Petacoulomb|Zettacoulomb|Exacoulomb|Picocoulomb|Teracoulomb|Attocoulomb|Femtocoulomb|Gigacoulomb|Kilocoulomb|Megacoulomb|Nanocoulomb|Yoctocoulomb|Yottacoulomb|Zeptocoulomb|Millicoulomb|Coulomb (unit)|Columb|Picocoulombs|Q=it|Coloumb|Microcoulomb|Ampere-second
3,Magnet,Permanent magnet|Magnets|Magnetic material|10 uses of magnets|Bar magnet|Magnetic materials|Permanent magnets|Magnetic polarity|Magnetic Sweeper|MAGNETS|Horseshoe magnet|Ampere model|Ampère model|Horse shoe magnet|Magnetized material
4,Gravity,Gravity (old version)|Gravitational interaction|Gravitational force|Gravitational attraction|Gravitational|Gravitaiton|Gravitational theory|Theory of gravitation|Force of gravity|Theories of gravitation|Gravitational motion|Law of gravity|Fg (physics)|Gravitation (astronomy)|Gravitational pull|Laws of gravity|Gravitational physics|Theory of Gravitation|Acceleration of gravity|Vertical Circular Motion|Theory of gravity|Gravitate|Gravitates|Gravitated|Gravitating|Gravitationally|Gravity (astronomy)|Formulae of gravity|Gravity and motion|Apparent gravity|Law of Gravity|Laws of Gravity|Newtonian theory of gravitation|Physics/Gravity|Theory of Gravity|Gravitation
5,Refraction,Refracted|Refract|Refractive|Apparent depth|Refringence|Refracting|Refraction of waves|Light refraction|Refrection of light|Refractions|Light Refraction|Refraction of light|Optical surfaces|Refracts|Wave refraction
6,Angle of incidence,Glancing angle|Rigging angle|Incidence angle|Angle of Incidence|Grazing angle|Incident angle|Incident angles|Normal incidence|Grazing ange|Grazing incidence|Angles of incidence
7,Electric potential energy,Coulomb potential energy|Electric Potential Energy|Electrostatic energy|Electrical potential energy|Electrostatic potential energy|Coulomb energy
8,Wavelength,Wave length|Wavelengths|Subwavelength|Wavelenght|Vacuum wavelength|Wave lenght|Wavelength of light|Angular wavelength|Optical wavelength|Spatial period
9,Emission spectrum,Energy spectrum|Emission spectra|Emission coefficient|Line-emission spectrum|Atomic Emission Spectrum|Emission spectroscopy|Emission spectrometry|Molecular radiation|Atomic Spectra|Molecular emission|Spectral emissions|Atomic spectrum|Emission (electromagnetic radiation)|Molecular band emission|Molecular spectra|Molecular Spectra|Energy spectra|Bright-line spectrum|Flame emmission spectrometer|Line spectrum|Emission Spectroscopy|Emission (light)
10,Motion (physics),"Motion, local"
