,concept,key_terms
0,Sonic boom,sonicboom|sound boomcooper pair|sonic boom|sonic booms
1,Absorption spectroscopy,transmission spectroscopy|absorbtion spectroscopy|absorption spectrometry|absorption spectroscopy|crystal absorption spectra|dark-line spectrum|absorption spectrum|absorption spectra
2,Coulomb,millicoulomb|picocoulombs|picocoulomb|microcoulomb|zeptocoulomb|teracoulomb|coulomb|zettacoulomb|yottacoulomb|gigacoulomb|kilocoulomb|femtocoulomb|ampere-second|exacoulomb|coloumb|columb|megacoulomb|yoctocoulomb|petacoulomb|nanocoulomb|attocoulomb
3,Magnet,magnet
4,Gravity,gravity
5,Refraction,refraction
6,Angle of incidence,incident angle|angle of incidence|grazing ange|grazing angle|incidence angle|glancing angle|angles of incidence|grazing incidence|rigging angle|incident angles
7,Electric potential energy,coulomb potential energy|electrostatic potential energy|coulomb energy|electric potential energy|electrical potential energy|electrostatic energy
8,Wavelength,wave length|wavelengths|wavelength
9,Emission spectrum,molecular radiation|bright-line spectrum|atomic spectra|emission|molecular band emission|line spectrum|emission spectrometry|line-emission spectrum|molecular emission|energy spectra|atomic emission spectrum|emission spectroscopy|energy spectrum|spectral emissions|atomic spectrum|molecular spectra|emission spectra|emission coefficient|flame emmission spectrometer|emission spectrum
10,Motion (physics),motion
11,Potential energy,potential energy
12,Energy level,energy state|quantum level|energy level|quantized electronic structure|quantum energy|electronic state|quantum levels|atomic energy level|energy levels|molecular energy state|quantum energy level
13,Inertial frame of reference,inertial|inertial reference frame|inertial observer|inertial frame|inertial space|inertial frame of reference|inertial system|inertial frames of reference|equivalence of inertial frames|inertial frames|inertial reference frames|velocity reference frames
14,Plasticity (physics),plasticity
15,Real image,real object|real image
16,Velocity,velocity
17,Light,light
18,Newton's laws of motion,newton’s first law|newton’s first law of motion|newton's laws|newton’s third law of motion|inertia|law of inertia|newton’s second law of motion|newton's laws of motion|newton’s third law|newton’s second law
19,Motion graphs and derivatives,position vs. time curves|v-t graph|d-t graph|motion graphs and derivatives|displacement vs. time graph|position vs. time graph|motion graphs|velocity vs. time graph
20,Relative velocity,relative velocity
21,Frequency,frequency|wave period|frequencies
22,Electric potential,coulomb potential|electrical scalar potential|electrical potential|electric scalar potential|electrical potential difference|electric potential|electrostatic potential
23,Hooke's law,spring equation|hooke's law|hookes law
24,Mass,mass
25,Mechanical energy,conservation of mechanical energy|mechanical energy
26,Resonance (particle physics),resonance
27,Amplitude,amplitude|amplitudes
28,Work (physics),work
29,Speed,speed
30,Crystallinity,crystallinity|crystaline|crystalline
31,Gravitational acceleration,gravitational acceleration of a ball|gravitational acceleration|acceleration due to gravity|acceleration of free fall
32,Diffraction,diffractions|diffraction
33,Transverse wave,tranverse wave|transverse wave
34,Electroscope,electroscope
35,Strength of materials,strength|strength of materials|mechanical strength|resistance of materials|materials strength|material strength|mechanics of materials|stress-strain relations
36,Torque,torque
37,Photoelectric effect,photoelectric effect|photoelectriceffect|photo electric effect
38,Sound,sound
39,Elasticity (physics),elastic|elasticity|elasticity theory|elastic solid|elasticity of materials|elastic body|elastostatics
40,Laser,laser
41,Electric field,electric field vector|electrical field|electric field strength|electrostatic fields|volts per metre|electric fields|electric field|electrical fields|electrostatic field|e-field|e field
42,Sound intensity,sound intensity|sound intensity level|acoustic intensity
43,Dielectric,dielectric
44,Coulomb's law,coulomb law|coulomb's law
45,Doppler effect,doppler effect
46,Standing wave,standing-wave|stationary vibration|stationary waves|stationary wave|standing wave|standing waves
47,Force,force
48,Refracting telescope,refractor telescope|refracting telescope|galilean telescope|galileo telescope|kepler refractor|keplerian telescope
49,Telescope,telescope
50,Le Sage's theory of gravitation,le sages theory of gravitation|pushing gravity|kinetic theory of gravity|push gravity|lesage gravity|lesage|lesage's theory of gravitation|shadow gravity|le sage's theory of gravitation|gravity|mock gravity|le sage theory of gravitation
51,Hardness,hard|hardness
52,Newton's law of universal gravitation,newton's law of universal gravitation|newtonian gravitational field|newton's gravitational law|newton’s law of gravitation|law of gravitational attraction|newton's law of gravity|newton's law of gravitation|newton's theory of gravitation|law of universal gravity|universal gravity|newtonian gravity|newton’s law of universal gravitation|newtonian gravitation|law of universal gravitation|gravity inverse square law|newtons laws of gravity|law of gravitation|universal gravitation|newtonian attraction|newton theory of gravitation|newton's theory of gravity|newton law of gravitation|gravitational force|newtons law of gravity|newton law of gravity|gravitation law|newton's universal law of gravitation|newton laws of gravity
53,Intensity (physics),intensity
54,Wave,wave
55,Scattering,scatter|scattering
56,Elastic collision,elastic interaction|elastic collisions|why balls bounce?|elastic collision|elastic interactions
57,Position (vector),position
58,Optical microscope,light microscope|microscope|optical microscope|transmitted light microscope|binocular microscope|visible light microscope|optical microscopy|optical light microscope|compound microscope|optic microscopy
59,Virtual image,virtual object|virtual image
60,Geometrical optics,geometric optics|geometrical optics|optics|ray optics
61,Snell's law,snell’s law|angle of refraction|law of refraction|snell's law of refraction|snel's law|snell law|snell's law|snells' law|descartes law|snells law|laws of refraction
62,Normal force,normal force|normal reaction
63,Insulator (electricity),insulator
64,Creep (deformation),creep
65,Inelastic collision,inelastic collision|inelastic interaction
66,Contact force,contact force
67,Electromotive force,electro motive force|emf|electromotive force|electromagnetic force|em force|electro magnetic force
68,Rarefaction,rarefaction|rarefraction\
69,Electrical polarity,electrical polarity
70,Hertz,hertz|hz
71,Fracture,fracture
72,Huygens–Fresnel principle,huygens' wave theory|huygen principle|huygens–fresnel principle|huygens' construction|huygen's principle|huygens's principle|fresnel's principle|fresnel principle|huygens principle|huygens-fresnel principle|huygens' principle|huygens fresnel principle|huygens–fresnel equation|difraction losses|huygens'-fresnel principle|diffraction losses|huyghens principle
73,Color,colour|color
74,Magnetic field,|magnetic field strength|magnetic flux density|magnetic fields|magnetic field|magnetic field density|b-field|nonlinear magnetic field|magnetic force field
75,Voltage,electrical tension|difference of electric potential|difference in electrical potential|electric tension|potential difference|difference of potential|electric potential difference|difference of electrical potential|voltages|electrical voltage|voltage|voltage difference|difference in electric potential|terminal potential difference
76,Lever,lever|third-class lever|first-class lever|levers|second-class lever|fulcrum
77,Shock wave,shock wave
78,Distance,distance
79,Electron,electron
80,Metre,metre|meter
81,Stiffness,compliance|torsional rigidity|flexibility|stiffness
82,Non-inertial reference frame,non-inertial frame of reference|non-inertial reference frame|noninertial reference frames|non-inertial frames of reference|accelerated frame|noninertial frame|non inertial frame|accelerated reference frame|non-inertial frame
83,Plane mirror,flat mirror|plane mirror
84,Gravitational field,gravitation field|newtonian gravitational field|gravitational fields|gravitational field
85,Collision,collision|colliding|collisions
86,Magnetism,magnetic|magnetism
87,Tangential and normal components,tangent component|tangential and normal components|paralel component|parallel component|perpendicular component|tangential component|normal component
88,Electromagnetic radiation,em radiation|electromagnetic radiation|electromagnectic radiation
89,Subtractive color,subtractive color|subtractive colour
90,Capacitance,capacitance
91,Specular reflection,specular refrector|regular reflection|specularly reflected|specular|law of reflection|the law of reflection|specular reflection
92,Deformation (engineering),deformation
93,Joule,joules|joule
94,Electromagnetic spectrum,em spectrum|electromagnetic spectrum|electomagnetic spectrum|ir spectrum|electrocmagnetic spectrum|electro magnetic spectrum|stellar specta|electro-magnetic spectrum|electromagentic spectra
95,Displacement (vector),displacement
96,Electric charge,electric charge|positive charge|electrostatic charge|q|electric charges|electrically charged|electrically neutral|positive electricity|positively charged|negatively charged|specific charge|electric polarity|positive static charge|charge|negative charge|electrical charge|electrification by friction|elementary electrostatic charge
97,Mirror image,mirror images|mirror reflection|mirror image|mirror plane of symmetry
98,Pigment,pigment|pigments
99,Tension (physics),tensile force|tensile|unbalanced forces|slackener|slackening|unbalanced force|slackeners|tensility|uniaxial tension|slacken|slackened|slackens|tension
100,Refractive index,refraction index|complex refractive index|optical extinction coefficient|absolute refractive index|refractivity|refractive indices|negative index of refraction|complex index of refraction|index of refraction|refracting index|refractive index
101,Physical quantity,physical quantities|physical quantity
102,Direction (geometry),direction
103,Planet,planets|planetary mass object|major planets|planet
104,Scalar (mathematics),scalar
105,Temperature,temperature
106,Electrostatics,electrostatic interactions|charge-charge interaction|classical electrostatics|electrostatic|electrostatic repulsion|electrostatics|static eliminator|coulombic attraction
107,Kilogram,kilogram|milligram|kilograms|kg
108,Energy,energy
109,Equations of motion,suvat|rotational form|equations of motion|davtu equations|uvast|equation of motion|davtu|vusat|vuxat equations|vusat equations|vuxat|suvat equations|uniformly accelerated motion|formulas for constant acceleration|motion equation
110,Dispersion (optics),disperion|dispersion
111,Ray (optics),ray
112,Fatigue (material),fatigue
113,Ohm,ohm
114,Friction,friction
115,Phase velocity,phase velocity|phase velocity vector
116,Projectile motion,projectile motion
117,Power (physics),power
118,Reflection (physics),reflection
119,Euclidean vector,vector|euclidian vector|euclidean vector
120,Free fall,freefall|free fall|free-falling
121,Electrical conductor,electrical conductor|conductor
122,Transmission medium,transmission media|transmission medium
123,Field (physics),field
124,Interference (wave propagation),interference
125,Field line,field line|fieldline|field lines
126,Crest (physics),crest|wave crest|trough
127,Electrical resistance and conductance,electrical conductance|electrical resistence|electric conductance|electrical resistance and conductance|resistance|electrical-resistance|resistive|electric resistance|electrical resistance & conductance|electric resistnace|electrical resistance|resistance in wires|ac resistance
128,Acceleration,acceleration
129,Gravitational constant,newtonian gravitational constant|constant of gravity|constant of gravitation|gravity constant|grav const|newton's constant|universal gravitational constant|newtonian constant|newton constant|newton's universal gravitation constant|gravity's constant|gravitational constant|newtonian constant of gravitation|gravitation constant
130,Length,length dimension|legnth|length|lenght|lengths|width|breadth
131,Gravity of Earth,earth’s gravity|earth's gravity|gravity earth|earths gravity|little g|gravity on earth|earth gravity|gravity|earth's gravitation|earths gravitation force|gravity of earth
132,Ohmmeter,measure resistance|resistance measurment|ohmmeter
133,Musical tone,tone|musical tone
134,Frame of reference,frame of reference
135,Ohm's law,ohm’s law|ohm's law
136,Pitch (music),pitch
137,Compass,magnetic compass|compass
138,Capacitor,capacitance|capacitor
139,Resultant force,net force|total force|resultant force
140,Motion,motion
141,Voltmeter,voltage measurment|voltmeter|measure voltage
