,concept,key_terms
0,Sonic boom,sonic booms|sonicboom|sound boomcooper pair|sonic boom
1,Absorption spectroscopy,absorption spectra|dark-line spectrum|absorption spectroscopy|transmission spectroscopy|absorption spectrum|absorption spectrometry|crystal absorption spectra|absorbtion spectroscopy
2,Coulomb,columb|femtocoulomb|coloumb|microcoulomb|gigacoulomb|coulomb|picocoulomb|attocoulomb|petacoulomb|teracoulomb|kilocoulomb|picocoulombs|exacoulomb|megacoulomb|zeptocoulomb|millicoulomb|nanocoulomb|yottacoulomb|yoctocoulomb|ampere-second|zettacoulomb
3,Magnet,magnet
4,Gravity,gravity
5,Refraction,refraction
6,Angle of incidence,incidence angle|rigging angle|incident angles|glancing angle|grazing ange|angle of incidence|grazing incidence|incident angle|grazing angle|angles of incidence
7,Electric potential energy,coulomb energy|electrostatic potential energy|electrical potential energy|electric potential energy|electrostatic energy|coulomb potential energy
8,Wavelength,wave length|wavelengths|wavelength
9,Emission spectrum,emission spectrum|emission spectrometry|atomic emission spectrum|molecular radiation|emission coefficient|line-emission spectrum|atomic spectrum|molecular band emission|line spectrum|energy spectra|emission spectroscopy|molecular emission|emission|energy spectrum|spectral emissions|flame emmission spectrometer|atomic spectra|molecular spectra|emission spectra|bright-line spectrum
10,Potential energy,potential energy
11,Energy level,atomic energy level|quantum energy level|quantum level|quantized electronic structure|energy levels|quantum levels|energy level|electronic state|energy state|molecular energy state|quantum energy
12,Inertial frame of reference,inertial frames of reference|inertial space|inertial reference frames|equivalence of inertial frames|velocity reference frames|inertial observer|inertial frame|inertial reference frame|inertial frame of reference|inertial frames|inertial|inertial system
13,Plasticity (physics),plasticity
14,Real image,real image|real object
15,Velocity,velocity
16,Light,light
17,Newton's laws of motion,newton’s third law of motion|inertia|newton’s first law|newton's laws of motion|newton’s third law|newton’s first law of motion|newton's laws|newton’s second law of motion|newton’s second law|law of inertia
18,Motion graphs and derivatives,motion graphs and derivatives|position vs. time curves|motion graphs|displacement vs. time graph|position vs. time graph|velocity vs. time graph|d-t graph|v-t graph
19,Relative velocity,relative velocity
20,Frequency,frequency|frequencies|wave period
21,Electric potential,electric scalar potential|electric potential|electrical potential difference|electrical scalar potential|electrostatic potential|coulomb potential|electrical potential
22,Hooke's law,hookes law|spring equation|hooke's law
23,Mass,mass
24,Mechanical energy,conservation of mechanical energy|mechanical energy
25,Resonance (particle physics),resonance
26,Amplitude,amplitudes|amplitude
27,Work (physics),work
28,Speed,speed
29,Crystallinity,crystalline|crystaline|crystallinity
30,Gravitational acceleration,acceleration of free fall|gravitational acceleration of a ball|gravitational acceleration|acceleration due to gravity
31,Diffraction,diffractions|diffraction
32,Transverse wave,tranverse wave|transverse wave
33,Electroscope,electroscope
34,Strength of materials,mechanical strength|materials strength|resistance of materials|strength|material strength|stress-strain relations|mechanics of materials|strength of materials
35,Torque,torque
36,Photoelectric effect,photoelectriceffect|photoelectric effect|photo electric effect
37,Sound,sound
38,Elasticity (physics),elastic body|elastic solid|elastic|elasticity of materials|elasticity theory|elasticity|elastostatics
39,Laser,laser
40,Electric field,e-field|electrical fields|electrostatic fields|electrostatic field|electric field|volts per metre|e field|electric fields|electric field vector|electrical field|electric field strength
41,Sound intensity,acoustic intensity|sound intensity level|sound intensity
42,Dielectric,dielectric
43,Coulomb's law,coulomb's law|coulomb law
44,Doppler effect,doppler effect
45,Standing wave,stationary vibration|stationary wave|standing waves|standing-wave|stationary waves|standing wave
46,Force,force
47,Refracting telescope,galileo telescope|galilean telescope|refractor telescope|keplerian telescope|refracting telescope|kepler refractor
48,Telescope,telescope
49,Le Sage's theory of gravitation,gravity|lesage gravity|le sage theory of gravitation|pushing gravity|kinetic theory of gravity|shadow gravity|lesage's theory of gravitation|mock gravity|le sages theory of gravitation|le sage's theory of gravitation|lesage|push gravity
50,Hardness,hard|hardness
51,Newton's law of universal gravitation,newton’s law of gravitation|newton’s law of universal gravitation|universal gravitation|universal gravity|newton's law of gravitation|newton's universal law of gravitation|newton's theory of gravity|newton's law of universal gravitation|gravity inverse square law|law of universal gravity|law of gravitational attraction|newtonian gravitation|newton's law of gravity|gravitational force|gravitation law|law of gravitation|newton law of gravitation|newton laws of gravity|newton's theory of gravitation|law of universal gravitation|newtons law of gravity|newton theory of gravitation|newtonian gravitational field|newtonian attraction|newtons laws of gravity|newtonian gravity|newton's gravitational law|newton law of gravity
52,Intensity (physics),intensity
53,Wave,wave
54,Scattering,scattering|scatter
55,Elastic collision,elastic interaction|elastic collision|elastic interactions|elastic collisions|why balls bounce?
56,Position (vector),position
57,Optical microscope,transmitted light microscope|compound microscope|visible light microscope|light microscope|optical microscopy|optical light microscope|microscope|optical microscope|optic microscopy|binocular microscope
58,Virtual image,virtual image|virtual object
59,Geometrical optics,geometric optics|optics|ray optics|geometrical optics
60,Snell's law,angle of refraction|snell's law of refraction|laws of refraction|law of refraction|descartes law|snell law|snells' law|snell’s law|snel's law|snell's law|snells law
61,Normal force,normal force|normal reaction
62,Insulator (electricity),insulator
63,Creep (deformation),creep
64,Inelastic collision,inelastic collision|inelastic interaction
65,Contact force,contact force
66,Electromotive force,electromagnetic force|em force|electromotive force|electro motive force|emf|electro magnetic force
67,Rarefaction,rarefraction\|rarefaction
68,Electrical polarity,electrical polarity
69,Hertz,hertz|hz
70,Fracture,fracture
71,Huygens–Fresnel principle,diffraction losses|fresnel's principle|huygens fresnel principle|huygens' principle|huygens'-fresnel principle|huygen's principle|huyghens principle|huygen principle|huygens' construction|huygens–fresnel principle|difraction losses|huygens principle|huygens's principle|huygens' wave theory|huygens–fresnel equation|huygens-fresnel principle|fresnel principle
72,Color,color|colour
73,Magnetic field,b-field||magnetic force field|nonlinear magnetic field|magnetic field density|magnetic field strength|magnetic field|magnetic flux density|magnetic fields
74,Voltage,difference in electrical potential|difference in electric potential|difference of electric potential|voltage difference|electric tension|electric potential difference|difference of potential|difference of electrical potential|voltage|voltages|potential difference|electrical voltage|electrical tension|terminal potential difference
75,Lever,fulcrum|lever|levers|third-class lever|first-class lever|second-class lever
76,Shock wave,shock wave
77,Distance,distance
78,Electron,electron
79,Metre,metre|meter
80,Stiffness,torsional rigidity|stiffness|flexibility|compliance
81,Non-inertial reference frame,non-inertial frame of reference|non inertial frame|non-inertial frames of reference|non-inertial reference frame|noninertial reference frames|accelerated reference frame|non-inertial frame|accelerated frame|noninertial frame
82,Plane mirror,plane mirror|flat mirror
83,Gravitational field,gravitation field|gravitational fields|newtonian gravitational field|gravitational field
84,Collision,colliding|collisions|collision
85,Magnetism,magnetism|magnetic
86,Tangential and normal components,tangent component|paralel component|normal component|perpendicular component|tangential component|tangential and normal components|parallel component
87,Electromagnetic radiation,em radiation|electromagnectic radiation|electromagnetic radiation
88,Subtractive color,subtractive colour|subtractive color
89,Capacitance,capacitance
90,Specular reflection,regular reflection|specular|the law of reflection|law of reflection|specular refrector|specular reflection|specularly reflected
91,Deformation (engineering),deformation
92,Joule,joule|joules
93,Electromagnetic spectrum,stellar specta|ir spectrum|electrocmagnetic spectrum|electro magnetic spectrum|electromagentic spectra|electromagnetic spectrum|electomagnetic spectrum|electro-magnetic spectrum|em spectrum
94,Displacement (vector),displacement
95,Electric charge,positively charged|electrically charged|elementary electrostatic charge|negatively charged|positive electricity|positive static charge|electric charges|positive charge|electric charge|electrical charge|q|specific charge|electrostatic charge|electrically neutral|negative charge|electric polarity|electrification by friction|charge
96,Mirror image,mirror reflection|mirror image|mirror plane of symmetry|mirror images
97,Pigment,pigment|pigments
98,Tension (physics),tension|unbalanced forces|slackens|slackening|uniaxial tension|slackener|tensile force|unbalanced force|slackened|tensility|slacken|tensile|slackeners
99,Refractive index,complex index of refraction|absolute refractive index|refractive indices|negative index of refraction|refracting index|refractive index|index of refraction|complex refractive index|refraction index|refractivity|optical extinction coefficient
100,Physical quantity,physical quantity|physical quantities
101,Direction (geometry),direction
102,Planet,major planets|planets|planetary mass object|planet
103,Scalar (mathematics),scalar
104,Temperature,temperature
105,Electrostatics,electrostatic|coulombic attraction|static eliminator|charge-charge interaction|classical electrostatics|electrostatic interactions|electrostatic repulsion|electrostatics
106,Kilogram,kilogram|milligram|kilograms|kg
107,Energy,energy
