,Unnamed: 0,topic_a,topic_b,relation,refd_equal,refd_tfidf
0,0,Magnetic field,Inertial frame of reference,0,-0.11330049261083741,0.0
1,1,Gravitational acceleration,Position (vector),1,-0.015037593984962405,0.0
2,2,Energy,Planet,0,-0.17105263157894737,0.0
3,3,Mechanical energy,Gravitational field,0,-0.02521008403361344,0.0
4,4,Physics,Electric potential energy,0,-0.03285714285714286,0.0
5,5,Newton's laws of motion,Motion,0,-0.6786833855799373,0.0
6,6,Motion graphs and derivatives,Acceleration,0,0.8333333333333334,0.0
7,7,Speed,Length,0,-0.2518518518518519,0.0
8,8,Energy,Intensity (physics),0,-0.5210526315789473,0.0
9,9,Snell's law,Refractive index,1,0.33333333333333337,0.0
10,10,Hooke's law,Work (physics),0,0.3285714285714285,0.0
11,11,Acceleration,Displacement (vector),1,-0.09613375130616508,0.0
12,12,Physics,Collision,0,-0.16666666666666666,0.0
13,13,Electron,Mechanical energy,0,-0.10485933503836317,0.0
14,14,Mass,Wave,0,-0.04196428571428572,0.0
15,15,Potential energy,Gravity,0,-0.4920634920634921,0.0
16,16,Refractive index,Electric field,0,0.3333333333333333,0.0
17,17,Hardness,Elasticity (physics),1,0.5,0.0
18,18,Photoelectric effect,Collision,0,0.045454545454545456,0.0
19,19,Refractive index,Reflection (physics),0,0.06730769230769229,0.0
20,20,Shock wave,Wave,1,0.21875,0.0
21,21,Projectile motion,Gravity,1,0.25,0.0
22,22,Non-inertial reference frame,Frame of reference,1,0.09285714285714286,0.0
23,23,Diffraction,Field (physics),0,0.03070175438596491,0.0
24,24,Intensity (physics),Energy,1,0.5210526315789473,0.0
25,25,Electrical conductor,Electromagnetic spectrum,0,-0.17251461988304095,0.0
26,26,Magnetic field,Velocity,0,0.08231368186874305,0.0
27,27,Crest (physics),Doppler effect,0,0.1590909090909091,0.0
28,28,Wave,Reflection (physics),0,-0.3966346153846154,0.0
29,29,Energy,Collision,0,-0.6403508771929824,0.0
30,30,Sound intensity,Wave,0,0.9375,0.0
31,31,Refractive index,Scattering,0,-0.375,0.0
32,32,Physics,Stiffness,0,-0.5,0.0
33,33,Magnetic field,Relative velocity,0,-0.07758620689655171,0.0
34,34,Snell's law,Speed,1,0.046296296296296294,0.0
35,35,Electric potential,Joule,0,0.2767857142857143,0.0
36,36,Temperature,Physics,0,0.14461538461538465,0.0
37,37,Energy level,Temperature,0,0.2097902097902098,0.0
38,38,Velocity,Doppler effect,0,-0.24046920821114368,0.0
39,39,Normal force,Velocity,0,0.6532258064516129,0.0
40,40,Electromagnetic radiation,Velocity,0,-0.039759939984996245,0.0
41,41,Magnetism,Electric current,0,0.211021505376344,0.0
42,42,Electric potential,Magnetic field,0,-0.09267241379310343,0.0
43,43,Newton's law of universal gravitation,Physics,1,0.09379310344827585,0.0
44,44,Position (vector),Acceleration,0,0.2982456140350877,0.0
45,45,Refractive index,Wave,1,0.20833333333333331,0.0
46,46,Physics,Snell's law,0,-0.21333333333333332,0.0
47,47,Energy,Joule,0,-0.1716791979949875,0.0
48,48,Electromotive force,Voltage,1,0.040000000000000036,0.0
49,49,Diffraction,Scattering,0,-0.5,0.0
50,50,Plane mirror,Length,0,0.0,0.0
51,51,Capacitance,Coulomb,0,0.16521739130434776,0.0
52,52,Dielectric,Voltage,0,0.34153846153846157,0.0
53,53,Refractive index,Refraction,1,-0.1096491228070175,0.0
54,54,Magnetism,Field line,0,-0.5416666666666666,0.0
55,55,Energy level,Energy,1,0.2703349282296651,0.0
56,56,Distance,Optical microscope,0,0.0,0.0
57,57,Elastic collision,Kinetic energy,1,0.7000000000000001,0.0
58,58,Electrostatics,Electric current,0,0.18709677419354842,0.0
59,59,Displacement (vector),Mass,0,0.16453201970443354,0.0
60,60,Projectile motion,Speed,1,0.75,0.0
61,61,Electron,Electroscope,0,-0.6708074534161491,0.0
62,62,Electroscope,Electrostatics,0,0.8171428571428571,0.0
63,63,Intensity (physics),Light,0,-0.0034482758620689585,0.0
64,64,Electron,Frequency,0,-0.20066889632107027,0.0
65,65,Angle of incidence,Ray (optics),0,0.3333333333333333,0.0
66,66,Temperature,Absorption spectroscopy,0,-0.3230769230769231,0.0
67,67,Newton's laws of motion,Collision,0,-0.5,0.0
68,68,Mirror image,Reflection (physics),1,0.523076923076923,0.0
69,69,Laser,Absorption spectroscopy,0,-0.20909090909090908,0.0
70,70,Work (physics),Potential energy,0,0.0,0.0
71,71,Voltage,Electromotive force,0,-0.040000000000000036,0.0
72,72,Absorption spectroscopy,Wavelength,1,0.7166666666666667,0.0
73,73,Position (vector),Force,0,0.44824561403508767,0.0
74,74,Acceleration,Work (physics),0,-0.030303030303030276,0.0
75,75,Reflection (physics),Total internal reflection,0,-0.06730769230769229,0.0
76,76,Power (physics),Energy,1,0.14210526315789473,0.0
77,77,Absorption spectroscopy,Planet,0,0.0,0.0
78,78,Refractive index,Laser,0,-0.23863636363636365,0.0
79,79,Gravity,Doppler effect,0,-0.0551948051948052,0.0
80,80,Amplitude,Doppler effect,0,-0.2727272727272727,0.0
81,81,Wave,Tension (physics),0,-0.23076923076923078,0.0
82,82,Intensity (physics),Velocity,0,0.26774193548387093,0.0
83,83,Gravity of Earth,Torque,0,0.47878787878787876,0.0
84,84,Deformation (engineering),Elasticity (physics),0,0.35,0.0
85,85,Acceleration,Electric potential,0,-0.2821969696969697,0.0
86,86,Work (physics),Position (vector),1,-0.24561403508771934,0.0
87,87,Magnetic field,Mirror image,0,-0.2,0.0
88,88,Electromagnetic spectrum,Wavelength,1,0.1111111111111111,0.0
89,89,Emission spectrum,Frequency,1,0.47863247863247865,0.0
90,90,Potential energy,Power (physics),0,-0.022222222222222143,0.0
91,91,Specular reflection,Wave,1,0.4375,0.0
92,92,Energy,Power (physics),0,-0.14210526315789473,0.0
93,93,Le Sage's theory of gravitation,Collision,0,0.18181818181818182,0.0
94,94,Specular reflection,Euclidean vector,0,0.1,0.0
95,95,Electron,Absorption spectroscopy,0,-0.5565217391304348,0.0
96,96,Total internal reflection,Light,1,0.35488505747126436,0.0
97,97,Physics,Rarefaction,0,-0.5,0.0
98,98,Plasticity (physics),Hardness,0,-0.5,0.0
99,99,Physics,Gravitational acceleration,0,0.017142857142857154,0.0
100,100,Speed,Magnetic field,0,0.04980842911877392,0.0
101,101,Energy level,Physics,1,0.6581818181818182,0.0
102,102,Magnetic field,Magnet,1,-0.6954022988505748,0.0
103,103,Elasticity (physics),Wave,0,0.1875,0.0
104,104,Phase velocity,Dispersion (optics),0,0.22499999999999998,0.0
105,105,Physics,Wavelength,0,-0.26,0.0
106,106,Fracture,Strength of materials,0,-0.375,0.0
107,107,Diffraction,Wave,1,0.19791666666666669,0.0
108,108,Free fall,Displacement (vector),1,0.6108374384236454,0.0
109,109,Force,Sound intensity,0,0.0,0.0
110,110,Wavelength,Dispersion (optics),0,-0.32499999999999996,0.0
111,111,Temperature,Electrical resistance and conductance,0,-0.006153846153846149,0.0
112,112,Magnetic field,Absorption spectroscopy,0,-0.5655172413793104,0.0
113,113,Field (physics),Planet,0,-0.14473684210526316,0.0
114,114,Le Sage's theory of gravitation,Speed,1,0.5084175084175084,0.0
115,115,Inelastic collision,Physics,1,0.46,0.0
116,116,Energy,Sound intensity,0,0.0,0.0
117,117,Energy level,Wavelength,0,0.4204545454545454,0.0
118,118,Electromagnetic radiation,Magnet,1,-0.5736434108527131,0.0
119,119,Euclidean vector,Electrostatics,0,0.016470588235294126,0.0
120,120,Friction,Hooke's law,0,-0.35714285714285715,0.0
121,121,Le Sage's theory of gravitation,Elastic collision,0,0.18181818181818182,0.0
122,122,Hertz,Velocity,0,-0.20506912442396316,0.0
123,123,Doppler effect,Speed,1,0.23569023569023567,0.0
124,124,Newton's law of universal gravitation,Gravitational constant,0,-0.05329153605015674,0.0
125,125,Wave,Transverse wave,0,-0.36607142857142855,0.0
126,126,Refractive index,Speed,1,0.004629629629629629,0.0
127,127,Laser,Doppler effect,0,0.0,0.0
128,128,Acceleration,Non-inertial reference frame,0,-0.37424242424242415,0.0
129,129,Magnetic field,Electric current,1,0.014460511679644017,0.0
130,130,Newton's law of universal gravitation,Gravitational field,0,-0.6157635467980295,0.0
131,131,Potential energy,Torque,0,-0.061111111111111116,0.0
132,132,Gravitational acceleration,Force,1,0.7738095238095237,0.0
