,Unnamed: 0,topic_a,topic_b,relation,tfidf_score
0,0,Magnetic field,Inertial frame of reference,0,0.0
1,1,Gravitational acceleration,Position (vector),1,0.0
2,2,Energy,Planet,0,0.0
3,3,Mechanical energy,Gravitational field,0,0.21634093022098416
4,4,Physics,Electric potential energy,0,0.0
5,5,Newton's laws of motion,Motion,0,0.4901502811363275
6,6,Motion graphs and derivatives,Acceleration,0,0.0
7,7,Speed,Length,0,0.05128350193864468
8,8,Energy,Intensity (physics),0,0.0
9,9,Snell's law,Refractive index,1,0.0
10,10,Hooke's law,Work (physics),0,0.0
11,11,Acceleration,Displacement (vector),1,0.5596168032878454
12,12,Physics,Collision,0,0.0
13,13,Electron,Mechanical energy,0,0.010518778265733568
14,14,Mass,Wave,0,0.0
15,15,Potential energy,Gravity,0,0.3282481560059882
16,16,Refractive index,Electric field,0,0.0
17,17,Hardness,Elasticity (physics),1,0.0
18,18,Photoelectric effect,Collision,0,0.0
19,19,Refractive index,Reflection (physics),0,0.03207326495952873
20,20,Shock wave,Wave,1,0.6225192895393347
21,21,Projectile motion,Gravity,1,0.0
22,22,Non-inertial reference frame,Frame of reference,1,0.0
23,23,Diffraction,Field (physics),0,1.3596692517445574
24,24,Intensity (physics),Energy,1,0.0
25,25,Electrical conductor,Electromagnetic spectrum,0,0.0
26,26,Magnetic field,Velocity,0,0.0
27,27,Crest (physics),Doppler effect,0,0.0
28,28,Wave,Reflection (physics),0,0.0
29,29,Energy,Collision,0,0.0
30,30,Sound intensity,Wave,0,1.013119628073819
31,31,Refractive index,Scattering,0,0.0
32,32,Physics,Stiffness,0,0.0
33,33,Magnetic field,Relative velocity,0,0.0
34,34,Snell's law,Speed,1,0.4654268940003599
35,35,Electric potential,Joule,0,0.0
36,36,Temperature,Physics,0,0.0
37,37,Energy level,Temperature,0,0.07470628949092066
38,38,Velocity,Doppler effect,0,0.0
39,39,Normal force,Velocity,0,0.1503929176519095
40,40,Electromagnetic radiation,Velocity,0,0.1981115357677764
41,41,Magnetism,Electric current,0,0.0
42,42,Electric potential,Magnetic field,0,0.0
43,43,Newton's law of universal gravitation,Physics,1,0.11124889876622718
44,44,Position (vector),Acceleration,0,0.0
45,45,Refractive index,Wave,1,0.012578213445606466
46,46,Physics,Snell's law,0,0.0
47,47,Energy,Joule,0,0.17234701503992178
48,48,Electromotive force,Voltage,1,1.269486935529138
49,49,Diffraction,Scattering,0,0.0
50,50,Plane mirror,Length,0,0.004782767789175225
51,51,Capacitance,Coulomb,0,0.02692813612153504
52,52,Dielectric,Voltage,0,0.9067763825208128
53,53,Refractive index,Refraction,1,0.6909603417469028
54,54,Magnetism,Field line,0,0.0
55,55,Energy level,Energy,1,1.190170923583182
56,56,Distance,Optical microscope,0,0.0
57,57,Elastic collision,Kinetic energy,1,0.0
58,58,Electrostatics,Electric current,0,0.0
59,59,Displacement (vector),Mass,0,0.0
60,60,Projectile motion,Speed,1,0.0
61,61,Electron,Electroscope,0,0.0
62,62,Electroscope,Electrostatics,0,0.29034772995970554
63,63,Intensity (physics),Light,0,0.15905465658777593
64,64,Electron,Frequency,0,0.017954367410633342
65,65,Angle of incidence,Ray (optics),0,0.0
66,66,Temperature,Absorption spectroscopy,0,0.0
67,67,Newton's laws of motion,Collision,0,0.0
68,68,Mirror image,Reflection (physics),1,0.0
69,69,Laser,Absorption spectroscopy,0,0.0
70,70,Work (physics),Potential energy,0,0.009734165691513657
71,71,Voltage,Electromotive force,0,0.0
72,72,Absorption spectroscopy,Wavelength,1,0.2028148247292285
73,73,Position (vector),Force,0,0.0
