,concept,index,type
0,Sonic boom,26.6,2
1,Absorption spectroscopy,31.4.2,1
2,Coulomb,17.2,2
3,Magnet,8|8.2|8.3|8.3.1|8.3.2|8.3.3|8.4|8.4.1|18.2|18.3|18.5,2
4,Gravity,4|4.2|4.8,2
5,Refraction,7.4,1
6,Angle of incidence,,0
7,Electric potential energy,17.4,2
8,Wavelength,6.2.2|6.4.5|14.3.2|27.2,2
9,Emission spectrum,31.4.1,1
10,Motion (physics),3|3.6|3.6.2|3.6.3|3.9|3.9.1|3.12|5.4.1|5.4.2|6.3|12.3.2|12.3.4|18.5|21|21.2|21.2.1|21.2.2|21.2.3,2
11,Potential energy,4.3,1
12,Energy level,31.2.1,2
13,Inertial frame of reference,3.2.1|21.5|21.5.2,3
14,Plasticity (physics),22.3|22.3.1,2
15,Real image,,0
16,Velocity,3.4|3.4.1|3.6.2|5.4|14.4|21.5.4,2
17,Light,7.2|24.3|25.2|25.2.1|25.3|29.4.2|31.2|31.2.2,2
18,Newton's laws of motion,12.3,1
19,Motion graphs and derivatives,6.3|21.2.3,2
20,Relative velocity,21.5.4,1
21,Frequency,6.2.4|14.3.3,2
22,Electric potential,17.4.1,1
23,Hooke's law,22.2.1,1
24,Mass,4.1.1|12.4,2
25,Mechanical energy,4.5|4.5.1,1
26,Resonance (particle physics),16.4,1
27,Amplitude,5.3.1|6.2.2|14.3.2,2
28,Work (physics),23.2,1
29,Speed,3.4|3.4.1|5.3.2|6.2.5|14.3.4|15.3,2
30,Crystallinity,,0
31,Gravitational acceleration,4.2,1
32,Diffraction,26.5,1
33,Transverse wave,6.2,1
34,Electroscope,9.6.1,1
35,Strength of materials,22.4,2
36,Torque,12.6.1,1
37,Photoelectric effect,31.3,1
38,Sound,14.5|15|15.2|15.3|15.4.1|16.5|24.2,2
39,Elasticity (physics),21.4.1|22.3|22.3.1,2
40,Laser,31.5,1
41,Electric field,17.3|17.3.1|17.5.4,2
42,Sound intensity,15.4.1,1
43,Dielectric,17.5.2,1
44,Coulomb's law,17.2,2
45,Doppler effect,24|24.2|24.2.1|24.3,2
46,Standing wave,6.4.3,1
47,Force,12.2|12.2.1,1
48,Refracting telescope,13.5.1,1
49,Telescope,13.5,1
50,Le Sage's theory of gravitation,4|4.2|4.8,2
51,Hardness,,0
52,Newton's law of universal gravitation,12.4.1,1
53,Intensity (physics),15.4.1,2
54,Wave,6|6.2|6.2.5|6.4|6.4.1|6.4.2|6.4.3|6.4.5|14|14.2|14.3|14.3.4|14.5|14.6|14.7|14.8|15.2|16.2|16.3|26.6|27|30.3|30.5.1,2
55,Scattering,31.2,2
56,Elastic collision,21.4.1,1
57,Position (vector),3.2.2,1
58,Optical microscope,13.6,1
59,Virtual image,,0
60,Geometrical optics,7|7.6|7.6.2|13|31,2
61,Snell's law,7.4.2,1
62,Normal force,12.2|12.2.1,3
63,Insulator (electricity),20.2.2,1
64,Creep (deformation),22.3|22.3.2,2
65,Inelastic collision,21.4.2,1
66,Contact force,12.2|12.2.1,3
67,Electromotive force,10.2.5,1
68,Rarefaction,14.3.1,2
69,Electrical polarity,,0
70,Hertz,,0
71,Fracture,22.3|22.3.2,2
72,Huygens–Fresnel principle,26.3,1
73,Color,25|25.2|25.3.1|25.3.2|25.3.3|25.3.4|25.3.5|25.4.1|25.4.2|25.4.3|31.4.3,2
74,Magnetic field,8.2,1
75,Voltage,10.2|10.2.1,1
76,Lever,12.6|12.6.2|12.6.3,2
77,Shock wave,26.6,2
78,Distance,3.3|3.3.2,2
79,Electron,20|27.3|27.3.1|27.3.2|29|29.5|31.2.1,2
80,Metre,10.5.4,2
81,Stiffness,,0
82,Non-inertial reference frame,3.2.1|3.5|21.5|21.5.2,3
83,Plane mirror,7.5.2,1
84,Gravitational field,4.2.1,1
85,Collision,21.4|21.4.1|21.4.2,2
86,Magnetism,8|8.2|8.3|8.3.1|8.3.2|8.3.3|8.4|8.4.1|18.2|18.3|18.5,2
87,Tangential and normal components,,0
88,Electromagnetic radiation,30,1
89,Subtractive color,25.3.2,2
90,Capacitance,28.4.1,1
91,Specular reflection,7.3.2,1
92,Deformation (engineering),22.2,2
93,Joule,,0
94,Electromagnetic spectrum,30.4,1
95,Displacement (vector),3.3|3.3.2|14.4,2
96,Electric charge,9.2|9.3|9.4|9.5|9.7|10.3.1|17.2|17.3|17.3.2|17.3.3|18.5,2
97,Mirror image,7.3|7.5|7.5.2,3
98,Pigment,25.4|25.4.3,2
99,Tension (physics),1|12.2|12.2.1,3
100,Refractive index,7.4|7.4.1,1
101,Physical quantity,1,3
102,Direction (geometry),11.4,1
103,Planet,,0
104,Scalar (mathematics),11.2|11.6.3,2
105,Temperature,,0
106,Electrostatics,9|17|17.8,2
107,Kilogram,,0
108,Energy,23.3,1
109,Equations of motion,3.9|21.2.2,1
110,Dispersion (optics),25.2.1,2
111,Ray (optics),7.2|7.2.2|7.5.3,2
112,Fatigue (material),22.3.2,2
