,concept,key_terms
0,Sonic boom,sonic booms|sonic boom|sound boomcooper pair|sonicboom
1,Absorption spectroscopy,crystal absorption spectra|excitation wavelength|absorbtion spectroscopy|absorption maxima|absorption spectroscopy|transmission spectroscopy|absorption spectrometry|absorption maximum|dark-line spectrum|absorption spectrum|absorption spectra|absorption curve
2,Coulomb,ampere-second|megacoulomb|attocoulomb|exacoulomb|kilocoulomb|zeptocoulomb|petacoulomb|femtocoulomb|teracoulomb|q=it|gigacoulomb|columb|picocoulomb|millicoulomb|coloumb|picocoulombs|microcoulomb|yottacoulomb|zettacoulomb|nanocoulomb|yoctocoulomb|coulomb
3,Magnet,permanent magnets|horseshoe magnet|bar magnet|magnetic material|magnet|horse shoe magnet|magnetic sweeper|ampère model|magnetized material|10 uses of magnets|permanent magnet|ampere model|magnetic polarity|magnets|magnetic materials
4,Gravity,gravitate|force of gravity|gravitational pull|apparent gravity|gravitaiton|gravitational force|gravitationally|acceleration of gravity|vertical circular motion|gravitational|newtonian theory of gravitation|gravitational attraction|theories of gravitation|formulae of gravity|theory of gravity|laws of gravity|physics/gravity|law of gravity|gravitational physics|gravitation|gravitational theory|gravitational interaction|gravity and motion|gravitated|gravity|gravitating|theory of gravitation|gravitational motion|gravitates|fg
5,Refraction,light refraction|refract|refraction of light|refractive|refrection of light|wave refraction|refracted|refraction of waves|refracting|optical surfaces|refracts|refractions|refraction|refringence|apparent depth
6,Angle of incidence,grazing incidence|grazing angle|incident angle|normal incidence|incident angles|incidence angle|glancing angle|grazing ange|angles of incidence|angle of incidence|rigging angle
7,Electric potential energy,electrostatic energy|coulomb potential energy|coulomb energy|electrical potential energy|electric potential energy|electrostatic potential energy
8,Wavelength,wavelenght|spatial period|wavelengths|wavelength|angular wavelength|optical wavelength|vacuum wavelength|subwavelength|wavelength of light|wave length|wave lenght
9,Emission spectrum,atomic spectrum|molecular emission|atomic spectra|emission|line spectrum|flame emmission spectrometer|line-emission spectrum|emission spectrum|atomic emission spectrum|emission spectroscopy|emission spectrometry|energy spectra|bright-line spectrum|emission coefficient|molecular band emission|energy spectrum|molecular radiation|emission spectra|spectral emissions|molecular spectra
10,Motion (physics),"motion, local|motion"
11,Potential energy,magnetic potential energy|-gmm/r|potential energy function|gravitation energy|potential energy|nuclear potential energy|potential gravitational energy
12,Energy level,energy levels|quantum energy level|electronic state|energy state|atomic energy level|quantum levels|quantized electronic structure|quantum energy|molecular energy state|energy level|quantum level
13,Inertial frame of reference,velocity reference frames|inertial frames of reference|inertial reference frames|inertial reference frame|inertial observer|inertial frame of reference|inertial|inertial frame|equivalence of inertial frames|inertial system|inertial space|inertial frames
14,Plasticity (physics),plasticity
15,Real image,real image|real object
16,Velocity,velocity vector|formula for velocity|time-average velocity|first temporal derivative of displacement|average velocity|transverse velocity|rate of speed|instantaneous velocity|velocities|velocity
17,Light,electromagnetic theory of light|lightsource|light wave|wave theory of light|light reflection|optic light|properties of light|visible light|light generation|light wavelength|light in space|light waves|exciting light|undulatory theory|light source|vislble light|light|undulatory theory of light
18,Newton's laws of motion,newton’s first law|newton’s second law of motion|newton’s third law|newton’s third law of motion|newton’s second law|inertia|newton’s first law of motion|newton's laws of motion|law of inertia
19,Motion graphs and derivatives,position vs. time graph|velocity vs. time graph|motion graphs and derivatives|d-t graph|v-t graph|displacement vs. time graph|position vs. time curves
20,Relative velocity,relative velocity|relative speed
21,Frequency,frequency|frekvens|temporal frequency|waveband|period|frequencies|periodic time|frequency measurement|frequency band|oscillation frequency|frequency range|wave period|frequency dependence
22,Electric potential,vector potential difference|electric potential|scalar potential difference|coulomb potential|electric scalar potential|electrical scalar potential|electrostatic potential|electrical potential difference|potential electric|electrical potential
23,Hooke's law,robert hooke's law|hookes law|3-d hooke's law|spring equation|hooke's law|hooke's constant|stress-strain relationship|hookean solid|hooke law|hooke's law of elasticity|stiffness tensor|physics spring|force constant|spring constant|compliance tensor|hookean|spring physics|atomic spring constant|linear spring|elastic compliance tensor|hooke’s law|hook's law|ceiiinosssttuv|3d hooke's law|elasticity tensor
24,Mass,massingly|weight|massedly|gravitic mass|active gravitational mass|passive gravitational mass|unit of mass|mass|inertial mass|massivenesses|units of mass|metric mass|mass properties|massed|gravitational mass|massives|metric weight|massiveness|maſs|metric unit of weight
25,Mechanical energy,mechanical energy|conservation of mechanical energy
26,Resonance (particle physics),unstable particle|resonance
27,Amplitude,peak to peak|peak value|peak amplitude|amplitudes|pulse amplitude|semi-amplitude|wave amplitude|amplitude|peak-to-peak
28,Work (physics),work
29,Speed,speedfully|promptness|constant speed|instantaneous speed|speedfulness|average speed|speeed|slowing|speedless|pokily|speed|slow|swiftness|tangential velocity|pokiness|tangential speed|speeds|instantaneous speeds|promptitude|slowness|speedful|hastiness
30,Crystallinity,holocrystalline|hypocrystalline|semi-crystalline|crystallinities|crystalline|semicrystalline|crystallinely|crystallineness|crystalineness|crystalinely|crystallinity|crystalinities|holohyaline|hypohyaline|crystaline|crystalline powder
31,Gravitational acceleration,gravitational acceleration|gravitational acceleration of a ball|acceleration of free fall
32,Diffraction,wedge fringe|diffraction of light|diffraction|single-slits|diffractions|singleslit diffractions|single-slitted|diffractive optics|single-slit diffractions|single slit diffractions|diffractogram|diffraction pattern|diffract|singleslit|single slits|diffractive|diffracted|single slit|wedge fringes|difraction|single-slit|single slit diffraction|singleslits|defraction|singleslit diffraction|diffracts|laser light diffraction|light bend|singleslitted|single-slit diffraction|single slitted
33,Transverse wave,tranverse wave|transversal wave|transverse vibration|displacement wave|transverse waves|transverse wave|rotational wave|tranverse waves|transversal vibration
34,Electroscope,pith-ball electroscope|pith ball electroscope|electroscope|capacitance electroscope|leaf electroscope|gold-leaf electroscope|gold leaf electroscope
35,Strength of materials,stress-strain relations|resistance of materials|materials strength|strength|material strength|mechanics of materials|strength of materials|mechanical strength
36,Torque,moment of force|moment arm|torque|torques|torque curve|lever arm|rotation moment|torqued|torque/proofs|force moment|principle of moments|external torque|principal of moments|rotational force
