,Unnamed: 0,topic_a,topic_b,relation,refd_equal,refd_tfidf
0,0,Magnetic field,Inertial frame of reference,0,-0.11330049261083741,-0.0259253296256726
1,1,Gravitational acceleration,Position (vector),1,-0.015037593984962405,0.06617297988875107
2,2,Energy,Planet,0,-0.17105263157894737,-0.13401881786613448
3,3,Mechanical energy,Gravitational field,0,-0.02521008403361344,0.01034699881710104
4,4,Physics,Electric potential energy,0,-0.03285714285714286,-0.037936602134807
5,5,Newton's laws of motion,Motion,0,-0.6786833855799373,-0.5623664811564184
6,6,Motion graphs and derivatives,Acceleration,0,0.8333333333333334,0.0
7,7,Speed,Length,0,-0.2518518518518519,-0.05877379092451013
8,8,Energy,Intensity (physics),0,-0.5210526315789473,0.0
9,9,Snell's law,Refractive index,1,0.33333333333333337,0.21534424905415894
10,10,Hooke's law,Work (physics),0,0.3285714285714285,0.0
11,11,Acceleration,Displacement (vector),1,-0.09613375130616508,-0.254656568708881
12,12,Physics,Collision,0,-0.16666666666666666,0.07356556433908787
13,13,Electron,Mechanical energy,0,-0.10485933503836317,-0.883161076044996
14,14,Mass,Wave,0,-0.04196428571428572,-0.027462400956445372
15,15,Potential energy,Gravity,0,-0.4920634920634921,-0.0395344558740337
16,16,Refractive index,Electric field,0,0.3333333333333333,0.4442614365500526
17,17,Hardness,Elasticity (physics),1,0.5,0.467933465679022
18,18,Photoelectric effect,Collision,0,0.045454545454545456,0.022586467824196675
19,19,Refractive index,Reflection (physics),0,0.06730769230769229,0.4070089435785439
20,20,Shock wave,Wave,1,0.21875,-0.09968102926983831
21,21,Projectile motion,Gravity,1,0.25,0.9947810650199402
22,22,Non-inertial reference frame,Frame of reference,1,0.09285714285714286,0.19295496848946914
23,23,Diffraction,Field (physics),0,0.03070175438596491,0.01493711916223841
24,24,Intensity (physics),Energy,1,0.5210526315789473,0.0
25,25,Electrical conductor,Electromagnetic spectrum,0,-0.17251461988304095,-0.11700725283756873
26,26,Magnetic field,Velocity,0,0.08231368186874305,0.20273794483335578
