,topic_a,topic_b,ground_truth,estimated
0,Network security,Computer network,1,0.5666666666666667
1,Network security,Algorithm,1,0.30000000000000004
2,Software engineering,Algorithm,1,0.48787878787878786
3,Information retrieval,Data structure,1,0.10714285714285715
4,Computer vision,Algorithm,1,0.5
5,Distributed object,Object-oriented design,1,0.2
6,Information management,Artificial intelligence,1,-0.03333333333333333
7,Object-oriented programming,Data structure,1,-0.28571428571428575
8,Software engineering,Database,1,0.3560606060606061
9,Information management,Information retrieval,1,0.3333333333333333
10,Computer security,Computer network,1,0.18965517241379315
11,Information management,Data mining,1,0.632183908045977
12,Algorithm,Discrete mathematics,1,-0.4
13,Combinatorial optimization,Algorithm,1,0.9
14,Systems programming,Microarchitecture,1,0.0
15,Translator (computing),Discrete mathematics,1,0.0
16,Natural language processing,Algorithm,1,0.25
17,Parallel processing (DSP implementation),Algorithm,1,1.0
18,Software quality management,Software engineering,1,0.0
19,Software engineering,Data structure,1,-0.07359307359307357
20,Distributed computing,Operating system,1,0.16666666666666663
21,Programming language,Algorithm,1,-0.2333333333333334
22,Systems programming,Data structure,1,0.0
23,Software project management,Software engineering,1,0.8787878787878788
24,Computer architecture,Microarchitecture,1,-0.9655172413793104
25,Software development,Software engineering,1,-0.3220779220779221
26,Systems programming,Assembly language,1,0.0
27,Mobile app development,Systems programming,1,0.0
28,Social network analysis,Algorithm,1,0.9
29,Theory of computation,Algorithm,1,0.30000000000000004
30,Artificial intelligence,Algorithm,1,0.20000000000000007
31,Database,Algorithm,1,0.15000000000000002
32,Computer security,Operating system,1,0.01839080459770115
33,Parallel processing (DSP implementation),Operating system,1,1.0
34,Computer-aided software engineering,Software engineering,1,0.6363636363636364
35,Parallel computing,Systems programming,1,0.0
36,Data mining,Data structure,1,0.06403940886699508
37,Distributed computing,Algorithm,1,0.4
38,Translator (computing),Algorithm,1,0.0
39,Computer graphics,Data structure,1,0.2571428571428572
40,Wireless network,Assembly language,1,0.0
41,Compiler,Programming language,1,-0.5555555555555556
42,Test automation,Software engineering,1,0.6363636363636364
43,Knowledge management,Artificial intelligence,1,0.21666666666666667
44,Computer network,Operating system,1,-0.1333333333333333
45,Wireless network,Microarchitecture,1,0.0
46,Database,Data structure,1,-0.0357142857142857
47,Network service,Computer network,1,0.24523809523809526
48,Object-oriented analysis and design,Software engineering,1,0.7196969696969697
49,Data warehouse,Database,1,0.90625
50,Data integration,Database,1,0.9375
51,Cloud computing,Computer network,1,0.8
52,Software metric,Software engineering,1,0.7696969696969698
53,Game theory,Theory of computation,1,0.25
54,Information retrieval,Algorithm,1,0.25
55,Software architecture,Software engineering,1,0.3522727272727273
56,Computer architecture,Assembly language,1,-0.3251231527093596
57,Software analytics,Software engineering,1,0.8
58,Artificial intelligence,Data structure,1,-0.26190476190476186
59,Modeling language,Object-oriented programming,1,0.32142857142857145
60,Algorithm,Data structure,1,-0.3142857142857143
61,Knowledge management,Information retrieval,1,0.25
62,Operating system,Systems programming,1,-1.0
63,Object-oriented design,Data structure,1,0.35714285714285715
64,Analysis of algorithms,Algorithm,1,0.3076923076923077
65,Cloud computing,Operating system,1,0.7333333333333334
66,Programming language,Translator (computing),1,-0.3333333333333333
67,Information security,Operating system,1,0.05555555555555558
68,Translator (computing),Data structure,1,0.3333333333333333
69,Object-oriented analysis and design,Object-oriented programming,1,0.6071428571428572
70,Knowledge management,Database,1,0.4375
71,Computer architecture,Operating system,1,-0.016091954022988464
72,Systems programming,Algorithm,1,1.0
73,Computer security,Information security,1,-0.03831417624521072
74,Graphical model,Artificial intelligence,1,0.65
75,Knowledge management,Data mining,1,0.46551724137931033
76,Software testing,Software engineering,1,0.20053475935828874
77,Mobile app development,Data structure,1,0.0
78,Modeling language,Software engineering,1,0.20454545454545459
79,Software development,Object-oriented programming,1,-0.2857142857142857
80,Object-oriented analysis and design,Object-oriented design,1,-0.25
81,Modeling language,Object-oriented design,1,-0.25
82,Compiler,Translator (computing),1,-0.3333333333333333
83,Object-oriented design,Algorithm,1,0.5
84,Robotics,Algorithm,1,0.4666666666666666
85,Data-intensive computing,Operating system,1,0.42857142857142855
86,Information security,Database,1,0.16087962962962965
87,Distributed object,Object-oriented programming,1,0.4
88,Mobile app development,Algorithm,1,1.0
89,Computational geometry,Algorithm,1,0.19310344827586212
90,Broadband networks,Computer network,1,1.0
91,Internet protocol suite,Computer network,1,0.9666666666666667
92,Wireless network,Computer network,1,0.9
93,Programming language,Discrete mathematics,1,-0.47777777777777775
94,Object-oriented programming,Algorithm,1,0.4428571428571429
95,Distributed computing,Systems programming,1,-1.0
96,Data mining,Algorithm,1,0.22413793103448276
97,Game theory,Algorithm,1,0.7
98,Parallel computing,Operating system,1,0.0
99,Cryptography,Algorithm,1,0.30000000000000004
100,Computational linguistics,Natural language processing,1,-0.018518518518518545
101,Software development,Object-oriented design,1,-0.9428571428571428
102,Machine learning,Algorithm,1,0.20645161290322578
103,Information management,Database,1,0.9375
104,Computer graphics,Algorithm,1,0.5
105,Object-oriented design,Object-oriented programming,1,0.7857142857142857
106,Programming language,Data structure,1,-0.15873015873015872
107,Distributed object,Computer graphics,0,0.2
108,Theory of computation,Object-oriented programming,0,-0.10714285714285715
109,Software project management,Translator (computing),0,0.0
110,Translator (computing),Data warehouse,0,0.0
111,Distributed computing,Compiler,0,-0.19999999999999996
112,Translator (computing),Parallel computing,0,0.3333333333333333
113,Broadband networks,Test automation,0,0.0
114,Machine learning,Software analytics,0,-0.8
115,Software engineering,Natural language processing,0,-0.04545454545454547
116,Computer security,Translator (computing),0,0.0
117,Distributed object,Algorithm,0,0.6
118,Algorithm,Knowledge management,0,-0.5
119,Software project management,Data-intensive computing,0,-0.14285714285714285
120,Algorithm,Computer architecture,0,-0.2931034482758621
121,Algorithm,Robotics,0,-0.4666666666666666
122,Computer-aided software engineering,Computer network,0,0.6333333333333333
123,Computational geometry,Information security,0,-0.0753512132822477
124,Discrete mathematics,Computer network,0,0.1333333333333333
125,Algorithm,Computer graphics,0,-0.5
126,Distributed object,Knowledge management,0,0.0
127,Object-oriented analysis and design,Operating system,0,0.375
128,Computer network,Data integration,0,-0.6333333333333333
129,Software testing,Computer network,0,0.5215686274509804
