,topic_a,topic_b,ground_truth,estimated
0,Network security,Computer network,1,0.3659276509222493
1,Network security,Algorithm,1,0.7871443597425756
2,Software engineering,Algorithm,1,0.9109184191639409
3,Information retrieval,Data structure,1,0.03297299455672465
4,Computer vision,Algorithm,1,0.9752526499663656
5,Distributed object,Object-oriented design,1,0.026302722518651834
6,Information management,Artificial intelligence,1,-0.004483351329838733
7,Object-oriented programming,Data structure,1,-0.3081562327157549
8,Software engineering,Database,1,0.8688373289636951
9,Information management,Information retrieval,1,0.10482660965513305
10,Computer security,Computer network,1,0.16402366226862408
11,Information management,Data mining,1,0.2954125937706817
12,Algorithm,Discrete mathematics,1,-0.9666690446505185
13,Combinatorial optimization,Algorithm,1,0.9968351184367965
14,Systems programming,Microarchitecture,1,0.0
15,Translator (computing),Discrete mathematics,1,0.0
16,Natural language processing,Algorithm,1,0.877555706281279
17,Parallel processing (DSP implementation),Algorithm,1,0.0
18,Software quality management,Software engineering,1,0.0
19,Software engineering,Data structure,1,0.09042248496695193
20,Distributed computing,Operating system,1,-0.5494066195698343
21,Programming language,Algorithm,1,-0.06497845683846115
22,Systems programming,Data structure,1,0.0
23,Software project management,Software engineering,1,0.19224670537329758
24,Computer architecture,Microarchitecture,1,-0.7003801382051338
25,Software development,Software engineering,1,-0.23162397715222083
26,Systems programming,Assembly language,1,0.0
27,Mobile app development,Systems programming,1,0.0
28,Social network analysis,Algorithm,1,0.9968351184367965
29,Theory of computation,Algorithm,1,0.05136881890204947
30,Artificial intelligence,Algorithm,1,-0.23465934647059772
31,Database,Algorithm,1,0.8705325976505707
32,Computer security,Operating system,1,-0.15205461976488666
33,Parallel processing (DSP implementation),Operating system,1,0.0
34,Computer-aided software engineering,Software engineering,1,0.320225530146358
35,Parallel computing,Systems programming,1,0.0
36,Data mining,Data structure,1,0.4210888816258561
37,Distributed computing,Algorithm,1,0.909365560530671
38,Translator (computing),Algorithm,1,0.0
39,Computer graphics,Data structure,1,-0.0032522853328718
40,Wireless network,Assembly language,1,0.0
41,Compiler,Programming language,1,0.0
42,Test automation,Software engineering,1,0.7850663024647981
43,Knowledge management,Artificial intelligence,1,0.011493506840266812
44,Computer network,Operating system,1,-0.2892553787446591
45,Wireless network,Microarchitecture,1,0.0
46,Database,Data structure,1,0.04488054044509937
47,Network service,Computer network,1,0.19167846327089355
48,Object-oriented analysis and design,Software engineering,1,0.596682653255844
49,Data warehouse,Database,1,0.1631291952796582
50,Data integration,Database,1,0.9556429272334916
51,Cloud computing,Computer network,1,0.730578541860798
52,Software metric,Software engineering,1,0.8776072288638049
53,Game theory,Theory of computation,1,0.5729771531058812
54,Information retrieval,Algorithm,1,0.11194953799715954
55,Software architecture,Software engineering,1,0.01797663834052876
56,Computer architecture,Assembly language,1,-0.5235172533939609
57,Software analytics,Software engineering,1,0.9803768352552242
58,Artificial intelligence,Data structure,1,0.017377305822551356
59,Modeling language,Object-oriented programming,1,0.11812874127906703
60,Algorithm,Data structure,1,-0.004751267218059185
61,Knowledge management,Information retrieval,1,-0.021525820715625345
62,Operating system,Systems programming,1,0.0
63,Object-oriented design,Data structure,1,0.46127310836526636
64,Analysis of algorithms,Algorithm,1,0.001879116879438536
65,Cloud computing,Operating system,1,0.130053362321652
66,Programming language,Translator (computing),1,-0.14351851480841954
67,Information security,Operating system,1,-0.07913769370380941
68,Translator (computing),Data structure,1,0.14351851480841954
