,topic_a,topic_b,ground_truth,estimated
0,Algebraic number theory,Abstract algebra,1,-0.1558441558441559
1,Analytical mechanics,Ordinary differential equation,1,-0.14285714285714285
2,Mathematical model,Fourier series,1,0.14285714285714285
3,Linear programming,Multivariable calculus,1,0.0
4,Numerical analysis,Matrix (mathematics),1,-0.5424836601307189
5,Vector calculus,Calculus,1,0.7121212121212122
6,Mathematical statistics,Probability theory,1,0.09696969696969693
7,Fourier series,Ordinary differential equation,1,0.047619047619047616
8,Analytical mechanics,Partial differential equation,1,0.24615384615384617
9,Analytic geometry,Algebra,1,0.41666666666666663
10,Differentiable manifold,Topological space,1,-0.15873015873015872
11,Fourier analysis,Fourier series,1,-0.4444444444444444
12,Finite element method,Complex analysis,1,0.45454545454545453
13,Real analysis,Mathematical analysis,1,0.0
14,Wavelet,Partial differential equation,1,0.2564102564102564
15,Ordinary differential equation,Fourier series,1,-0.047619047619047616
16,Ordinary differential equation,Calculus,1,0.5627705627705628
17,Mathematical analysis,Discrete mathematics,1,-0.10789473684210527
18,Ordinary differential equation,Vector calculus,1,-0.5
19,Topological space,Topology,1,0.65625
20,Wavelet,Real analysis,1,0.26666666666666666
21,Von Neumann algebra,Functional analysis,1,0.567741935483871
22,Linear programming,Matrix (mathematics),1,0.31092436974789917
23,Linear programming,Vector calculus,1,-0.16666666666666666
24,Differential equation,Calculus,1,0.03832442067736186
25,Numerical linear algebra,Matrix (mathematics),1,0.0980392156862745
26,Partial differential equation,Calculus,1,0.372960372960373
27,Commutative algebra,Abstract algebra,1,0.5037878787878788
28,Approximation theory,Numerical analysis,1,-0.1111111111111111
29,Fourier analysis,Partial differential equation,1,0.10256410256410253
30,Complex analysis,Real analysis,1,0.15000000000000002
31,Computability theory,Mathematical logic,1,0.6000000000000001
32,Lie theory,Differentiable manifold,1,0.25806451612903225
33,Numerical linear algebra,Numerical analysis,1,0.75
34,Orthogonal polynomials,Partial differential equation,1,0.5
35,Orthogonal polynomials,Ordinary differential equation,1,0.0
36,Numerical analysis,Vector calculus,1,-0.611111111111111
37,Statistics,Trigonometry,1,-0.7241379310344828
38,Matrix (mathematics),Analytic geometry,1,0.1470588235294118
39,Numerical linear algebra,Linear algebra,1,0.7476190476190476
40,Fourier series,Partial differential equation,1,0.43589743589743585
41,Complex analysis,Vector calculus,1,-0.375
42,Complex analysis,Mathematical analysis,1,0.30000000000000004
43,Trigonometry,Algebra,1,0.9310344827586207
44,Metric (mathematics),Topology,1,0.5104166666666666
45,Differential topology,Differentiable manifold,1,-0.1428571428571429
46,Analytic geometry,Trigonometry,1,-0.7241379310344828
47,Number theory,Complex analysis,1,-0.03125
48,Matrix (mathematics),Calculus,1,0.641711229946524
49,Multivariable calculus,Calculus,1,0.5930735930735931
50,C*-algebra,Functional analysis,1,0.6175115207373272
51,Probability theory,Mathematical analysis,1,0.15227272727272734
52,Differential geometry,Differentiable manifold,1,-0.4789915966386555
53,Wavelet,Fourier series,1,0.0
54,Fourier series,Vector calculus,1,-0.3333333333333333
55,Discrete mathematics,Calculus,1,0.05183413078149923
56,Mathematical logic,Abstract algebra,1,0.1272727272727272
57,Analytic number theory,Complex analysis,1,0.17500000000000004
58,Mathematical statistics,Calculus,1,0.16060606060606064
59,Probability theory,Calculus,1,0.09090909090909094
60,Stochastic process,Probability theory,1,0.5795454545454545
61,Calculus,Analytic geometry,1,-0.36363636363636365
62,Differential topology,Multivariable calculus,1,-0.14285714285714285
63,Von Neumann algebra,Group theory,1,0.2
64,Numerical analysis,Calculus,1,0.08838383838383834
65,Von Neumann algebra,Linear algebra,1,0.4
66,Algebraic geometry,Field (mathematics),1,-0.4834558823529411
67,Lie theory,Algebra,1,0.9077060931899641
68,Multiscale modeling,Linear algebra,1,0.5
69,Commutative algebra,Linear algebra,1,0.38571428571428573
70,Ergodic theory,Partial differential equation,1,0.012820512820512803
71,Finite element method,Matrix (mathematics),1,-0.053475935828877
72,Finite element method,Functional analysis,1,0.5718475073313782
73,Ergodic theory,Vector calculus,1,0.0
74,Complex analysis,Multivariable calculus,1,-0.2857142857142857
75,Mathematical analysis,Vector calculus,0,-0.6166666666666666
76,Numerical analysis,Ordinary differential equation,0,-0.5753968253968254
77,Computability theory,K-theory,0,0.0
78,Wavelet,Complex analysis,0,0.3333333333333333
79,Mathematical model,Mathematical logic,0,0.11904761904761904
80,Partial differential equation,General relativity,0,-0.17948717948717946
81,Topological space,Calculus,0,0.2828282828282829
82,Abstract algebra,Lie theory,0,-0.7116324535679375
83,General relativity,Differential topology,0,-0.09523809523809523
84,Linear programming,Trigonometry,0,-0.13793103448275862
85,Coding theory,Mathematical optimization,0,0.7941176470588236
86,Ergodic theory,Mathematical model,0,0.19047619047619047
87,Multivariable calculus,Set theory,0,0.3285714285714285
88,Numerical linear algebra,Commutative algebra,0,0.16666666666666666
89,Primality test,Mathematical model,0,0.0
90,Mathematical optimization,Fourier series,0,0.14705882352941177
91,K-theory,Calculus,0,0.3090909090909091
92,Orthogonal polynomials,Primality test,0,0.0
93,Statistics,Commutative algebra,0,-0.275
94,Mathematical logic,Differentiable manifold,0,-0.33809523809523806
95,Lie theory,Discrete mathematics,0,0.6511035653650254
96,Orthogonal polynomials,Number theory,0,-0.0625
97,Approximation theory,Functional analysis,0,-0.12903225806451613
98,Discrete mathematics,Statistics,0,-0.06140350877192979
99,Wavelet,Topology,0,0.2708333333333333
100,Vector calculus,Algebraic topology,0,0.5
101,Analytical mechanics,Algebraic geometry,0,0.36875
102,Combinatorics,Statistics,0,-0.10952380952380958
103,Computability theory,Set theory,0,0.6666666666666667
104,Abstract algebra,Trigonometry,0,-0.7586206896551724
105,Differential equation,Stochastic process,0,-0.5563725490196079
106,Algebra,Vector calculus,0,-0.4444444444444444
107,Fourier series,Analytical mechanics,0,-0.4
108,Differential geometry,Mathematical optimization,0,-0.2058823529411764
109,Abstract algebra,Differential equation,0,0.018716577540106916
110,Special relativity,Fourier series,0,0.0
111,K-theory,Ordinary differential equation,0,-0.14285714285714285
112,Differential geometry,Discrete mathematics,0,-0.09597523219814241
113,K-theory,Commutative algebra,0,-0.3
114,Differentiable manifold,Linear algebra,0,0.34285714285714286
115,Discrete mathematics,Algebra,0,0.26023391812865493
116,Number theory,Numerical linear algebra,0,-0.7395833333333334
117,Discrete mathematics,Fourier series,0,0.21052631578947367
118,Complex analysis,Mathematical statistics,0,-0.23333333333333328
119,Coding theory,Special relativity,0,-0.2
120,Calculus,Stochastic process,0,-0.5378787878787878
121,Stochastic process,Fourier analysis,0,-0.04166666666666663
122,Analytic number theory,Statistics,0,0.033333333333333326
123,Approximation theory,Multiscale modeling,0,0.0
124,Von Neumann algebra,Analytic geometry,0,0.4
125,Factorization,Set theory,0,0.13333333333333336
126,Mathematical model,Stochastic process,0,-0.10714285714285715
127,Algebra,Wavelet,0,-0.2777777777777778
128,Approximation theory,Fourier series,0,1.0
129,Topological space,Differential equation,0,0.40196078431372545
130,Differential equation,Fourier analysis,0,-0.4313725490196078
131,Operations research,Lie theory,0,-0.3225806451612903
132,Fourier series,Numerical linear algebra,0,0.0
133,Differentiable manifold,Fourier analysis,0,0.0
134,Trigonometry,Stochastic process,0,0.20689655172413793
135,Linear algebra,Real analysis,0,0.09523809523809523
