,topic_a,topic_b,ground_truth,estimated
0,Algebraic number theory,Abstract algebra,1,-0.4721015751323358
1,Analytical mechanics,Ordinary differential equation,1,-0.006949409182756798
2,Mathematical model,Fourier series,1,0.0784799350409189
3,Linear programming,Multivariable calculus,1,0.0
4,Numerical analysis,Matrix (mathematics),1,-0.7295492065891415
5,Vector calculus,Calculus,1,0.21605364819852824
6,Mathematical statistics,Probability theory,1,0.1840179853351538
7,Fourier series,Ordinary differential equation,1,-0.16742107273036555
8,Analytical mechanics,Partial differential equation,1,0.664610801686135
9,Analytic geometry,Algebra,1,0.266440333272282
10,Differentiable manifold,Topological space,1,-0.6049568249442596
11,Fourier analysis,Fourier series,1,-0.21128174400352717
12,Finite element method,Complex analysis,1,0.09122837901628972
13,Real analysis,Mathematical analysis,1,-0.10159801083153086
14,Wavelet,Partial differential equation,1,-0.010106960307299826
15,Ordinary differential equation,Fourier series,1,0.16742107273036555
16,Ordinary differential equation,Calculus,1,0.7444833325566124
17,Mathematical analysis,Discrete mathematics,1,-0.1924512934532091
18,Ordinary differential equation,Vector calculus,1,-0.046533770448461215
19,Topological space,Topology,1,0.28371283653552604
20,Wavelet,Real analysis,1,-0.023055541603930373
21,Von Neumann algebra,Functional analysis,1,-0.024519370003415905
22,Linear programming,Matrix (mathematics),1,0.7020887841804189
23,Linear programming,Vector calculus,1,-0.00852333855954517
24,Differential equation,Calculus,1,-0.6622728025550657
25,Numerical linear algebra,Matrix (mathematics),1,0.525040619862414
26,Partial differential equation,Calculus,1,0.6468524592800554
27,Commutative algebra,Abstract algebra,1,0.5362515494332651
28,Approximation theory,Numerical analysis,1,-0.06333808706292553
29,Fourier analysis,Partial differential equation,1,0.7036056914923609
30,Complex analysis,Real analysis,1,0.2836844376990093
31,Computability theory,Mathematical logic,1,0.11226975265732386
32,Lie theory,Differentiable manifold,1,0.5382411112739951
33,Numerical linear algebra,Numerical analysis,1,0.884476102554495
34,Orthogonal polynomials,Partial differential equation,1,0.03530152809597574
35,Orthogonal polynomials,Ordinary differential equation,1,0.0
36,Numerical analysis,Vector calculus,1,-0.2324887711920831
37,Statistics,Trigonometry,1,-0.7408440243997743
38,Matrix (mathematics),Analytic geometry,1,-0.002003457963398847
39,Numerical linear algebra,Linear algebra,1,0.38124482601130316
40,Fourier series,Partial differential equation,1,0.9330874984351102
41,Complex analysis,Vector calculus,1,-0.20835710451155287
42,Complex analysis,Mathematical analysis,1,0.2553448434378537
43,Trigonometry,Algebra,1,0.8545470242567746
44,Metric (mathematics),Topology,1,-0.0038572328390494848
45,Differential topology,Differentiable manifold,1,0.029917919538807958
46,Analytic geometry,Trigonometry,1,-0.7408440243997743
47,Number theory,Complex analysis,1,-0.38637754775895083
48,Matrix (mathematics),Calculus,1,0.7513221645005492
49,Multivariable calculus,Calculus,1,0.1388927739523419
50,C*-algebra,Functional analysis,1,0.24835664460718365
51,Probability theory,Mathematical analysis,1,0.12978476129156424
52,Differential geometry,Differentiable manifold,1,-0.1904888848389259
