,topic_a,topic_b
0,Network security,Computer network
1,Network security,Algorithm
2,Software engineering,Algorithm
3,Information retrieval,Data structure
4,Computer vision,Algorithm
5,Distributed object,Object-oriented design
6,Information management,Artificial intelligence
7,Object-oriented programming,Data structure
8,Software engineering,Database
9,Information management,Information retrieval
10,Computer security,Computer network
11,Information management,Data mining
12,Algorithm,Discrete mathematics
13,Combinatorial optimization,Algorithm
14,Systems programming,Microarchitecture
15,Translator (computing),Discrete mathematics
16,Natural language processing,Algorithm
17,Parallel processing (DSP implementation),Algorithm
18,Software quality management,Software engineering
19,Software engineering,Data structure
20,Distributed computing,Operating system
21,Programming language,Algorithm
22,Systems programming,Data structure
23,Software project management,Software engineering
24,Computer architecture,Microarchitecture
25,Software development,Software engineering
26,Systems programming,Assembly language
27,Mobile app development,Systems programming
28,Social network analysis,Algorithm
30,Theory of computation,Algorithm
31,Artificial intelligence,Algorithm
32,Database,Algorithm
33,Computer security,Operating system
34,Parallel processing (DSP implementation),Operating system
35,Computer-aided software engineering,Software engineering
36,Parallel computing,Systems programming
37,Data mining,Data structure
38,Distributed computing,Algorithm
39,Translator (computing),Algorithm
40,Computer graphics,Data structure
41,Wireless network,Assembly language
42,Compiler,Programming language
43,Test automation,Software engineering
44,Knowledge management,Artificial intelligence
45,Computer network,Operating system
46,Wireless network,Microarchitecture
47,Database,Data structure
48,Network service,Computer network
49,Object-oriented analysis and design,Software engineering
50,Data warehouse,Database
51,Data integration,Database
52,Cloud computing,Computer network
53,Software metric,Software engineering
54,Game theory,Theory of computation
55,Information retrieval,Algorithm
56,Software architecture,Software engineering
57,Computer architecture,Assembly language
58,Software analytics,Software engineering
59,Artificial intelligence,Data structure
60,Modeling language,Object-oriented programming
61,Algorithm,Data structure
62,Knowledge management,Information retrieval
63,Operating system,Systems programming
64,Object-oriented design,Data structure
65,Analysis of algorithms,Algorithm
66,Cloud computing,Operating system
67,Programming language,Translator (computing)
68,Information security,Operating system
69,Translator (computing),Data structure
70,Object-oriented analysis and design,Object-oriented programming
71,Knowledge management,Database
72,Computer architecture,Operating system
73,Systems programming,Algorithm
74,Computer security,Information security
75,Graphical model,Artificial intelligence
76,Knowledge management,Data mining
77,Software testing,Software engineering
78,Mobile app development,Data structure
79,Modeling language,Software engineering
80,Software development,Object-oriented programming
81,Object-oriented analysis and design,Object-oriented design
82,Modeling language,Object-oriented design
83,Compiler,Translator (computing)
84,Object-oriented design,Algorithm
85,Robotics,Algorithm
86,Data-intensive computing,Operating system
87,Information security,Database
88,Distributed object,Object-oriented programming
89,Mobile app development,Algorithm
90,Computational geometry,Algorithm
91,Broadband networks,Computer network
92,Internet protocol suite,Computer network
93,Wireless network,Computer network
94,Programming language,Discrete mathematics
95,Object-oriented programming,Algorithm
96,Distributed computing,Systems programming
97,Data mining,Algorithm
98,Game theory,Algorithm
99,Parallel computing,Operating system
100,Cryptography,Algorithm
101,Computational linguistics,Natural language processing
102,Software development,Object-oriented design
103,Machine learning,Algorithm
104,Information management,Database
105,Computer graphics,Algorithm
106,Object-oriented design,Object-oriented programming
107,Programming language,Data structure
