,topic_a,topic_b
0,Network service,Information management
1,Network service,Software development
2,Network service,Parallel computing
3,Test automation,Network service
4,Network service,Information security
5,Software project management,Network service
6,Network service,Distributed computing
7,Software metric,Network service
8,Network service,Computer graphics
9,Cloud computing,Network service
10,Network security,Network service
11,Software testing,Network service
12,Information retrieval,Network service
13,Knowledge management,Network service
14,Microarchitecture,Network service
15,Network service,Compiler construction
16,Network service,Analysis of algorithms
17,Game theory,Network service
18,Software engineering,Network service
19,Distributed object,Network service
20,Network service,Computational geometry
21,Natural language processing,Network service
22,Network service,Object-oriented design
23,Robotics,Network service
24,Assembly language,Network service
25,Network service,Database
26,Mobile application development,Network service
27,Network service,Programming language
28,Combinatorial optimization,Network service
29,Network service,Algorithm design
30,Computer-aided software engineering,Network service
31,Graphical model,Network service
32,Network service,Machine learning
33,Software analytics,Network service
34,Object-oriented programming,Network service
35,Network service,Discrete mathematics
36,Network service,Operating system
37,Broadband networks,Network service
38,Data warehouse,Network service
39,Network service,Computer vision
40,Network service,Modeling language
41,System programming,Network service
42,Network service,Algorithm
43,Software architecture,Network service
44,Network service,Computer network
45,Network service,Data structure
46,Social network analysis,Network service
47,Computational linguistics,Network service
48,Network service,Theory of computation
49,Internet protocol suite,Network service
50,Data integration,Network service
51,Network service,Artificial intelligence
52,Wireless network,Network service
53,Object-oriented analysis and design,Network service
54,Network service,Computer architecture
55,Network service,Data mining
56,Network service,Translator (computing)
57,Network service,Computer security
58,Network service,Information management
59,Software development,Information management
60,Information security,Information management
61,Software testing,Information management
62,Information management,Information retrieval
63,Information management,Knowledge management
64,Analysis of algorithms,Information management
65,Software engineering,Information management
66,Computational geometry,Information management
67,Information management,Database
68,Programming language,Information management
69,Computer-aided software engineering,Information management
70,Machine learning,Information management
71,Object-oriented programming,Information management
72,Operating system,Information management
73,Information management,Data warehouse
74,Software architecture,Information management
75,Computer network,Information management
76,Information management,Data structure
77,Information management,Social network analysis
78,Information management,Computational linguistics
79,Information management,Data integration
80,Artificial intelligence,Information management
81,Computer architecture,Information management
82,Information management,Data mining
83,Computer security,Information management
84,Network service,Software development
85,Software development,Information management
86,Parallel computing,Software development
87,Test automation,Software development
88,Information security,Software development
89,Software project management,Software development
90,Data-intensive computing,Software development
91,Distributed computing,Software development
92,Software metric,Software development
93,Software development,Computer graphics
94,Cloud computing,Software development
95,Network security,Software development
96,Software testing,Software development
97,Information retrieval,Software development
98,Knowledge management,Software development
99,Microarchitecture,Software development
100,Analysis of algorithms,Software development
101,Game theory,Software development
102,Software engineering,Software development
103,Distributed object,Software development
104,Natural language processing,Software development
105,Object-oriented design,Software development
106,Robotics,Software development
107,Assembly language,Software development
108,Software development,Database
109,Mobile application development,Software development
110,Software development,Programming language
111,Combinatorial optimization,Software development
112,Software development,Algorithm design
113,Computer-aided software engineering,Software development
114,Graphical model,Software development
115,Machine learning,Software development
116,Software analytics,Software development
117,Object-oriented programming,Software development
118,Software development,Discrete mathematics
119,Operating system,Software development
120,Broadband networks,Software development
121,Data warehouse,Software development
122,Software development,Computer vision
123,Modeling language,Software development
124,System programming,Software development
125,Software development,Algorithm
126,Software architecture,Software development
127,Software development,Computer network
128,Data structure,Software development
129,Cryptography,Software development
130,Social network analysis,Software development
131,Computational linguistics,Software development
132,Software development,Theory of computation
133,Internet protocol suite,Software development
134,Data integration,Software development
135,Wireless network,Software development
136,Object-oriented analysis and design,Software development
137,Computer architecture,Software development
138,Data mining,Software development
139,Software development,Translator (computing)
140,Computer security,Software development
141,Network service,Parallel computing
142,Parallel computing,Software development
143,Test automation,Parallel computing
144,Information security,Parallel computing
145,Software project management,Parallel computing
146,Data-intensive computing,Parallel computing
147,Software metric,Parallel computing
148,Parallel computing,Computer graphics
149,Cloud computing,Parallel computing
150,Network security,Parallel computing
151,Software testing,Parallel computing
152,Information retrieval,Parallel computing
153,Knowledge management,Parallel computing
154,Microarchitecture,Parallel computing
155,Parallel computing,Compiler construction
156,Game theory,Parallel computing
157,Software engineering,Parallel computing
158,Distributed object,Parallel computing
159,Parallel computing,Computational geometry
160,Natural language processing,Parallel computing
161,Object-oriented design,Parallel computing
162,Robotics,Parallel computing
163,Assembly language,Parallel computing
164,Parallel computing,Database
165,Mobile application development,Parallel computing
166,Parallel computing,Programming language
167,Combinatorial optimization,Parallel computing
168,Parallel computing,Algorithm design
169,Computer-aided software engineering,Parallel computing
170,Graphical model,Parallel computing
171,Parallel computing,Machine learning
