,topic_a,topic_b,ground_truth,estimated
0,Network security,Computer network,1,0.5357142857142857
1,Network security,Algorithm,1,0.5
2,Software engineering,Algorithm,1,0.48125
3,Information retrieval,Data structure,1,0.16666666666666666
4,Computer vision,Algorithm,1,0.5
5,Distributed object,Object-oriented design,1,0.25
6,Information management,Artificial intelligence,1,-0.034482758620689655
7,Object-oriented programming,Data structure,1,-0.3589743589743589
8,Software engineering,Database,1,0.24193548387096775
9,Information management,Information retrieval,1,0.0
10,Computer security,Computer network,1,0.16798941798941802
11,Information management,Data mining,1,0.6309523809523809
12,Algorithm,Discrete mathematics,1,-0.275
13,Combinatorial optimization,Algorithm,1,0.9
14,Systems programming,Microarchitecture,1,0.0
15,Translator (computing),Discrete mathematics,1,0.0
16,Natural language processing,Algorithm,1,0.25
17,Parallel processing (DSP implementation),Algorithm,1,1.0
18,Software quality management,Software engineering,1,0.0
19,Software engineering,Data structure,1,-0.14583333333333331
20,Distributed computing,Operating system,1,0.11494252873563215
21,Programming language,Algorithm,1,-0.17500000000000004
22,Systems programming,Data structure,1,0.0
23,Software project management,Software engineering,1,0.40625
24,Computer architecture,Microarchitecture,1,-0.6666666666666666
25,Software development,Software engineering,1,-0.2585227272727273
26,Systems programming,Assembly language,1,0.0
27,Mobile app development,Systems programming,1,0.0
28,Social network analysis,Algorithm,1,1.0
29,Theory of computation,Algorithm,1,0.050000000000000044
30,Artificial intelligence,Algorithm,1,0.19310344827586212
31,Database,Algorithm,1,0.17419354838709677
32,Computer security,Operating system,1,0.003831417624521105
33,Parallel processing (DSP implementation),Operating system,1,1.0
34,Computer-aided software engineering,Software engineering,1,0.46875
35,Parallel computing,Systems programming,1,0.0
36,Data mining,Data structure,1,0.011904761904761918
37,Distributed computing,Algorithm,1,0.38888888888888884
38,Translator (computing),Algorithm,1,0.0
39,Computer graphics,Data structure,1,0.33333333333333337
40,Wireless network,Assembly language,1,0.0
41,Compiler,Programming language,1,-0.5
42,Test automation,Software engineering,1,0.46875
43,Knowledge management,Artificial intelligence,1,0.29885057471264365
