,topic_a,topic_b,ground_truth,estimated
0,Algebraic number theory,Abstract algebra,1,-0.393939393939394
1,Analytical mechanics,Ordinary differential equation,1,-0.14285714285714285
2,Mathematical model,Fourier series,1,0.16666666666666666
3,Linear programming,Multivariable calculus,1,0.0
4,Numerical analysis,Matrix (mathematics),1,-0.5277777777777778
5,Vector calculus,Calculus,1,0.5375
6,Mathematical statistics,Probability theory,1,0.06788793103448276
7,Fourier series,Ordinary differential equation,1,0.2142857142857143
8,Analytical mechanics,Partial differential equation,1,0.33333333333333337
9,Analytic geometry,Algebra,1,0.4117647058823529
10,Differentiable manifold,Topological space,1,-0.3
11,Fourier analysis,Fourier series,1,-0.3888888888888889
12,Finite element method,Complex analysis,1,0.5714285714285714
13,Real analysis,Mathematical analysis,1,-0.03157894736842104
14,Wavelet,Partial differential equation,1,0.4166666666666667
15,Ordinary differential equation,Fourier series,1,-0.2142857142857143
16,Ordinary differential equation,Calculus,1,0.4464285714285714
17,Mathematical analysis,Discrete mathematics,1,-0.096728307254623
18,Ordinary differential equation,Vector calculus,1,-0.4
19,Topological space,Topology,1,0.5524193548387097
20,Wavelet,Real analysis,1,0.43333333333333335
21,Von Neumann algebra,Functional analysis,1,0.5666666666666667
22,Linear programming,Matrix (mathematics),1,0.20833333333333331
23,Linear programming,Vector calculus,1,-0.2
24,Differential equation,Calculus,1,0.09375
25,Numerical linear algebra,Matrix (mathematics),1,-0.04999999999999999
26,Partial differential equation,Calculus,1,0.36458333333333337
27,Commutative algebra,Abstract algebra,1,0.33766233766233766
28,Approximation theory,Numerical analysis,1,-0.1111111111111111
29,Fourier analysis,Partial differential equation,1,0.16666666666666666
30,Complex analysis,Real analysis,1,0.11428571428571432
31,Computability theory,Mathematical logic,1,0.6000000000000001
32,Lie theory,Differentiable manifold,1,0.2
33,Numerical linear algebra,Numerical analysis,1,0.7166666666666667
34,Orthogonal polynomials,Partial differential equation,1,0.0
35,Orthogonal polynomials,Ordinary differential equation,1,0.0
36,Numerical analysis,Vector calculus,1,-0.7444444444444445
37,Statistics,Trigonometry,1,-0.6896551724137931
38,Matrix (mathematics),Analytic geometry,1,0.2916666666666667
39,Numerical linear algebra,Linear algebra,1,0.7142857142857143
40,Fourier series,Partial differential equation,1,0.33333333333333337
41,Complex analysis,Vector calculus,1,-0.45714285714285713
42,Complex analysis,Mathematical analysis,1,0.25187969924812026
43,Trigonometry,Algebra,1,0.6896551724137931
44,Metric (mathematics),Topology,1,0.3709677419354839
45,Differential topology,Differentiable manifold,1,0.06666666666666665
46,Analytic geometry,Trigonometry,1,-0.7241379310344828
47,Number theory,Complex analysis,1,0.004464285714285698
48,Matrix (mathematics),Calculus,1,0.5625
49,Multivariable calculus,Calculus,1,0.65625
50,C*-algebra,Functional analysis,1,0.3
51,Probability theory,Mathematical analysis,1,0.14473684210526316
52,Differential geometry,Differentiable manifold,1,-0.41818181818181815
53,Wavelet,Fourier series,1,0.0
54,Fourier series,Vector calculus,1,-0.4
55,Discrete mathematics,Calculus,1,0.054898648648648685
56,Mathematical logic,Abstract algebra,1,0.1272727272727272
57,Analytic number theory,Complex analysis,1,0.1785714285714286
58,Mathematical statistics,Calculus,1,0.13038793103448276
59,Probability theory,Calculus,1,0.09375
60,Stochastic process,Probability theory,1,0.7008928571428571
61,Calculus,Analytic geometry,1,-0.04166666666666663
62,Differential topology,Multivariable calculus,1,-0.08333333333333334
63,Von Neumann algebra,Group theory,1,0.2
64,Numerical analysis,Calculus,1,0.04513888888888884
65,Von Neumann algebra,Linear algebra,1,0.4
66,Algebraic geometry,Field (mathematics),1,-0.4086021505376344
67,Lie theory,Algebra,1,0.6372549019607843
68,Multiscale modeling,Linear algebra,1,0.5
69,Commutative algebra,Linear algebra,1,0.45714285714285713
70,Ergodic theory,Partial differential equation,1,0.11666666666666668
71,Finite element method,Matrix (mathematics),1,-0.04464285714285715
72,Finite element method,Functional analysis,1,0.6476190476190476
73,Ergodic theory,Vector calculus,1,0.0
74,Complex analysis,Multivariable calculus,1,-0.25
75,Mathematical analysis,Vector calculus,0,-0.7473684210526317
76,Numerical analysis,Ordinary differential equation,0,-0.5753968253968254
77,Computability theory,K-theory,0,0.0
78,Wavelet,Complex analysis,0,0.5
79,Mathematical model,Mathematical logic,0,0.19999999999999998
80,Partial differential equation,General relativity,0,-0.23333333333333336
81,Topological space,Calculus,0,0.21875
82,Abstract algebra,Lie theory,0,-0.703030303030303
83,General relativity,Differential topology,0,-0.3
84,Linear programming,Trigonometry,0,-0.13793103448275862
85,Coding theory,Mathematical optimization,0,0.0
86,Ergodic theory,Mathematical model,0,0.2
87,Multivariable calculus,Set theory,0,0.39655172413793105
88,Numerical linear algebra,Commutative algebra,0,0.0
89,Primality test,Mathematical model,0,0.0
90,Mathematical optimization,Fourier series,0,0.14705882352941177
91,K-theory,Calculus,0,0.28125
92,Orthogonal polynomials,Primality test,0,0.0
93,Statistics,Commutative algebra,0,-0.3251231527093596
94,Mathematical logic,Differentiable manifold,0,-0.2
95,Lie theory,Discrete mathematics,0,0.6396396396396395
96,Orthogonal polynomials,Number theory,0,0.0
97,Approximation theory,Functional analysis,0,-0.13333333333333333
98,Discrete mathematics,Statistics,0,-0.0605778191985088
99,Wavelet,Topology,0,0.43548387096774194
100,Vector calculus,Algebraic topology,0,0.6
101,Analytical mechanics,Algebraic geometry,0,0.21774193548387097
102,Combinatorics,Statistics,0,-0.10649087221095332
103,Computability theory,Set theory,0,0.5931034482758621
104,Abstract algebra,Trigonometry,0,-0.7586206896551724
