,topic_a,topic_b,ground_truth,estimated
0,Algebraic number theory,Abstract algebra,1,-0.472101575132336
1,Analytical mechanics,Ordinary differential equation,1,-0.006949409182756798
2,Mathematical model,Fourier series,1,0.0784799350409189
3,Linear programming,Multivariable calculus,1,0.0
4,Numerical analysis,Matrix (mathematics),1,-0.7295492065891417
5,Vector calculus,Calculus,1,0.014770432784442344
6,Mathematical statistics,Probability theory,1,0.18401798533515368
7,Fourier series,Ordinary differential equation,1,-0.16742107273036555
8,Analytical mechanics,Partial differential equation,1,0.6646108016861348
9,Analytic geometry,Algebra,1,-0.39300000703294063
10,Differentiable manifold,Topological space,1,-0.6049568249442596
11,Fourier analysis,Fourier series,1,-0.8939128962968008
12,Finite element method,Complex analysis,1,0.09122837901628969
13,Real analysis,Mathematical analysis,1,-0.10159801083153108
14,Wavelet,Partial differential equation,1,-0.010106960307299826
15,Ordinary differential equation,Fourier series,1,0.16742107273036555
16,Ordinary differential equation,Calculus,1,0.7361091387720314
17,Mathematical analysis,Discrete mathematics,1,-0.1924512934532091
18,Ordinary differential equation,Vector calculus,1,-0.02341848495485082
19,Topological space,Topology,1,-0.5566370680329065
20,Wavelet,Real analysis,1,-0.023055541603930366
21,Von Neumann algebra,Functional analysis,1,-0.02451937000341589
22,Linear programming,Matrix (mathematics),1,0.7020887841804189
23,Linear programming,Vector calculus,1,-0.008523338559545172
24,Differential equation,Calculus,1,-0.6605121501773772
25,Numerical linear algebra,Matrix (mathematics),1,0.525040619862414
26,Partial differential equation,Calculus,1,0.6745728228567964
27,Commutative algebra,Abstract algebra,1,0.5900837989473992
28,Approximation theory,Numerical analysis,1,-0.06333808706292553
29,Fourier analysis,Partial differential equation,1,0.7036056914923606
30,Complex analysis,Real analysis,1,0.2836844376990094
31,Computability theory,Mathematical logic,1,0.11226975265732408
32,Lie theory,Differentiable manifold,1,0.5382411112739952
33,Numerical linear algebra,Numerical analysis,1,0.884476102554495
34,Orthogonal polynomials,Partial differential equation,1,0.03530152809597574
35,Orthogonal polynomials,Ordinary differential equation,1,0.0
36,Numerical analysis,Vector calculus,1,-0.23248877119208317
37,Statistics,Trigonometry,1,-0.6875585785301975
38,Matrix (mathematics),Analytic geometry,1,-0.002003457963398958
39,Numerical linear algebra,Linear algebra,1,0.3812448260113032
40,Fourier series,Partial differential equation,1,0.947879682985999
41,Complex analysis,Vector calculus,1,-0.2083571045115529
42,Complex analysis,Mathematical analysis,1,0.2553448434378538
43,Trigonometry,Algebra,1,0.6217062595220825
44,Metric (mathematics),Topology,1,-0.27313629801900613
45,Differential topology,Differentiable manifold,1,0.029917919538807958
46,Analytic geometry,Trigonometry,1,-0.7408440243997744
47,Number theory,Complex analysis,1,-0.38637754775895083
48,Matrix (mathematics),Calculus,1,0.7281041994979673
49,Multivariable calculus,Calculus,1,-0.4901089720908501
50,C*-algebra,Functional analysis,1,0.33614002044525737
51,Probability theory,Mathematical analysis,1,0.12978476129156435
52,Differential geometry,Differentiable manifold,1,-0.1275608730025518
53,Wavelet,Fourier series,1,-0.05292106315178461
54,Fourier series,Vector calculus,1,-0.23109914144707583
55,Discrete mathematics,Calculus,1,-0.19791564356301716
56,Mathematical logic,Abstract algebra,1,0.19241830977820484
57,Analytic number theory,Complex analysis,1,0.043558042710347133
58,Mathematical statistics,Calculus,1,-0.00023425983842750853
59,Probability theory,Calculus,1,-0.16353898207490858
60,Stochastic process,Probability theory,1,0.8389591157572609
61,Calculus,Analytic geometry,1,0.05592873153464151
62,Differential topology,Multivariable calculus,1,-0.4193006126299343
63,Von Neumann algebra,Group theory,1,0.0
64,Numerical analysis,Calculus,1,-0.3387015737614998
65,Von Neumann algebra,Linear algebra,1,0.0
66,Algebraic geometry,Field (mathematics),1,-0.07746347916542295
67,Lie theory,Algebra,1,0.6788019384093447
68,Multiscale modeling,Linear algebra,1,1.0
69,Commutative algebra,Linear algebra,1,-0.2284318389663294
70,Ergodic theory,Partial differential equation,1,0.5896357036610891
71,Finite element method,Matrix (mathematics),1,-0.18022361887294572
72,Finite element method,Functional analysis,1,0.09547991921730159
73,Ergodic theory,Vector calculus,1,0.0
74,Complex analysis,Multivariable calculus,1,-0.6804626745886149
75,Mathematical analysis,Vector calculus,0,-0.08272545487984403
76,Numerical analysis,Ordinary differential equation,0,-0.6051356134411721
77,Computability theory,K-theory,0,0.0
78,Wavelet,Complex analysis,0,0.01540981971359474
79,Mathematical model,Mathematical logic,0,0.34156666190623364
80,Partial differential equation,General relativity,0,-0.7769048077834676
81,Topological space,Calculus,0,0.8754481550696092
82,Abstract algebra,Lie theory,0,-0.6819959480400717
83,General relativity,Differential topology,0,-0.45215517796651455
84,Linear programming,Trigonometry,0,-0.02551284503823485
85,Coding theory,Mathematical optimization,0,0.9610181780418567
86,Ergodic theory,Mathematical model,0,0.4991185400855255
87,Multivariable calculus,Set theory,0,0.6555378302108515
88,Numerical linear algebra,Commutative algebra,0,0.29226088726777144
89,Primality test,Mathematical model,0,0.0
90,Mathematical optimization,Fourier series,0,0.15360071845768258
91,K-theory,Calculus,0,0.1296563593382906
92,Orthogonal polynomials,Primality test,0,0.0
93,Statistics,Commutative algebra,0,-0.28415497206946705
94,Mathematical logic,Differentiable manifold,0,-0.5215966819913243
95,Lie theory,Discrete mathematics,0,0.8743248956783684
96,Orthogonal polynomials,Number theory,0,-0.08228609017339161
97,Approximation theory,Functional analysis,0,-0.00967454996531706
98,Discrete mathematics,Statistics,0,-0.21639538085143295
99,Wavelet,Topology,0,-0.0004548270343512108
100,Vector calculus,Algebraic topology,0,0.2403508114932228
101,Analytical mechanics,Algebraic geometry,0,0.17247451883998632
102,Combinatorics,Statistics,0,-0.19667800039293015
103,Computability theory,Set theory,0,-0.2421207921376911
104,Abstract algebra,Trigonometry,0,-0.7674867473345629
105,Differential equation,Stochastic process,0,-0.9757402801645928
106,Algebra,Vector calculus,0,-0.22762815541675915
107,Fourier series,Analytical mechanics,0,-0.17514916205118464
108,Differential geometry,Mathematical optimization,0,0.12921322698818027
109,Abstract algebra,Differential equation,0,0.4302666163680283
110,Special relativity,Fourier series,0,0.0
111,K-theory,Ordinary differential equation,0,0.0
112,Differential geometry,Discrete mathematics,0,-0.10851058707100569
113,K-theory,Commutative algebra,0,-0.10248516354575686
114,Differentiable manifold,Linear algebra,0,0.5269333126362556
115,Discrete mathematics,Algebra,0,-0.05514875454134316
116,Number theory,Numerical linear algebra,0,-0.914788357527397
117,Discrete mathematics,Fourier series,0,0.19231213477862338
118,Complex analysis,Mathematical statistics,0,-0.709654777667957
119,Coding theory,Special relativity,0,0.0
120,Calculus,Stochastic process,0,-0.8347457482680526
121,Stochastic process,Fourier analysis,0,0.8231923171342888
122,Analytic number theory,Statistics,0,0.01285353534773137
123,Approximation theory,Multiscale modeling,0,0.0
124,Von Neumann algebra,Analytic geometry,0,0.0
125,Factorization,Set theory,0,0.028436023397968475
126,Mathematical model,Stochastic process,0,0.3164667389369308
127,Algebra,Wavelet,0,-0.0001085191313052649
128,Approximation theory,Fourier series,0,0.0
129,Topological space,Differential equation,0,0.9133795423820418
130,Differential equation,Fourier analysis,0,0.22983344286979723
131,Operations research,Lie theory,0,-0.08661584383682104
132,Fourier series,Numerical linear algebra,0,0.0
133,Differentiable manifold,Fourier analysis,0,0.0
134,Trigonometry,Stochastic process,0,0.02036025235851289
135,Linear algebra,Real analysis,0,0.5448420208464659
136,Mathematical analysis,Analytic geometry,0,-0.433379191984955
137,Commutative algebra,Fourier series,0,0.0
138,Linear programming,C*-algebra,0,0.004127592628044915
139,Probability theory,Numerical linear algebra,0,-0.9201070241274099
140,Mathematical logic,Special relativity,0,0.009891410493400782
141,Special relativity,Numerical linear algebra,0,-0.05074574960128634
142,K-theory,Ergodic theory,0,-0.06603185024810551
143,Abstract algebra,Factorization,0,-0.01325151605560642
144,Algebraic geometry,C*-algebra,0,0.16723189281003845
145,Lie theory,Mathematical logic,0,0.8910552070797791
146,Vector calculus,Topological space,0,0.0
147,Complex analysis,Stochastic process,0,-0.13392203691881982
148,Mathematical model,Trigonometry,0,-0.21330969747961032
149,Calculus,Mathematical statistics,0,0.00023425983842750853
150,Differentiable manifold,Abstract algebra,0,0.2989357442541403
151,Mathematical analysis,Analytic number theory,0,-0.3044188213588842
152,Real analysis,Multivariable calculus,0,-0.5329510085443498
153,Algebraic geometry,Algebraic number theory,0,0.5219259325713631
154,Ergodic theory,Algebraic number theory,0,0.047969454305302056
155,Coding theory,Vector calculus,0,0.0
156,Analytical mechanics,Mathematical statistics,0,0.17514916205118464
157,Stochastic process,Lie theory,0,-0.05522365849204863
158,Numerical linear algebra,Mathematical logic,0,0.9208768000626172
159,Dynamical system,C*-algebra,0,0.003809287209087697
160,Numerical analysis,Number theory,0,0.07130555223186502
161,Differential geometry,Fourier series,0,0.14651688133987373
162,C*-algebra,Stochastic process,0,-0.0033975591154691187
163,Algebra,Discrete mathematics,0,0.05514875454134316
164,Discrete mathematics,Algebraic topology,0,0.25615746472996115
165,Von Neumann algebra,Number theory,0,0.012889751749610144
166,Differentiable manifold,Number theory,0,0.44440295332940555
167,Partial differential equation,Topology,0,0.4740135223382579
168,Fourier series,General relativity,0,-0.028454879862008498
169,Ordinary differential equation,Operations research,0,-0.0791983471771578
170,Lie theory,Mathematical analysis,0,0.824598735109926
171,Commutative algebra,Mathematical statistics,0,0.2569399405742906
172,Matrix (mathematics),Numerical analysis,0,0.7295492065891417
173,Algebraic number theory,Algebraic topology,0,-0.06947727563963702
174,Multivariable calculus,Abstract algebra,0,0.6601196281432363
175,Functional analysis,K-theory,0,-0.12962324227620803
176,Primality test,Field (mathematics),0,0.8775745776926183
177,Dynamical system,Trigonometry,0,-0.02664272293478843
178,Numerical linear algebra,Mathematical analysis,0,0.8879885256455083
179,C*-algebra,Field (mathematics),0,-0.36204086608390595
180,Linear algebra,Mathematical logic,0,0.0013291746761220358
181,Algebraic number theory,Topology,0,-0.23952379104331778
182,Number theory,Operations research,0,-0.28606174662345096
183,Calculus,Discrete mathematics,0,0.19791564356301716
184,Mathematical analysis,Stochastic process,0,-0.8090339516903291
185,K-theory,Factorization,0,-0.033664265687327735
186,Calculus,Algebraic number theory,0,0.4560992656460251
187,K-theory,Real analysis,0,0.03640474059212093
188,Multiscale modeling,Algebraic geometry,0,1.0
189,Numerical analysis,Special relativity,0,-0.006428565568648101
190,Trigonometry,Coding theory,0,0.02664272293478843
191,Number theory,Field (mathematics),0,-0.07531613678177851
192,Lie theory,Wavelet,0,0.03565655520052058
193,Topological space,Mathematical logic,0,0.7966127250718967
194,Matrix (mathematics),Algebraic geometry,0,0.3133699164179405
195,Factorization,Complex analysis,0,0.033664265687327735
196,Number theory,Probability theory,0,-0.20361384665203214
197,Metric (mathematics),General relativity,0,0.35496615730116193
198,Topology,Commutative algebra,0,-0.22773515729531002
199,Trigonometry,Finite element method,0,0.04587309739674773
200,Primality test,Fourier analysis,0,-0.010534457498900151
201,Vector calculus,Operations research,0,-0.020649514977974737
202,Metric (mathematics),Statistics,0,0.4094648335927318
203,Algebraic topology,Statistics,0,-0.45225918284404365
204,Numerical linear algebra,Complex analysis,0,0.9006346853671909
205,Special relativity,K-theory,0,0.0046310404050314315
206,Commutative algebra,Differentiable manifold,0,-0.1861217126934791
207,Numerical analysis,Algebraic geometry,0,-0.29838585529541417
208,Multiscale modeling,Matrix (mathematics),0,0.0
209,Wavelet,Analytic number theory,0,0.01540981971359474
210,Differential topology,Mathematical analysis,0,0.21680495391990084
211,Algebraic number theory,Discrete mathematics,0,-0.33879580895706396
212,Primality test,Von Neumann algebra,0,0.0
213,Numerical analysis,Differential topology,0,-0.2863626646800562
214,Matrix (mathematics),Statistics,0,0.6099768422850904
215,Differential geometry,Combinatorics,0,-0.14410498214385892
216,Topological space,Primality test,0,0.0
217,Stochastic process,Real analysis,0,0.8727352028580024
218,Differential equation,Finite element method,0,-0.24279572186929188
219,Combinatorics,Topology,0,0.0892915868561649
220,Analytic number theory,Stochastic process,0,-0.14819687114995408
221,Primality test,Group theory,0,-0.049116146454945546
222,Linear programming,Von Neumann algebra,0,0.0
223,Field (mathematics),Graph theory,0,0.19344699201546112
224,Algebra,Numerical analysis,0,0.27473048789939947
225,Algebra,Statistics,0,-0.2222344365531833
226,Mathematical logic,Functional analysis,0,0.015148422734043265
227,Analytic geometry,Factorization,0,-0.033664265687327735
228,Number theory,Von Neumann algebra,0,-0.012889751749610144
229,Analytic number theory,Mathematical analysis,0,0.3044188213588842
230,Finite element method,Analytical mechanics,0,-0.3084772085045896
231,Partial differential equation,Abstract algebra,0,0.4367697363660706
232,K-theory,Lie theory,0,-0.16753551405232656
233,Algebraic topology,Mathematical model,0,-0.5112542749718537
234,Orthogonal polynomials,Lie theory,0,-0.011019379137440723
235,Calculus,General relativity,0,0.7356598721094151
236,Numerical analysis,Graph theory,0,-0.2992675098065113
237,Orthogonal polynomials,Special relativity,0,0.0
238,Graph theory,Algebraic topology,0,0.15662412904910972
239,Calculus,C*-algebra,0,-0.17317547028443692
240,Mathematical statistics,Wavelet,0,0.6307245390496005
241,Algebra,Coding theory,0,0.09628018202996702
242,Von Neumann algebra,Calculus,0,0.0
243,Operations research,Von Neumann algebra,0,0.0
244,Analytic number theory,Matrix (mathematics),0,-0.6605143293376884
245,Primality test,Matrix (mathematics),0,0.9293608237342706
246,Mathematical analysis,Finite element method,0,0.12980524951759248
247,Finite element method,Fourier series,0,0.07451340394098069
248,Calculus,Mathematical model,0,0.2177245887835857
249,Primality test,K-theory,0,0.0
250,Fourier series,Functional analysis,0,-0.09730477404048544
251,Topology,Metric (mathematics),0,0.27313629801900613
252,Lie theory,Mathematical optimization,0,0.8754559238483232
253,Approximation theory,Group theory,0,0.0
254,Algebraic topology,Operations research,0,-0.45371763208875415
255,Number theory,Statistics,0,-0.5161711527336921
256,Approximation theory,Ordinary differential equation,0,0.0
257,Algebraic topology,Metric (mathematics),0,-0.22354829573889423
258,Analytical mechanics,K-theory,0,0.0
259,Mathematical model,Topology,0,0.5034035432692765
260,Fourier analysis,Combinatorics,0,0.05181960826966708
261,Fourier analysis,Dynamical system,0,0.042479286895560756
262,Numerical linear algebra,Computability theory,0,-0.015883184236843727
263,Differential geometry,Coding theory,0,-0.9773777993990699
264,Dynamical system,Set theory,0,-0.003637682680703573
265,Coding theory,Orthogonal polynomials,0,0.0
266,Field (mathematics),Ordinary differential equation,0,-0.041726150492110155
267,Partial differential equation,Trigonometry,0,-0.16230598083256897
268,Calculus,Primality test,0,-0.011777525327896422
269,Algebraic topology,Primality test,0,-0.027550926422004594
270,Special relativity,Differential geometry,0,0.5262554121272738
271,Algebraic topology,Multivariable calculus,0,-0.6688122341178179
272,Calculus,Algebraic geometry,0,0.05012523284228143
273,Metric (mathematics),Complex analysis,0,0.36919851187362573
274,Statistics,Primality test,0,-0.012574139084511885
275,Mathematical optimization,Differential topology,0,-0.32734250799257475
276,Mathematical logic,Algebraic number theory,0,0.3611424802571367
277,Vector calculus,Fourier analysis,0,0.014895146395305647
278,Analytic geometry,Discrete mathematics,0,0.26755823641924004
279,Algebraic number theory,Complex analysis,0,0.23590096957964116
280,Primality test,Algebraic topology,0,0.027550926422004594
281,Linear programming,Commutative algebra,0,0.004127592628044915
282,Coding theory,Probability theory,0,0.8569127376587682
283,Fourier series,Mathematical statistics,0,-0.07612951871733872
284,Linear algebra,Analytic number theory,0,-0.16149839706181457
285,Algebraic number theory,Numerical linear algebra,0,-0.9521386719068862
286,Group theory,Multivariable calculus,0,-0.06925361670156943
287,Metric (mathematics),Real analysis,0,0.18413358227179394
288,Finite element method,Primality test,0,0.0
289,Functional analysis,Discrete mathematics,0,0.018223610934735568
290,Dynamical system,Orthogonal polynomials,0,0.0
291,Lie theory,Algebraic number theory,0,0.9155788220581477
292,Primality test,Operations research,0,-0.013050062096010277
293,Functional analysis,Combinatorics,0,-0.013162420366627514
294,Mathematical model,Commutative algebra,0,0.0
295,Topology,Number theory,0,0.2252493610353103
296,Algebraic topology,Vector calculus,0,-0.2403508114932228
297,Combinatorics,Fourier analysis,0,-0.05181960826966708
298,Commutative algebra,Coding theory,0,-0.9927824131157077
299,Computability theory,Mathematical analysis,0,0.751034449513686
300,Statistics,Operations research,0,-0.2872355826786646
301,Number theory,Trigonometry,0,-0.737754490303334
302,General relativity,K-theory,0,0.0
303,Differentiable manifold,Group theory,0,-0.06465606858736697
304,Dynamical system,Topological space,0,0.003809287209087697
305,Orthogonal polynomials,Complex analysis,0,0.0
306,Partial differential equation,Factorization,0,0.0
307,Finite element method,Computability theory,0,-0.053595926647248895
308,Algebraic geometry,Statistics,0,-0.15059882370328082
309,Lie theory,Stochastic process,0,0.05522365849204863
310,Topology,Probability theory,0,-0.09278547517602964
311,Algebraic number theory,Primality test,0,-0.7587401059382957
312,Topological space,Mathematical optimization,0,0.8836312361433452
313,Topological space,Number theory,0,0.6238323689707996
314,Differential equation,Topological space,0,-0.9133795423820418
315,Orthogonal polynomials,Statistics,0,-0.004270632526531362
316,Special relativity,Ergodic theory,0,0.0
317,Matrix (mathematics),K-theory,0,-0.6226662638235514
318,Probability theory,Ergodic theory,0,-0.030037895086875488
319,Field (mathematics),Probability theory,0,0.4763732161221987
320,Statistics,Coding theory,0,-0.9563220973618591
321,Field (mathematics),General relativity,0,0.006153525255873133
322,Probability theory,Algebraic geometry,0,-0.1501035172184697
323,Mathematical logic,Number theory,0,0.321843656443684
324,Metric (mathematics),Finite element method,0,-0.042483706672226444
325,Lie theory,Combinatorics,0,0.847124916970676
326,Analytic geometry,Functional analysis,0,0.1943166364683102
327,Analytic geometry,Coding theory,0,-1.0
328,K-theory,Finite element method,0,-0.012531642400393395
329,Group theory,Vector calculus,0,-0.014895146395305647
330,Fourier series,Differential equation,0,-0.2619792062843359
